LLM,problem,n_train,p,initialexternal_opt,repeat,n_pop,mode,algo_performance,dist,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,initial,external_opt
deepseek/deepseek-chat-v3-0324,inventory,50,2,,1,1,train,processed,normal_std30_L6_c1_2,3475.37,3643.22,4193.86,4193.86,4193.86,4193.86,4193.90,4196.05,4267.16,6073.40,,,,,,,,,,,,,,,,,,,,,1.00,scipy
deepseek/deepseek-chat-v3-0324,inventory,50,2,,1,1,test,processed,normal_std30_L6_c1_2,3494.94,3667.50,4160.01,4160.01,4160.01,4160.01,4159.88,4170.67,4288.93,6163.06,,,,,,,,,,,,,,,,,,,,,1.00,scipy
