dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
exponential_100_L8_p4_train.json,exponential_100_L2_c1_2_train.json,8,1,4.0,100,50,99.4896,634,12333.52,71,9635.29
exponential_100_L8_p4_test.json,exponential_100_L2_c1_2_test.json,8,1,4.0,1000,50,99.61768,634,12476.37,71,9841.436
exponential_125_L8_p4_train.json,exponential_125_L2_c1_2_train.json,8,1,4.0,100,50,123.813,814,15805.15,86,12346.0
exponential_125_L8_p4_test.json,exponential_125_L2_c1_2_test.json,8,1,4.0,1000,50,124.453,814,15557.794,86,12325.545
exponential_150_L8_p4_train.json,exponential_150_L2_c1_2_train.json,8,1,4.0,100,50,147.1804,1024,18856.02,102,14661.84
exponential_150_L8_p4_test.json,exponential_150_L2_c1_2_test.json,8,1,4.0,1000,50,149.89432,1024,18930.248,102,15062.057
exponential_50_L8_p4_train.json,exponential_50_L2_c1_2_train.json,8,1,4.0,100,50,49.5956,302,6306.96,34,5031.92
exponential_50_L8_p4_test.json,exponential_50_L2_c1_2_test.json,8,1,4.0,1000,50,49.9208,302,6272.815,34,4982.589
exponential_75_L8_p4_train.json,exponential_75_L2_c1_2_train.json,8,1,4.0,100,50,74.6654,451,9333.45,51,7385.31
exponential_75_L8_p4_test.json,exponential_75_L2_c1_2_test.json,8,1,4.0,1000,50,74.9064,451,9423.858,51,7451.577
normal_std100_100_L8_p4_train.json,normal_std100_100_L2_c1_2_train.json,8,1,4.0,100,50,108.3768,757,12702.03,83,9589.02
normal_std100_100_L8_p4_test.json,normal_std100_100_L2_c1_2_test.json,8,1,4.0,1000,50,108.39924,757,12645.044,83,9652.1
normal_std100_125_L8_p4_train.json,normal_std100_125_L2_c1_2_train.json,8,1,4.0,100,50,129.954,930,14446.15,101,10467.48
normal_std100_125_L8_p4_test.json,normal_std100_125_L2_c1_2_test.json,8,1,4.0,1000,50,130.0287,930,14033.291,101,10146.469
normal_std100_150_L8_p4_train.json,normal_std100_150_L2_c1_2_train.json,8,1,4.0,100,50,153.8326,1144,15424.51,126,10787.02
normal_std100_150_L8_p4_test.json,normal_std100_150_L2_c1_2_test.json,8,1,4.0,1000,50,152.16472,1144,15371.493,126,10871.388
