dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p3_r10_p0p2_L6_c1_2_train,1644.535927,1644.200047,1645.058163,1644.23,2055.84,1681.15
zinb_pi0p3_r10_p0p2_L6_c1_2_test,1693.411828,1697.282597,1696.637701,1694.84,2070.62,1707.48
zinb_pi0p3_r10_p0p1_L6_c1_2_train,3852.209868,3852.467457,3840.815509,3861.12,4735.52,3858.75
zinb_pi0p3_r10_p0p1_L6_c1_2_test,3747.659271,3751.920809,3750.844307,3753.72,4640.93,3787.49
zinb_pi0p1_r5_p0p8_L6_c1_2_train,82.06612078,82.0674095,81.64973549,93.85,92.74,108.88
zinb_pi0p1_r5_p0p8_L6_c1_2_test,85.06073605,85.06353375,84.41586869,95.42,95.15,113.48
zinb_pi0p1_r5_p0p6_L6_c1_2_train,169.3291218,169.4406656,169.2438326,204.29,217.05,169.79
zinb_pi0p1_r5_p0p6_L6_c1_2_test,168.825714,169.2597793,168.9568488,201.25,212.74,170.29
zinb_pi0p1_r5_p0p4_L6_c1_2_train,334.6425533,334.0929307,333.7394398,334.16,439.65,351.64
zinb_pi0p1_r5_p0p4_L6_c1_2_test,336.7877672,336.4580351,335.5552003,336.59,442.31,344.26
zinb_pi0p1_r5_p0p3_L6_c1_2_train,489.1440415,487.1317997,485.5131389,520.32,665.93,491.95
zinb_pi0p1_r5_p0p3_L6_c1_2_test,499.155827,497.888006,496.0241683,527.61,666.66,502.71
zinb_pi0p1_r5_p0p2_L6_c1_2_train,805.6390136,805.7670959,805.9236527,827.03,1110.26,811.55
zinb_pi0p1_r5_p0p2_L6_c1_2_test,813.4719083,812.3843102,812.9517062,830.09,1110.03,818.31
zinb_pi0p1_r5_p0p1_L6_c1_2_train,1743.731885,1749.588524,1741.253903,1741.63,2454.75,1750.85
zinb_pi0p1_r5_p0p1_L6_c1_2_test,1756.061706,1762.6571,1750.990776,1748.5,2443.82,1763.03
zinb_pi0p1_r40_p0p8_L6_c1_2_train,353.0120741,354.1110583,350.4050191,399.83,511.34,357.15
zinb_pi0p1_r40_p0p8_L6_c1_2_test,344.7928039,343.9457825,340.8644494,387.31,505.44,345.16
zinb_pi0p1_r40_p0p6_L6_c1_2_train,810.237835,810.8766075,810.8536066,811.37,1257.59,843.35
zinb_pi0p1_r40_p0p6_L6_c1_2_test,812.3214121,812.3955885,809.8698187,812.12,1256.64,831.21
zinb_pi0p1_r40_p0p4_L6_c1_2_train,1707.625164,1701.798525,1706.433832,1715.92,2689.14,1743.39
zinb_pi0p1_r40_p0p4_L6_c1_2_test,1745.846193,1730.468955,1754.802873,1733.3,2747.7,1778.14
zinb_pi0p1_r40_p0p3_L6_c1_2_train,2670.928544,2690.154336,2663.811166,2672.92,4097.84,2736.32
zinb_pi0p1_r40_p0p3_L6_c1_2_test,2636.224883,2630.978769,2650.785696,2628.25,4212.52,2707
zinb_pi0p1_r40_p0p2_L6_c1_2_train,4431.194435,4521.701864,4386.119116,4399.65,7057.15,4542.31
zinb_pi0p1_r40_p0p2_L6_c1_2_test,4486.721581,4561.105904,4459.779175,4462.02,7181.28,4617.19
zinb_pi0p1_r40_p0p1_L6_c1_2_train,9966.033898,9972.595867,9954.705027,9949.7,16156.62,10244.29
zinb_pi0p1_r40_p0p1_L6_c1_2_test,9894.851824,9907.733231,9881.898569,9878.06,16043.11,10214.42
zinb_pi0p1_r20_p0p8_L6_c1_2_train,203.7281125,204.1429331,203.7404912,232.76,283.17,208.66
zinb_pi0p1_r20_p0p8_L6_c1_2_test,208.9321587,210.848384,208.9416289,232.29,280.63,209.91
zinb_pi0p1_r20_p0p6_L6_c1_2_train,464.9273374,470.9478492,468.0023395,463.98,685.1,473.39
zinb_pi0p1_r20_p0p6_L6_c1_2_test,459.192247,467.2549651,462.3033247,460.4,678.92,467.63
zinb_pi0p1_r20_p0p4_L6_c1_2_train,931.9300707,935.070345,929.4504163,950.15,1434.37,951.62
zinb_pi0p1_r20_p0p4_L6_c1_2_test,938.6107333,951.0894816,935.2420567,968.58,1432.79,952.76
zinb_pi0p1_r20_p0p3_L6_c1_2_train,1431.64947,1431.70942,1429.143624,1429.46,2230.36,1466.98
zinb_pi0p1_r20_p0p3_L6_c1_2_test,1445.626538,1443.055416,1438.840157,1441.24,2227.09,1467.79
zinb_pi0p1_r20_p0p2_L6_c1_2_train,2407.797945,2407.516149,2407.412149,2406.28,3743.88,2418.35
zinb_pi0p1_r20_p0p2_L6_c1_2_test,2428.931388,2432.954176,2440.495055,2418.74,3762.94,2469.65
zinb_pi0p1_r20_p0p1_L6_c1_2_train,5230.865926,5267.756795,5233.038213,5225.5,8239.05,5395.81
zinb_pi0p1_r20_p0p1_L6_c1_2_test,5311.881456,5340.846112,5305.506226,5305.34,8332.71,5447.34
zinb_pi0p1_r2_p0p8_L6_c1_2_train,43.82000029,43.8200003,43.82,43.82,43.82,43.82
zinb_pi0p1_r2_p0p8_L6_c1_2_test,44.93800008,44.93800009,44.938,44.94,44.94,44.94
zinb_pi0p1_r2_p0p6_L6_c1_2_train,93.02030641,93.03023943,92.54932484,101.3,100.88,118.68
zinb_pi0p1_r2_p0p6_L6_c1_2_test,95.38588711,95.38917699,95.10612737,105.28,104.27,120.8
zinb_pi0p1_r2_p0p4_L6_c1_2_train,184.2992327,184.3271556,184.1439684,208,213.83,199.64
zinb_pi0p1_r2_p0p4_L6_c1_2_test,181.177432,181.176491,181.0044698,208.22,213.49,194.31
zinb_pi0p1_r2_p0p3_L6_c1_2_train,274.3869587,274.2079199,273.0145298,298.26,322.8,278.68
zinb_pi0p1_r2_p0p3_L6_c1_2_test,265.9892496,265.2898111,263.944655,292.08,318.23,272.27
zinb_pi0p1_r2_p0p2_L6_c1_2_train,428.6170009,428.7754359,429.8089284,434.47,526.15,436.55
zinb_pi0p1_r2_p0p2_L6_c1_2_test,436.2795215,434.562586,433.0945962,438.09,531.61,436.13
zinb_pi0p1_r2_p0p1_L6_c1_2_train,932.7121751,935.3752735,935.406787,933.86,1180.17,935.9
zinb_pi0p1_r2_p0p1_L6_c1_2_test,932.2765809,933.8132555,933.7671438,928.09,1151.13,933.23
zinb_pi0p1_r10_p0p8_L6_c1_2_train,130.6595451,130.8466452,130.6856121,160.59,164.89,145.14
zinb_pi0p1_r10_p0p8_L6_c1_2_test,129.5475754,129.4043462,129.076014,156.48,160.92,142.65
zinb_pi0p1_r10_p0p6_L6_c1_2_train,270.1318788,269.192401,268.2308261,269.66,374.51,281.19
zinb_pi0p1_r10_p0p6_L6_c1_2_test,273.8957189,275.8410657,276.4373697,279.19,375.19,279.62
zinb_pi0p1_r10_p0p4_L6_c1_2_train,559.5045869,565.9428736,558.8219946,559.63,788.08,571.94
zinb_pi0p1_r10_p0p4_L6_c1_2_test,552.8768964,554.4485715,555.046002,554.76,788.85,558.36
zinb_pi0p1_r10_p0p3_L6_c1_2_train,821.8058266,823.7070916,821.1116535,844.13,1196.03,843.65
zinb_pi0p1_r10_p0p3_L6_c1_2_test,821.3614667,826.1076682,822.6809995,847.69,1194.13,828.58
zinb_pi0p1_r10_p0p2_L6_c1_2_train,1395.12524,1395.124652,1393.877736,1399.7,2062.55,1427.65
zinb_pi0p1_r10_p0p2_L6_c1_2_test,1362.980781,1362.502394,1360.300386,1366.55,2010.07,1380.68
zinb_pi0p1_r10_p0p1_L6_c1_2_train,2995.19496,2988.128867,2983.292115,2996.8,4389.5,3062.55
zinb_pi0p1_r10_p0p1_L6_c1_2_test,2987.65918,2992.402476,2988.781379,2987.6,4484.91,3028.21
weib_k5_lam60_L6_c1_2_train,983.4245539,983.3488765,976.4956168,975.05,2060.83,990.91
weib_k5_lam60_L6_c1_2_test,979.1556678,977.711051,975.913591,972.63,2049.75,985.96
weib_k5_lam500_L6_c1_2_train,8142.204897,8111.71001,8102.160272,8078.53,17056.74,8312.8
weib_k5_lam500_L6_c1_2_test,8043.306434,8084.913207,8027.036329,8026.38,17122.42,8106.48
weib_k5_lam30_L6_c1_2_train,475.9917261,475.6666915,473.532122,472.31,1010.74,483.74
weib_k5_lam30_L6_c1_2_test,488.6362343,488.1995615,488.0156611,485.44,1026.64,497.58
weib_k5_lam200_L6_c1_2_train,3242.097073,3261.182293,3214.88438,3229.56,6785.89,3257.66
weib_k5_lam200_L6_c1_2_test,3239.10978,3277.869574,3226.876893,3226.93,6836.82,3275.97
weib_k5_lam100_L6_c1_2_train,1630.920668,1651.604019,1628.748499,1651.47,3375.74,1651.75
weib_k5_lam100_L6_c1_2_test,1622.912254,1651.959702,1620.897695,1623.18,3419.43,1634.49
weib_k5_lam10_L6_c1_2_train,164.6041347,164.2500039,163.4104071,193.48,342.84,169.93
weib_k5_lam10_L6_c1_2_test,163.3534297,163.0245831,162.6437983,193.49,342.19,167.67
weib_k3p5_lam60_L6_c1_2_train,1279.971954,1286.785532,1278.174939,1303.31,2306.67,1287.73
weib_k3p5_lam60_L6_c1_2_test,1280.95401,1289.843921,1281.631644,1308.44,2305.6,1291.11
weib_k3p5_lam500_L6_c1_2_train,11038.65574,11103.75595,11046.09463,11041.2,19971.35,11173.48
weib_k3p5_lam500_L6_c1_2_test,10730.07018,10783.30916,10708.91161,10727.54,19678.01,10834.02
weib_k3p5_lam30_L6_c1_2_train,650.5055487,651.3534943,649.561101,664.01,1165.18,652.6
weib_k3p5_lam30_L6_c1_2_test,643.7071698,650.6379162,642.8591001,661.54,1151.75,649.74
weib_k3p5_lam200_L6_c1_2_train,4292.638981,4303.893158,4303.01567,4298.79,7685,4303.64
weib_k3p5_lam200_L6_c1_2_test,4323.496253,4365.585777,4335.998845,4321.75,7727.56,4360.36
weib_k3p5_lam100_L6_c1_2_train,2187.737128,2215.658688,2189.118787,2200.9,3915.39,2215.91
weib_k3p5_lam100_L6_c1_2_test,2158.068339,2172.654254,2153.511389,2161.45,3877.54,2172.47
weib_k3p5_lam10_L6_c1_2_train,215.5461163,215.4912595,215.9849853,253.83,386.9,221.91
weib_k3p5_lam10_L6_c1_2_test,215.8433932,215.9221407,215.3917795,253.41,385.61,225.45
weib_k2p5_lam60_L6_c1_2_train,1672.198611,1677.078469,1672.051639,1675.64,2638.2,1689.46
weib_k2p5_lam60_L6_c1_2_test,1666.92552,1662.188586,1658.835397,1669.71,2610.96,1670.91
weib_k2p5_lam500_L6_c1_2_train,14459.73772,14470.57173,14447.36821,14445.82,23991.83,14499.17
weib_k2p5_lam500_L6_c1_2_test,13982.50702,13990.49507,13956.57848,13967.96,23460.88,14095.24
weib_k2p5_lam30_L6_c1_2_train,839.5484082,848.2288173,846.9897409,870.97,1305.53,854.44
weib_k2p5_lam30_L6_c1_2_test,846.7471033,855.1188435,848.9249791,880.26,1328.53,857.47
weib_k2p5_lam200_L6_c1_2_train,5581.195433,5616.632987,5585.059601,5584.29,8822.1,5617.68
weib_k2p5_lam200_L6_c1_2_test,5573.533952,5576.259544,5561.067195,5552.02,8806.5,5579.17
weib_k2p5_lam100_L6_c1_2_train,2853.915513,2890.179234,2850.950157,2859.86,4385.34,2883.24
weib_k2p5_lam100_L6_c1_2_test,2782.80217,2815.186898,2780.62028,2790.92,4395.48,2800.1
weib_k2p5_lam10_L6_c1_2_train,283.184222,283.1931028,282.0795496,325.48,448.62,286.86
weib_k2p5_lam10_L6_c1_2_test,279.2697269,279.2635827,278.82306,321.31,437.79,281.35
weib_k1p8_lam60_L6_c1_2_train,2152.576233,2155.745351,2152.937648,2153.29,3050.81,2156.41
weib_k1p8_lam60_L6_c1_2_test,2176.368507,2177.890924,2166.148104,2166.33,3051.75,2180.14
weib_k1p8_lam500_L6_c1_2_train,18224.93442,18247.00728,18200.27763,18225.47,29014.82,18272.89
weib_k1p8_lam500_L6_c1_2_test,17885.45082,17840.35326,17814.8805,17869.95,28417.9,17893.99
weib_k1p8_lam30_L6_c1_2_train,1047.483524,1052.329991,1048.345135,1050.83,1513.97,1050.83
weib_k1p8_lam30_L6_c1_2_test,1093.354454,1112.30072,1089.124494,1088.5,1531.56,1092.72
weib_k1p8_lam200_L6_c1_2_train,7542.452058,7578.21,7515.221069,7545.14,10585.86,7578.37
weib_k1p8_lam200_L6_c1_2_test,7227.614974,7261.684488,7240.277414,7255.54,10288.08,7253.89
weib_k1p8_lam100_L6_c1_2_train,3500.447653,3506.455113,3483.998402,3514.18,5019.16,3510.96
weib_k1p8_lam100_L6_c1_2_test,3610.081408,3620.981919,3609.425023,3618.43,5069.58,3628.25
weib_k1p8_lam10_L6_c1_2_train,360.0454557,360.4507119,359.4431143,406.92,509.86,371.82
weib_k1p8_lam10_L6_c1_2_test,360.2450348,359.3995739,359.5193675,410.23,508.96,367.07
weib_k1p2_lam60_L6_c1_2_train,3090.804542,3090.62109,3089.124599,3096.39,3909.21,3090.98
weib_k1p2_lam60_L6_c1_2_test,3086.177298,3087.796879,3072.902619,3079.18,3866.46,3088.52
weib_k1p2_lam500_L6_c1_2_train,25926.44507,25922.35182,25891.4268,25930.76,40963.22,25935.2
weib_k1p2_lam500_L6_c1_2_test,25688.04033,25675.8774,25851.59586,25681.4,40044.56,25754.96
weib_k1p2_lam30_L6_c1_2_train,1530.205428,1530.319033,1529.093025,1550.15,1964.34,1529.95
weib_k1p2_lam30_L6_c1_2_test,1537.42196,1542.160428,1538.162534,1551.4,1922.71,1542.53
weib_k1p2_lam200_L6_c1_2_train,10036.17594,10035.15876,10016.08266,10037.48,13702.72,10069.65
weib_k1p2_lam200_L6_c1_2_test,10260.03169,10261.71684,10259.01312,10251.53,13874.66,10281.14
weib_k1p2_lam100_L6_c1_2_train,5130.815434,5138.495038,5127.003594,5139,6468.23,5183.13
weib_k1p2_lam100_L6_c1_2_test,5181.630824,5177.639315,5170.20855,5173.19,6489.07,5185.19
weib_k1p2_lam10_L6_c1_2_train,509.9870147,508.6997367,507.2067953,524.39,636.4,514.38
weib_k1p2_lam10_L6_c1_2_test,516.6851302,515.6756106,516.1330113,533.86,646.5,513.65
weib_k0p8_lam60_L6_c1_2_train,4819.722956,4819.436835,4814.263314,4822.4,5475.18,4821.51
weib_k0p8_lam60_L6_c1_2_test,4803.764846,4803.320275,4796.527291,4806.45,5502.73,4795.67
weib_k0p8_lam500_L6_c1_2_train,38938.65379,38938.66104,38867.84035,38944.25,62948.66,38938.65
weib_k0p8_lam500_L6_c1_2_test,39927.72745,39927.79212,39948.84409,39926.65,65242.15,39927.75
weib_k0p8_lam30_L6_c1_2_train,2444.864636,2450.133527,2442.168082,2467.86,2819.38,2450.37
weib_k0p8_lam30_L6_c1_2_test,2390.673548,2390.937899,2393.674724,2392.29,2738.02,2385.83
weib_k0p8_lam200_L6_c1_2_train,15885.51138,15883.90078,15883.26561,15904.5,22653.06,16014.96
weib_k0p8_lam200_L6_c1_2_test,16004.81234,16004.18237,16000.59367,16010.94,23107.98,16011.97
weib_k0p8_lam100_L6_c1_2_train,8124.050043,8124.055578,8120.931071,8124.79,10104.77,8124.06
weib_k0p8_lam100_L6_c1_2_test,8097.567098,8097.564557,8095.677386,8095.42,9934.94,8097.56
weib_k0p8_lam10_L6_c1_2_train,788.6369203,794.5850727,787.6737424,788.81,891.22,794.85
weib_k0p8_lam10_L6_c1_2_test,809.5987589,812.5511696,811.2137511,810.56,922.39,810.78
tri_a5_c50_b800_L6_c1_2_train,13167.71047,13168.75336,13139.37501,13167.73,19339.68,13169.13
tri_a5_c50_b800_L6_c1_2_test,13234.18018,13260.04961,13198.62174,13218.23,19279.34,13259.77
tri_a5_c50_b60_L6_c1_2_train,948.0496516,955.7378755,947.7396476,965.61,1676.3,954.36
tri_a5_c50_b60_L6_c1_2_test,936.440389,947.4010049,937.4353808,951.96,1666.07,946.29
tri_a5_c50_b500_L6_c1_2_train,8098.095561,8170.53964,8073.662236,8095.59,11222.74,8148.54
tri_a5_c50_b500_L6_c1_2_test,8104.841683,8134.215918,8066.543459,8079.66,11280.9,8104.94
tri_a5_c50_b250_L6_c1_2_train,3770.698281,3780.795319,3769.562055,3771.85,5592.73,3780.23
tri_a5_c50_b250_L6_c1_2_test,3864.845482,3869.704838,3855.684881,3864.38,5589.09,3868.55
tri_a5_c50_b120_L6_c1_2_train,1765.064742,1762.584932,1765.875735,1770.69,2845.26,1764.65
tri_a5_c50_b120_L6_c1_2_test,1767.623156,1762.624188,1766.807713,1765.08,2825.82,1767.01
tri_a5_c200_b800_L6_c1_2_train,12315.52021,12321.13178,12266.83617,12258.54,19179.69,12454.66
tri_a5_c200_b800_L6_c1_2_test,12463.30505,12347.91267,12355.91383,12345.48,19230.73,12392.79
tri_a5_c200_b500_L6_c1_2_train,7386.160495,7380.140014,7387.868542,7390.8,11824.34,7375.6
tri_a5_c200_b500_L6_c1_2_test,7629.067154,7619.387267,7612.009051,7584.6,11921.36,7613.49
tri_a5_c200_b250_L6_c1_2_train,4209.140136,4253.859803,4222.118968,4203.61,7102.04,4254.43
tri_a5_c200_b250_L6_c1_2_test,4157.033764,4207.678592,4164.679859,4145.94,7042.49,4208.18
tri_a5_c20_b800_L6_c1_2_train,13720.82244,13720.62067,13720.21934,13722.65,19572.71,13723.12
tri_a5_c20_b800_L6_c1_2_test,13471.5957,13479.96572,13393.13416,13413.56,19285.51,13489.05
tri_a5_c20_b60_L6_c1_2_train,855.2218881,853.5261796,850.627124,871.33,1359.44,857.26
tri_a5_c20_b60_L6_c1_2_test,848.3015128,849.2803395,850.4519717,868.6,1355.36,850.57
tri_a5_c20_b500_L6_c1_2_train,8436.894873,8455.798394,8428.538916,8431.64,11332.82,8455.92
tri_a5_c20_b500_L6_c1_2_test,8278.175576,8330.463898,8280.989398,8262.79,11295.54,8295.16
tri_a5_c20_b250_L6_c1_2_train,4129.708636,4128.863878,4123.96244,4136.93,5589.12,4156.56
tri_a5_c20_b250_L6_c1_2_test,4074.133331,4064.9269,4060.555807,4075.56,5540.84,4072.35
tri_a5_c20_b120_L6_c1_2_train,1888.590066,1888.700431,1881.796381,1906.94,2689.82,1889.84
tri_a5_c20_b120_L6_c1_2_test,1856.593439,1857.134298,1847.40246,1872.25,2659.18,1858.54
tri_a5_c100_b800_L6_c1_2_train,12540.34715,12535.3779,12547.42881,12518.33,18959.61,12547.99
tri_a5_c100_b800_L6_c1_2_test,12786.71616,12765.22894,12773.89382,12744.91,19093.48,12790.87
tri_a5_c100_b500_L6_c1_2_train,7594.524716,7620.484169,7586.988692,7588.37,11122.02,7620.89
tri_a5_c100_b500_L6_c1_2_test,7805.794987,7847.711112,7792.247991,7794.88,11406.06,7846.43
tri_a5_c100_b250_L6_c1_2_train,3712.144942,3762.989302,3689.248795,3711.15,5830.34,3720.4
tri_a5_c100_b250_L6_c1_2_test,3759.817076,3818.680642,3749.804689,3769.46,5899.55,3788.79
tri_a5_c100_b120_L6_c1_2_train,1996.148836,2002.742791,1984.828351,1986.48,3411.71,2026.95
tri_a5_c100_b120_L6_c1_2_test,1974.781403,1982.449169,1969.825809,1971.89,3389.88,1988.01
tri_a10_c50_b800_L6_c1_2_train,13223.19974,13254.37928,13227.88374,13222.29,19629.7,13282.92
tri_a10_c50_b800_L6_c1_2_test,13186.40938,13194.64182,13160.95553,13177.52,19236.65,13220.05
tri_a10_c50_b60_L6_c1_2_train,839.4686566,839.5791067,838.4276449,842.03,1612.36,842.03
tri_a10_c50_b60_L6_c1_2_test,842.0513086,842.243781,841.2061566,845.58,1621.6,852.26
tri_a10_c50_b500_L6_c1_2_train,7980.203615,8005.383255,7972.255709,7986.83,11236.49,8004.8
tri_a10_c50_b500_L6_c1_2_test,7989.636588,8027.427907,8003.444311,7990.39,11231.08,8025.52
tri_a10_c50_b250_L6_c1_2_train,3818.373831,3834.363342,3821.151975,3816.92,5598.06,3834.35
tri_a10_c50_b250_L6_c1_2_test,3801.619819,3821.084501,3806.381538,3800.27,5582.89,3821.05
tri_a10_c50_b120_L6_c1_2_train,1676.348261,1675.546754,1675.490754,1675.99,2776.39,1679.04
tri_a10_c50_b120_L6_c1_2_test,1700.065545,1696.065278,1694.054646,1690.91,2795.15,1703.64
tri_a10_c200_b800_L6_c1_2_train,12211.35994,12270.44245,12207.82641,12204.18,19111,12344.05
tri_a10_c200_b800_L6_c1_2_test,12389.0936,12435.05558,12365.17026,12370.05,19349.82,12467.05
tri_a10_c200_b500_L6_c1_2_train,7420.231306,7462.051247,7414.801162,7415.66,11724.29,7457.63
tri_a10_c200_b500_L6_c1_2_test,7487.490558,7565.337883,7500.258612,7486.69,11825.7,7562.59
tri_a10_c200_b250_L6_c1_2_train,4104.954498,4139.867771,4083.789712,4100.87,7014.8,4139.9
tri_a10_c200_b250_L6_c1_2_test,4074.77533,4114.846703,4057.547586,4069.94,6936.97,4114.98
tri_a10_c20_b800_L6_c1_2_train,13557.73616,13564.86094,13512.62438,13559.92,19814.27,13554.35
tri_a10_c20_b800_L6_c1_2_test,13482.1114,13468.10221,13409.41848,13419.75,19254.26,13464.27
tri_a10_c20_b60_L6_c1_2_train,802.2242812,801.9576181,804.9656168,802.08,1353.78,809.1
tri_a10_c20_b60_L6_c1_2_test,787.8601537,786.8284251,790.0266459,786.77,1331.35,791.12
tri_a10_c20_b500_L6_c1_2_train,8114.708226,8115.327798,8114.718592,8115.22,10872.1,8150.05
tri_a10_c20_b500_L6_c1_2_test,8255.710944,8256.307473,8259.803008,8254.37,11202.84,8272.84
tri_a10_c20_b250_L6_c1_2_train,4007.168633,4008.266044,4000.618328,4017.23,5564.59,4007.2
tri_a10_c20_b250_L6_c1_2_test,4036.562438,4039.879625,4015.017302,4014.8,5493.56,4027.46
tri_a10_c20_b120_L6_c1_2_train,1861.921536,1859.309841,1857.262081,1861.66,2706.02,1863.13
tri_a10_c20_b120_L6_c1_2_test,1821.588893,1821.66163,1819.008794,1823.77,2666.39,1826.1
tri_a10_c100_b800_L6_c1_2_train,13074.62904,13080.50374,13028.9951,13062.13,19382.92,13112.73
tri_a10_c100_b800_L6_c1_2_test,12958.88398,12975.99536,12892.17798,12912.45,19233.35,12980.37
tri_a10_c100_b500_L6_c1_2_train,7831.546799,7880.147028,7794.77701,7830.27,11266.23,7861.69
tri_a10_c100_b500_L6_c1_2_test,7803.754947,7840.468361,7714.766822,7714.88,11290.22,7734.22
tri_a10_c100_b250_L6_c1_2_train,3775.630782,3809.695377,3769.036507,3777.23,5930.45,3775
tri_a10_c100_b250_L6_c1_2_test,3695.40428,3670.771101,3672.232446,3660.04,5838.91,3680.06
tri_a10_c100_b120_L6_c1_2_train,1908.03783,1911.729645,1906.324065,1923.27,3352.21,1930.08
tri_a10_c100_b120_L6_c1_2_test,1886.502843,1889.07397,1885.939152,1900.52,3346.02,1911.4
tri_a0_c50_b800_L6_c1_2_train,13491.6913,13544.00405,13523.58574,13491.44,19765.71,13515.82
tri_a0_c50_b800_L6_c1_2_test,13456.49556,13712.57779,13615.91778,13341.81,19434.39,13420.11
tri_a0_c50_b60_L6_c1_2_train,1044.538658,1045.108469,1044.016883,1055.04,1697.92,1064.86
tri_a0_c50_b60_L6_c1_2_test,1035.429408,1034.372596,1034.011253,1047.34,1721.45,1051.61
tri_a0_c50_b500_L6_c1_2_train,8155.787141,8169.197111,8151.777614,8161.71,11447.91,8154.03
tri_a0_c50_b500_L6_c1_2_test,8187.791436,8178.747403,8159.259816,8155.39,11322.41,8174.58
tri_a0_c50_b250_L6_c1_2_train,3833.048073,3841.992939,3829.115784,3838.57,5536,3841.06
tri_a0_c50_b250_L6_c1_2_test,3930.2761,3946.81355,3927.603905,3943.03,5650.57,3946.07
tri_a0_c50_b120_L6_c1_2_train,1847.310975,1829.738842,1826.374415,1846.46,2891.37,1861.11
tri_a0_c50_b120_L6_c1_2_test,1878.269063,1839.693998,1836.535283,1837.82,2849.23,1843.95
tri_a0_c200_b800_L6_c1_2_train,12379.92492,12336.88391,12362.6872,12329.88,19196.27,12421.74
tri_a0_c200_b800_L6_c1_2_test,12437.97812,12401.65383,12405.47028,12394.99,19292.67,12473.04
tri_a0_c200_b500_L6_c1_2_train,7571.687245,7659.069732,7582.624417,7562.55,12223.82,7655.39
tri_a0_c200_b500_L6_c1_2_test,7664.01507,7761.778241,7673.838194,7650.79,11914.93,7703.22
tri_a0_c200_b250_L6_c1_2_train,4247.867897,4262.761914,4244.906302,4252.71,7050.19,4300.19
tri_a0_c200_b250_L6_c1_2_test,4270.276435,4301.539401,4271.818884,4280.44,7090.28,4326.46
tri_a0_c20_b800_L6_c1_2_train,13517.41732,13518.1341,13520.79797,13514.36,19380.01,13570.28
tri_a0_c20_b800_L6_c1_2_test,13608.6561,13642.72195,13617.31797,13601.83,19335.32,13657.99
tri_a0_c20_b60_L6_c1_2_train,888.96208,889.282829,888.0112672,915.8,1376.8,891.7
tri_a0_c20_b60_L6_c1_2_test,927.5057606,929.2002921,918.4777488,936.93,1393.79,921.88
tri_a0_c20_b500_L6_c1_2_train,8146.748497,8155.076479,8116.627015,8135,11106.68,8151.89
tri_a0_c20_b500_L6_c1_2_test,8399.254765,8452.378794,8417.093867,8398.56,11428.08,8431.55
tri_a0_c20_b250_L6_c1_2_train,4114.807277,4112.510424,4120.487426,4111.17,5625.84,4126.1
tri_a0_c20_b250_L6_c1_2_test,4105.608823,4096.716595,4090.10126,4094.45,5501.8,4110.42
tri_a0_c20_b120_L6_c1_2_train,1927.152718,1927.398475,1927.838378,1927.01,2695.78,1944.64
tri_a0_c20_b120_L6_c1_2_test,1907.188514,1907.112219,1921.294083,1906.07,2682.89,1916.99
tri_a0_c100_b800_L6_c1_2_train,12936.29123,12930.23162,12932.79464,12932.2,19346.34,12978.62
tri_a0_c100_b800_L6_c1_2_test,13076.10021,13046.40496,13043.64087,13019.54,19347.28,13076
tri_a0_c100_b500_L6_c1_2_train,7783.541885,7808.034579,7780.908206,7784.12,11318.77,7795.62
tri_a0_c100_b500_L6_c1_2_test,7877.14126,7942.702712,7880.642616,7870.49,11401.55,7916.34
tri_a0_c100_b250_L6_c1_2_train,3841.32056,3844.881913,3827.639771,3833.71,5860.91,3859.28
tri_a0_c100_b250_L6_c1_2_test,3835.24081,3832.295491,3813.373508,3818.32,5927.16,3857.56
tri_a0_c100_b120_L6_c1_2_train,2059.251248,2060.933153,2044.759152,2061.95,3433.05,2069.39
tri_a0_c100_b120_L6_c1_2_test,2071.594745,2070.245548,2078.020834,2082.52,3442.26,2090.57
pareto_a6_xm50_L6_c1_2_train,644.8185,643.3387925,644.1527534,643.1,1811.63,643.1
pareto_a6_xm50_L6_c1_2_test,654.2835754,653.6303863,654.5726253,653.31,1815.53,653.36
pareto_a6_xm5_L6_c1_2_train,76.2381003,76.37367737,75.99114405,95.26,187.66,95.26
pareto_a6_xm5_L6_c1_2_test,76.28196259,76.46555115,75.86654092,95.7,187.77,95.7
pareto_a6_xm20_L6_c1_2_train,258.5731663,258.4690768,259.9186501,308.23,719.88,257.86
pareto_a6_xm20_L6_c1_2_test,268.2244787,268.1469073,269.2663854,318.78,732.7,267.69
pareto_a6_xm100_L6_c1_2_train,1308.376608,1308.226339,1307.324919,1306.77,3620.35,1307.33
pareto_a6_xm100_L6_c1_2_test,1327.247864,1327.057308,1326.085318,1325.94,3647.22,1326.2
pareto_a6_xm10_L6_c1_2_train,138.9217361,137.6589772,137.850402,200.34,369.12,137.69
pareto_a6_xm10_L6_c1_2_test,134.7464768,133.3980875,133.9035508,196.9,367.44,133.4
pareto_a6_xm1_L6_c1_2_train,9.825089826,9.650466089,9.927362125,37.36,30.36,9.36
pareto_a6_xm1_L6_c1_2_test,9.541138513,9.364994646,9.639362125,37.07,30.07,9.07
pareto_a4_xm50_L6_c1_2_train,1100.254735,1108.82743,1099.015697,1119.77,2314.58,1101.29
