dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p85_r10_p0p3_L6_c1_2_test,351.7720036,351.7720038,351.772,351.77,351.77,351.77
zinb_pi0p85_r10_p0p2_L6_c1_2_train,618.6600032,618.6600034,618.66,618.66,618.66,618.66
zinb_pi0p85_r10_p0p2_L6_c1_2_test,606.7020035,606.7020038,606.702,606.7,606.7,606.7
zinb_pi0p85_r10_p0p1_L6_c1_2_train,1422.060003,1422.060004,1422.06,1422.06,1422.06,1422.06
zinb_pi0p85_r10_p0p1_L6_c1_2_test,1342.510004,1342.510004,1342.51,1342.51,1342.51,1342.51
zinb_pi0p7_r5_p0p8_L6_c1_2_train,37.00000204,37.00000216,37,37,37,37
zinb_pi0p7_r5_p0p8_L6_c1_2_test,37.09400203,37.09400215,37.094,37.09,37.09,37.09
zinb_pi0p7_r5_p0p6_L6_c1_2_train,99.74000071,99.74000075,99.74,99.74,99.74,99.74
zinb_pi0p7_r5_p0p6_L6_c1_2_test,99.60800065,99.60800069,99.608,99.61,99.61,99.61
zinb_pi0p7_r5_p0p4_L6_c1_2_train,228.1800003,228.1800003,228.18,228.18,228.18,228.18
zinb_pi0p7_r5_p0p4_L6_c1_2_test,226.0020004,226.0020004,226.002,226,226,226
zinb_pi0p7_r5_p0p3_L6_c1_2_train,355.2800002,355.2800002,355.28,355.28,355.28,355.28
zinb_pi0p7_r5_p0p3_L6_c1_2_test,347.7460004,347.7460004,347.746,347.75,347.75,347.75
zinb_pi0p7_r5_p0p2_L6_c1_2_train,598.9200004,598.9200004,598.92,598.92,598.92,598.92
zinb_pi0p7_r5_p0p2_L6_c1_2_test,602.9900003,602.9900004,602.99,602.99,602.99,602.99
zinb_pi0p7_r5_p0p1_L6_c1_2_train,1331.38,1331.38,1331.38,1331.38,1331.38,1331.38
zinb_pi0p7_r5_p0p1_L6_c1_2_test,1323.29,1323.29,1323.29,1323.29,1323.29,1323.29
zinb_pi0p7_r40_p0p8_L6_c1_2_train,306.7000004,306.7000004,306.7,306.7,306.7,306.7
zinb_pi0p7_r40_p0p8_L6_c1_2_test,299.1380004,299.1380004,299.138,299.14,299.14,299.14
zinb_pi0p7_r40_p0p6_L6_c1_2_train,807.6389621,807.1741154,807.6402113,807.64,807.64,807.64
zinb_pi0p7_r40_p0p6_L6_c1_2_test,794.9149962,803.1234614,794.8915173,794.88,794.88,794.88
zinb_pi0p7_r40_p0p4_L6_c1_2_train,1859.16,1859.16,1859.16,1859.16,1859.16,1859.16
zinb_pi0p7_r40_p0p4_L6_c1_2_test,1795.194,1795.194,1795.194,1795.19,1795.19,1795.19
zinb_pi0p7_r40_p0p3_L6_c1_2_train,2752.18,2752.18,2752.18,2752.18,2752.18,2752.18
zinb_pi0p7_r40_p0p3_L6_c1_2_test,2826.308,2826.308,2826.308,2826.31,2826.31,2826.31
zinb_pi0p7_r40_p0p2_L6_c1_2_train,4839.7,4839.7,4839.7,4839.7,4917.98,4839.7
zinb_pi0p7_r40_p0p2_L6_c1_2_test,4758.602,4758.602,4758.602,4758.6,4817.84,4758.6
zinb_pi0p7_r40_p0p1_L6_c1_2_train,10677.38,10677.38,10677.38,10677.38,12798.3,10677.38
zinb_pi0p7_r40_p0p1_L6_c1_2_test,10851.142,10851.142,10851.142,10851.14,12801.8,10851.14
zinb_pi0p7_r20_p0p8_L6_c1_2_train,147.0000005,147.0000005,147,147,147,147
zinb_pi0p7_r20_p0p8_L6_c1_2_test,148.8100004,148.8100004,148.81,148.81,148.81,148.81
zinb_pi0p7_r20_p0p6_L6_c1_2_train,402.3200004,402.3200005,402.32,402.32,402.32,402.32
zinb_pi0p7_r20_p0p6_L6_c1_2_test,400.7680004,400.7680004,400.768,400.77,400.77,400.77
