dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
exponential_100_L2_p4_train,9248.74,9217.59,9267.15
exponential_100_L2_p4_test,9269.479,9249.472,9310.586
exponential_125_L2_p4_train,11730.88,11730.76,11718.06
exponential_125_L2_p4_test,11539.729,11545.512,11601.823
exponential_150_L2_p4_train,13677.55,13694.13,13706.74
exponential_150_L2_p4_test,14079.036,14077.856,14160.226
exponential_50_L2_p4_train,4692.52,4689.34,4681.63
exponential_50_L2_p4_test,4693.408,4691.688,4709.382
exponential_75_L2_p4_train,6945.09,6951.88,6992.12
exponential_75_L2_p4_test,7046.614,7056.466,7084.492
normal_std100_100_L2_p4_train,8592.04,8592.99,8612.77
normal_std100_100_L2_p4_test,8646.597,8635.892,8688.688
normal_std100_125_L2_p4_train,9146.12,9150.02,9187.88
normal_std100_125_L2_p4_test,9034.62,9048.367,9040.872
normal_std100_150_L2_p4_train,9296.31,9300.89,9212.51
normal_std100_150_L2_p4_test,9407.26,9424.401,9357.52
normal_std100_50_L2_p4_train,7339.02,7345.25,7342.78
normal_std100_50_L2_p4_test,7467.45,7442.651,7473.332
normal_std100_75_L2_p4_train,8213.24,8228.08,8210.99
normal_std100_75_L2_p4_test,8114.978,8122.408,8152.697
normal_std10_100_L2_p4_train,1106.59,1064.9,1002.23
normal_std10_100_L2_p4_test,1083.006,1037.26,982.116
normal_std10_125_L2_p4_train,1121.17,1081.58,998.68
normal_std10_125_L2_p4_test,1116.464,1071.205,992.398
normal_std10_150_L2_p4_train,1137.14,1104.45,995.09
normal_std10_150_L2_p4_test,1096.589,1092.993,986.446
normal_std10_50_L2_p4_train,1027.97,1015.49,993.04
normal_std10_50_L2_p4_test,1024.356,1011.239,989.523
normal_std10_75_L2_p4_train,1044.65,1025.92,1004.52
normal_std10_75_L2_p4_test,1055.979,1028.215,993.916
normal_std20_100_L2_p4_train,2009.52,1987.4,1968.5
normal_std20_100_L2_p4_test,2063.13,2018.342,1978.287
normal_std20_125_L2_p4_train,2037.78,2007.58,1923.19
normal_std20_125_L2_p4_test,2066.946,2039.822,1949.84
normal_std20_150_L2_p4_train,2202.56,2136.76,2002.64
normal_std20_150_L2_p4_test,2092.707,2034.422,1954.499
normal_std20_150_L2_p4_train,2202.56,2136.76,2002.64
normal_std20_150_L2_p4_test,2092.707,2034.422,1954.499
normal_std20_50_L2_p4_train,2029.57,2021.64,1983.81
normal_std20_50_L2_p4_test,1992.316,1977.427,1950.961
normal_std20_50_L2_p4_train,2029.57,2021.64,1983.81
normal_std20_50_L2_p4_test,1992.316,1977.427,1950.961
normal_std20_75_L2_p4_train,2048.0,2030.53,2009.12
normal_std20_75_L2_p4_test,2026.322,2011.01,1963.256
normal_std20_75_L2_p4_train,2048.0,2030.53,2009.12
normal_std20_75_L2_p4_test,2026.322,2011.01,1963.256
normal_std30_100_L2_p4_train,3012.42,2982.28,2916.5
normal_std30_100_L2_p4_test,3021.709,2996.795,2933.172
normal_std30_100_L2_p4_train,3012.42,2982.28,2916.5
normal_std30_100_L2_p4_test,3021.709,2996.795,2933.172
normal_std30_125_L2_p4_train,3001.39,2964.88,2880.08
normal_std30_125_L2_p4_test,3075.16,3030.947,2947.139
normal_std30_125_L2_p4_train,3001.39,2964.88,2880.08
normal_std30_125_L2_p4_test,3075.16,3030.947,2947.139
normal_std30_150_L2_p4_train,3166.34,3058.51,2948.98
normal_std30_150_L2_p4_test,3189.561,3048.875,2937.646
normal_std30_150_L2_p4_train,3166.34,3058.51,2948.98
normal_std30_150_L2_p4_test,3189.561,3048.875,2937.646
normal_std30_50_L2_p4_train,2941.24,2964.82,2895.95
normal_std30_50_L2_p4_test,2884.212,2904.449,2870.612
normal_std30_50_L2_p4_train,2941.24,2964.82,2895.95
normal_std30_50_L2_p4_test,2884.212,2904.449,2870.612
normal_std30_75_L2_p4_train,2986.97,2985.62,2926.93
normal_std30_75_L2_p4_test,2997.566,2996.487,2955.697
normal_std30_75_L2_p4_train,2986.97,2985.62,2926.93
normal_std30_75_L2_p4_test,2997.566,2996.487,2955.697
normal_std50_100_L2_p4_train,4887.92,4899.57,4837.53
normal_std50_100_L2_p4_test,4881.822,4893.69,4827.708
normal_std50_100_L2_p4_train,4887.92,4899.57,4837.53
normal_std50_100_L2_p4_test,4881.822,4893.69,4827.708
normal_std50_125_L2_p4_train,5003.99,4996.02,4923.42
normal_std50_125_L2_p4_test,4977.274,4977.346,4906.965
normal_std50_125_L2_p4_train,5003.99,4996.02,4923.42
normal_std50_125_L2_p4_test,4977.274,4977.346,4906.965
normal_std50_150_L2_p4_train,5043.18,5029.65,4924.03
normal_std50_150_L2_p4_test,5033.298,4990.567,4896.534
normal_std50_150_L2_p4_train,5043.18,5029.65,4924.03
normal_std50_150_L2_p4_test,5033.298,4990.567,4896.534
normal_std50_50_L2_p4_train,4313.81,4377.17,4348.88
normal_std50_50_L2_p4_test,4357.432,4414.463,4367.766
normal_std50_50_L2_p4_train,4313.81,4377.17,4348.88
normal_std50_50_L2_p4_test,4357.432,4414.463,4367.766
normal_std50_75_L2_p4_train,4851.99,4845.99,4782.92
normal_std50_75_L2_p4_test,4714.085,4707.67,4671.909
normal_std50_75_L2_p4_train,4851.99,4845.99,4782.92
normal_std50_75_L2_p4_test,4714.085,4707.67,4671.909
poisson_100_L2_p4_train,1152.59,1060.76,1018.43
poisson_100_L2_p4_test,1143.183,1051.823,995.663
poisson_100_L2_p4_train,1152.59,1060.76,1018.43
poisson_100_L2_p4_test,1143.183,1051.823,995.663
poisson_125_L2_p4_train,1154.84,1144.57,1077.27
poisson_125_L2_p4_test,1179.713,1165.425,1099.426
poisson_125_L2_p4_train,1154.84,1144.57,1077.27
poisson_125_L2_p4_test,1179.713,1165.425,1099.426
poisson_150_L2_p4_train,1361.57,1315.49,1203.52
poisson_150_L2_p4_test,1343.144,1293.681,1197.122
poisson_150_L2_p4_train,1361.57,1315.49,1203.52
poisson_150_L2_p4_test,1343.144,1293.681,1197.122
poisson_50_L2_p4_train,718.5,713.44,686.78
poisson_50_L2_p4_test,736.672,730.412,696.169
poisson_50_L2_p4_train,718.5,713.44,686.78
poisson_50_L2_p4_test,736.672,730.412,696.169
poisson_75_L2_p4_train,916.72,900.61,884.04
poisson_75_L2_p4_test,917.456,903.83,885.817
poisson_75_L2_p4_train,916.72,900.61,884.04
poisson_75_L2_p4_test,917.456,903.83,885.817
