dataset,basestock,constant,capped_base_stock,exponential_L4_c1_2,normal_std30_L4_c1_2,poisson_L4_c1_2
zinb_pi0p85_r5_p0p8_L4_c1_2_train.json,17.76,17.76,17.76,17.76000721,17.76000156,17.76000678
zinb_pi0p85_r5_p0p8_L4_c1_2_test.json,18.472,18.472,18.472,18.47200693,18.47200157,18.47200651
zinb_pi0p85_r5_p0p6_L4_c1_2_train.json,50.04,50.04,50.04,50.04000451,50.04000115,50.04000423
zinb_pi0p85_r5_p0p6_L4_c1_2_test.json,50.392,50.392,50.392,50.39200442,50.39200116,50.39200415
zinb_pi0p85_r5_p0p4_L4_c1_2_train.json,107.82,107.82,107.82,107.8200039,107.8200012,107.8200037
zinb_pi0p85_r5_p0p4_L4_c1_2_test.json,113.11,113.11,113.11,113.1100038,113.1100011,113.1100036
zinb_pi0p85_r5_p0p3_L4_c1_2_train.json,179.7,179.7,179.7,179.7000036,179.7000011,179.7000033
zinb_pi0p85_r5_p0p3_L4_c1_2_test.json,173.542,173.542,173.542,173.542004,173.5420011,173.5420037
zinb_pi0p85_r5_p0p2_L4_c1_2_train.json,302.4,302.4,302.4,302.4000038,302.4000011,302.4000035
zinb_pi0p85_r5_p0p2_L4_c1_2_test.json,306.434,306.434,306.434,306.4340037,306.4340011,306.4340035
zinb_pi0p85_r5_p0p1_L4_c1_2_train.json,636.72,636.72,636.72,636.7200041,636.7200017,636.7200038
zinb_pi0p85_r5_p0p1_L4_c1_2_test.json,673.194,673.194,673.194,673.194004,673.1940017,673.1940037
zinb_pi0p85_r40_p0p8_L4_c1_2_train.json,142.22,142.22,142.22,142.2200041,142.2200011,142.2200039
zinb_pi0p85_r40_p0p8_L4_c1_2_test.json,150.802,150.802,150.802,150.8020039,150.8020011,150.8020036
zinb_pi0p85_r40_p0p6_L4_c1_2_train.json,414.4,414.4,414.4,414.4000035,414.400001,414.4000033
zinb_pi0p85_r40_p0p6_L4_c1_2_test.json,403.03,403.03,403.03,403.0300038,403.0300011,403.0300036
zinb_pi0p85_r40_p0p4_L4_c1_2_train.json,913.8,913.8,913.8,913.8000034,913.8000015,913.8000032
zinb_pi0p85_r40_p0p4_L4_c1_2_test.json,896.936,896.936,896.936,896.936004,896.9360016,896.9360037
zinb_pi0p85_r40_p0p3_L4_c1_2_train.json,1424.8,1424.8,1424.8,1424.800004,1424.800002,1424.800003
zinb_pi0p85_r40_p0p3_L4_c1_2_test.json,1426.522,1426.522,1426.522,1426.522004,1426.522002,1426.522004
zinb_pi0p85_r40_p0p2_L4_c1_2_train.json,2516.72,2516.72,2516.72,2516.720004,2516.720002,2516.720004
zinb_pi0p85_r40_p0p2_L4_c1_2_test.json,2418.134,2418.134,2418.134,2418.134004,2418.134002,2418.134004
zinb_pi0p85_r40_p0p1_L4_c1_2_train.json,5640.06,5640.06,5640.06,5640.060004,5640.060002,5640.060004
zinb_pi0p85_r40_p0p1_L4_c1_2_test.json,5516.274,5516.274,5516.274,5516.274004,5516.274002,5516.274003
zinb_pi0p85_r20_p0p8_L4_c1_2_train.json,78.56,78.56,78.56,78.56000374,78.56000103,78.5600035
zinb_pi0p85_r20_p0p8_L4_c1_2_test.json,76,76,76,76.00000384,76.00000107,76.0000036
zinb_pi0p85_r20_p0p6_L4_c1_2_train.json,191.22,191.22,191.22,191.2200044,191.2200013,191.2200041
zinb_pi0p85_r20_p0p6_L4_c1_2_test.json,205.016,205.016,205.016,205.0160038,205.0160011,205.0160035
zinb_pi0p85_r20_p0p4_L4_c1_2_train.json,452.7,452.7,452.7,452.7000038,452.7000011,452.7000035
zinb_pi0p85_r20_p0p4_L4_c1_2_test.json,454.986,454.986,454.986,454.9860039,454.9860011,454.9860036
zinb_pi0p85_r20_p0p3_L4_c1_2_train.json,689.28,689.28,689.28,689.2800043,689.2800012,689.280004
zinb_pi0p85_r20_p0p3_L4_c1_2_test.json,705.404,705.404,705.404,705.4040039,705.4040011,705.4040036
zinb_pi0p85_r20_p0p2_L4_c1_2_train.json,1226.24,1226.24,1226.24,1226.240004,1226.240002,1226.240004
zinb_pi0p85_r20_p0p2_L4_c1_2_test.json,1203.582,1203.582,1203.582,1203.582004,1203.582002,1203.582004
zinb_pi0p85_r20_p0p1_L4_c1_2_train.json,2647.32,2647.32,2647.32,2647.320005,2647.320002,2647.320004
zinb_pi0p85_r20_p0p1_L4_c1_2_test.json,2697.368,2697.368,2697.368,2697.368004,2697.368002,2697.368004
zinb_pi0p85_r2_p0p8_L4_c1_2_train.json,7.74,7.74,7.74,7.740012815,7.740002158,7.740012051
zinb_pi0p85_r2_p0p8_L4_c1_2_test.json,7.454,7.454,7.454,7.454012127,7.454002132,7.454011403
zinb_pi0p85_r2_p0p6_L4_c1_2_train.json,18.64,18.64,18.64,18.64000729,18.64000165,18.64000684
zinb_pi0p85_r2_p0p6_L4_c1_2_test.json,20.354,20.354,20.354,20.35400717,20.35400161,20.35400673
zinb_pi0p85_r2_p0p4_L4_c1_2_train.json,48.78,48.78,48.78,48.78000445,48.78000125,48.78000416
zinb_pi0p85_r2_p0p4_L4_c1_2_test.json,44.654,44.654,44.654,44.65400519,44.6540014,44.65400486
zinb_pi0p85_r2_p0p3_L4_c1_2_train.json,71.34,71.34,71.34,71.34000443,71.34000126,71.34000415
zinb_pi0p85_r2_p0p3_L4_c1_2_test.json,68.912,68.912,68.912,68.91200443,68.91200125,68.91200415
zinb_pi0p85_r2_p0p2_L4_c1_2_train.json,117.28,117.28,117.28,117.2800043,117.2800012,117.280004
zinb_pi0p85_r2_p0p2_L4_c1_2_test.json,115.434,115.434,115.434,115.4340042,115.4340012,115.434004
zinb_pi0p85_r2_p0p1_L4_c1_2_train.json,273.34,273.34,273.34,273.3400038,273.3400011,273.3400036
zinb_pi0p85_r2_p0p1_L4_c1_2_test.json,275.454,275.454,275.454,275.4540039,275.4540011,275.4540036
zinb_pi0p85_r10_p0p8_L4_c1_2_train.json,36.26,36.26,36.26,36.26000457,36.26000121,36.26000429
zinb_pi0p85_r10_p0p8_L4_c1_2_test.json,37.68,37.68,37.68,37.68000462,37.68000121,37.68000433
zinb_pi0p85_r10_p0p6_L4_c1_2_train.json,102.34,102.34,102.34,102.3400037,102.3400011,102.3400035
zinb_pi0p85_r10_p0p6_L4_c1_2_test.json,99.338,99.338,99.338,99.33800404,99.33800116,99.33800378
zinb_pi0p85_r10_p0p4_L4_c1_2_train.json,236.62,236.62,236.62,236.6200035,236.6200011,236.6200033
zinb_pi0p85_r10_p0p4_L4_c1_2_test.json,222.658,222.658,222.658,222.6580039,222.6580011,222.6580036
zinb_pi0p85_r10_p0p3_L4_c1_2_train.json,342.1,342.1,342.1,342.1000039,342.1000011,342.1000036
zinb_pi0p85_r10_p0p3_L4_c1_2_test.json,351.772,351.772,351.772,351.7720038,351.7720011,351.7720036
zinb_pi0p85_r10_p0p2_L4_c1_2_train.json,618.66,618.66,618.66,618.6600035,618.6600011,618.6600032
zinb_pi0p85_r10_p0p2_L4_c1_2_test.json,606.702,606.702,606.702,606.7020038,606.7020011,606.7020036
zinb_pi0p85_r10_p0p1_L4_c1_2_train.json,1422.06,1422.06,1422.06,1422.060004,1422.060002,1422.060004
zinb_pi0p85_r10_p0p1_L4_c1_2_test.json,1342.51,1342.51,1342.51,1342.510004,1342.510002,1342.510004
zinb_pi0p7_r5_p0p8_L4_c1_2_train.json,37,37,37,37.00000218,37.0000007,37.00000204
zinb_pi0p7_r5_p0p8_L4_c1_2_test.json,37.094,37.094,37.094,37.09400217,37.09400069,37.09400204
zinb_pi0p7_r5_p0p6_L4_c1_2_train.json,99.74,99.74,99.74,99.74000075,99.74000027,99.74000071
zinb_pi0p7_r5_p0p6_L4_c1_2_test.json,99.608,99.608,99.608,99.60800069,99.60800026,99.60800065
zinb_pi0p7_r5_p0p4_L4_c1_2_train.json,228.18,228.18,228.18,228.1800003,228.1800001,228.1800003
zinb_pi0p7_r5_p0p4_L4_c1_2_test.json,226.002,226.002,226.002,226.0020004,226.0020001,226.0020004
zinb_pi0p7_r5_p0p3_L4_c1_2_train.json,355.28,355.28,355.28,355.2800002,355.28,355.2800002
zinb_pi0p7_r5_p0p3_L4_c1_2_test.json,347.746,347.746,347.746,347.7460004,347.7460001,347.7460004
zinb_pi0p7_r5_p0p2_L4_c1_2_train.json,598.92,598.92,598.92,598.9200004,598.9200001,598.9200004
zinb_pi0p7_r5_p0p2_L4_c1_2_test.json,602.99,602.99,602.99,602.9900004,602.9900001,602.9900003
zinb_pi0p7_r5_p0p1_L4_c1_2_train.json,1331.38,1331.38,1331.38,1331.38,1331.38,1331.38
zinb_pi0p7_r5_p0p1_L4_c1_2_test.json,1323.29,1323.29,1323.29,1323.29,1323.29,1323.29
zinb_pi0p7_r40_p0p8_L4_c1_2_train.json,306.7,306.7,306.7,306.7000004,306.7000002,306.7000004
zinb_pi0p7_r40_p0p8_L4_c1_2_test.json,299.138,299.138,299.138,299.1380004,299.1380002,299.1380004
zinb_pi0p7_r40_p0p6_L4_c1_2_train.json,807.64,807.64,807.64,807.6400002,807.6277351,807.6400002
zinb_pi0p7_r40_p0p6_L4_c1_2_test.json,794.884,794.884,794.884,794.8840004,795.6829578,794.8840004
zinb_pi0p7_r40_p0p4_L4_c1_2_train.json,1859.16,1859.16,1859.16,1859.16,1859.16,1859.16
zinb_pi0p7_r40_p0p4_L4_c1_2_test.json,1795.194,1795.194,1795.194,1795.194,1795.194,1795.194
zinb_pi0p7_r40_p0p3_L4_c1_2_train.json,2752.18,2752.18,2752.18,2752.18,2752.18,2752.18
zinb_pi0p7_r40_p0p3_L4_c1_2_test.json,2826.308,2826.308,2826.308,2826.308,2826.308,2826.308
zinb_pi0p7_r40_p0p2_L4_c1_2_train.json,4839.7,4839.7,4839.7,4839.7,4839.7,4839.7
zinb_pi0p7_r40_p0p2_L4_c1_2_test.json,4758.602,4758.602,4758.602,4758.602,4758.602,4758.602
zinb_pi0p7_r40_p0p1_L4_c1_2_train.json,11088.18,10677.38,10677.38,10677.38,10677.38,10677.38
zinb_pi0p7_r40_p0p1_L4_c1_2_test.json,11390.027,10851.142,10851.142,10851.142,10851.142,10851.142
zinb_pi0p7_r20_p0p8_L4_c1_2_train.json,147,147,147,147.0000005,147.0000002,147.0000005
zinb_pi0p7_r20_p0p8_L4_c1_2_test.json,148.81,148.81,148.81,148.8100004,148.8100002,148.8100004
zinb_pi0p7_r20_p0p6_L4_c1_2_train.json,402.32,402.32,402.32,402.3200005,402.3200002,402.3200004
zinb_pi0p7_r20_p0p6_L4_c1_2_test.json,400.768,400.768,400.768,400.7680004,400.7680002,400.7680004
zinb_pi0p7_r20_p0p4_L4_c1_2_train.json,906.34,906.34,906.34,906.3400004,906.3400001,906.3400004
zinb_pi0p7_r20_p0p4_L4_c1_2_test.json,894.726,894.726,894.726,894.7260004,894.7260001,894.7260004
zinb_pi0p7_r20_p0p3_L4_c1_2_train.json,1374.52,1374.52,1374.52,1374.52,1374.52,1374.52
zinb_pi0p7_r20_p0p3_L4_c1_2_test.json,1397.448,1397.448,1397.448,1397.448,1397.448,1397.448
zinb_pi0p7_r20_p0p2_L4_c1_2_train.json,2377.52,2377.52,2377.52,2377.52,2377.52,2377.52
zinb_pi0p7_r20_p0p2_L4_c1_2_test.json,2423.474,2423.474,2423.474,2423.474,2423.474,2423.474
zinb_pi0p7_r20_p0p1_L4_c1_2_train.json,5584.66,5584.66,5584.66,5584.66,5584.66,5584.66
zinb_pi0p7_r20_p0p1_L4_c1_2_test.json,5425.112,5425.112,5425.112,5425.112,5425.112,5425.112
zinb_pi0p7_r2_p0p8_L4_c1_2_train.json,15.2,15.2,15.2,15.20000584,15.20000146,15.2000055
zinb_pi0p7_r2_p0p8_L4_c1_2_test.json,15.422,15.422,15.422,15.42200609,15.42200145,15.42200573
zinb_pi0p7_r2_p0p6_L4_c1_2_train.json,40.22,40.22,40.22,40.22000262,40.22000079,40.22000246
zinb_pi0p7_r2_p0p6_L4_c1_2_test.json,39.714,39.714,39.714,39.7140024,39.71400075,39.71400226
zinb_pi0p7_r2_p0p4_L4_c1_2_train.json,87.4,87.4,87.4,87.40000116,87.40000017,87.40000109
zinb_pi0p7_r2_p0p4_L4_c1_2_test.json,89.294,89.294,89.294,89.29400117,89.29400018,89.2940011
zinb_pi0p7_r2_p0p3_L4_c1_2_train.json,134.02,134.02,134.02,134.020001,134.0200002,134.0200009
zinb_pi0p7_r2_p0p3_L4_c1_2_test.json,141.24,141.24,141.24,141.2400006,141.2400001,141.2400006
zinb_pi0p7_r2_p0p2_L4_c1_2_train.json,244.44,244.44,244.44,244.4400005,244.4400001,244.4400004
zinb_pi0p7_r2_p0p2_L4_c1_2_test.json,236.412,236.412,236.412,236.4120006,236.4120001,236.4120006
zinb_pi0p7_r2_p0p1_L4_c1_2_train.json,565.88,565.88,565.88,565.8800003,565.8800001,565.8800003
zinb_pi0p7_r2_p0p1_L4_c1_2_test.json,542.49,542.49,542.49,542.4900004,542.4900001,542.4900003
zinb_pi0p7_r10_p0p8_L4_c1_2_train.json,74.9,74.9,74.9,74.90000089,74.90000035,74.90000084
zinb_pi0p7_r10_p0p8_L4_c1_2_test.json,74.66,74.66,74.66,74.66000075,74.66000029,74.66000071
zinb_pi0p7_r10_p0p6_L4_c1_2_train.json,202.26,202.26,202.26,202.2600004,202.2600008,202.2600004
zinb_pi0p7_r10_p0p6_L4_c1_2_test.json,199.782,199.782,199.782,199.7820004,199.7820008,199.7820004
zinb_pi0p7_r10_p0p4_L4_c1_2_train.json,431.78,431.78,431.78,431.7800005,431.7800001,431.7800005
zinb_pi0p7_r10_p0p4_L4_c1_2_test.json,448.008,448.008,448.008,448.0080004,448.0080001,448.0080004
zinb_pi0p7_r10_p0p3_L4_c1_2_train.json,704.42,704.42,704.42,704.4200004,704.4200002,704.4200004
zinb_pi0p7_r10_p0p3_L4_c1_2_test.json,706.958,706.958,706.958,706.9580004,706.9580001,706.9580003
zinb_pi0p7_r10_p0p2_L4_c1_2_train.json,1199.66,1199.66,1199.66,1199.66,1199.66,1199.66
zinb_pi0p7_r10_p0p2_L4_c1_2_test.json,1186.438,1186.438,1186.438,1186.438,1186.438,1186.438
zinb_pi0p7_r10_p0p1_L4_c1_2_train.json,2611.64,2611.64,2611.64,2611.640001,2611.64,2611.640001
zinb_pi0p7_r10_p0p1_L4_c1_2_test.json,2702.458,2702.458,2702.458,2702.458,2702.458,2702.458
zinb_pi0p5_r5_p0p8_L4_c1_2_train.json,59.46,59.68,59.68,59.68000006,59.67998828,59.67979553
zinb_pi0p5_r5_p0p8_L4_c1_2_test.json,62.562,62.562,62.562,62.56200001,62.56201156,62.56214619
zinb_pi0p5_r5_p0p6_L4_c1_2_train.json,149.51,160.46,149.51,146.1129079,146.5005231,146.5054494
zinb_pi0p5_r5_p0p6_L4_c1_2_test.json,155.1,165.842,155.554,151.2437663,151.1000227,151.1125709
zinb_pi0p5_r5_p0p4_L4_c1_2_train.json,341.96,333.41,337.04,325.6161715,325.9969302,326.2022104
zinb_pi0p5_r5_p0p4_L4_c1_2_test.json,336.626,331.511,331.793,323.9831964,324.4761601,324.4513796
zinb_pi0p5_r5_p0p3_L4_c1_2_train.json,508.31,488.33,492.07,483.7611452,483.8058214,483.7953042
zinb_pi0p5_r5_p0p3_L4_c1_2_test.json,520.607,502.474,505.094,497.6638254,498.1184173,498.1537096
zinb_pi0p5_r5_p0p2_L4_c1_2_train.json,883.08,844.16,839.47,843.2818608,838.9675072,838.8665305
zinb_pi0p5_r5_p0p2_L4_c1_2_test.json,888.225,854.204,849.989,852.0501721,849.8072619,849.5335081
zinb_pi0p5_r5_p0p1_L4_c1_2_train.json,1985.37,1898.11,1889.46,1883.904071,1888.16652,1886.756611
