policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L2_p10,train,14611.39,13813.0585,15220.00325,ok_expanded,14611.39,"{""base_stock"": 100.55388041745637, ""safety_stock"": 572.1560869762965, ""pipeline_weight"": 0.8178196691199201, ""smoothing_factor"": 0.3585215201488876, ""lost_sales_weight"": 3.206625931766629e-06, ""demand_buffer"": 142.97130774785268, ""min_order_threshold"": 5.599381305333569}",
exponential_L6_c1_2,exponential_100_L2_p10,test,14664.302,14480.206475,14850.773874999999,ok_expanded,14611.39,"{""base_stock"": 100.55388041745637, ""safety_stock"": 572.1560869762965, ""pipeline_weight"": 0.8178196691199201, ""smoothing_factor"": 0.3585215201488876, ""lost_sales_weight"": 3.206625931766629e-06, ""demand_buffer"": 142.97130774785268, ""min_order_threshold"": 5.599381305333569}",
normal_std30_L6_c1_2,exponential_100_L2_p10,train,14586.26,13807.140500000001,15210.5505,ok_expanded,14586.26,"{""base_stock"": 455.58044813281276, ""safety_stock"": 63.90606742833932, ""pipeline_weight"": 0.8744191608234981, ""demand_forecast"": 0.0289276069397508, ""smoothing_factor"": 0.4189180827407348, ""forecast_weight"": 0.7522102424265532, ""adjustment_factor"": 0.4019948860935036, ""pipeline_discount"": 0.44647040685605355, ""min_order"": 6.391051061366141}",
normal_std30_L6_c1_2,exponential_100_L2_p10,test,14652.38,14463.857125,14849.062,ok_expanded,14586.26,"{""base_stock"": 455.58044813281276, ""safety_stock"": 63.90606742833932, ""pipeline_weight"": 0.8744191608234981, ""demand_forecast"": 0.0289276069397508, ""smoothing_factor"": 0.4189180827407348, ""forecast_weight"": 0.7522102424265532, ""adjustment_factor"": 0.4019948860935036, ""pipeline_discount"": 0.44647040685605355, ""min_order"": 6.391051061366141}",
poisson_L6_c1_2,exponential_100_L2_p10,train,14612.18,13854.102499999999,15244.755749999998,ok_expanded,14612.18,"{""safety_stock"": 115.36737028917076, ""demand_estimate"": 336.0627111353732, ""max_order"": 138.11577344202698}",
poisson_L6_c1_2,exponential_100_L2_p10,test,14775.697,14578.765925000002,14966.9739,ok_expanded,14612.18,"{""safety_stock"": 115.36737028917076, ""demand_estimate"": 336.0627111353732, ""max_order"": 138.11577344202698}",
exponential_L6_c1_2,exponential_125_L2_p10,train,18352.15,17546.85875,19326.815,ok_expanded,18352.15,"{""base_stock"": 170.0537252357774, ""safety_stock"": 79.75636196299624, ""pipeline_weight"": 0.7225176861916863, ""smoothing_factor"": 0.33615884982519156, ""lost_sales_weight"": 0.0021814043269954802, ""demand_buffer"": 1731.4655629491788, ""min_order_threshold"": 0.13927444347181514}",
exponential_L6_c1_2,exponential_125_L2_p10,test,18238.686,17991.747750000002,18509.55225,ok_expanded,18352.15,"{""base_stock"": 170.0537252357774, ""safety_stock"": 79.75636196299624, ""pipeline_weight"": 0.7225176861916863, ""smoothing_factor"": 0.33615884982519156, ""lost_sales_weight"": 0.0021814043269954802, ""demand_buffer"": 1731.4655629491788, ""min_order_threshold"": 0.13927444347181514}",
normal_std30_L6_c1_2,exponential_125_L2_p10,train,18319.76,17518.40975,19260.708749999998,ok_expanded,18319.76,"{""base_stock"": 467.8434030849312, ""safety_stock"": 131.0826353002006, ""pipeline_weight"": 0.9776719852955389, ""demand_forecast"": 9.688920389608172e-06, ""smoothing_factor"": 0.5462356183233699, ""forecast_weight"": 0.3920932081015239, ""adjustment_factor"": 0.1, ""pipeline_discount"": 1.0, ""min_order"": 13.684236757935546}",
normal_std30_L6_c1_2,exponential_125_L2_p10,test,18236.503,17987.9118,18502.6159,ok_expanded,18319.76,"{""base_stock"": 467.8434030849312, ""safety_stock"": 131.0826353002006, ""pipeline_weight"": 0.9776719852955389, ""demand_forecast"": 9.688920389608172e-06, ""smoothing_factor"": 0.5462356183233699, ""forecast_weight"": 0.3920932081015239, ""adjustment_factor"": 0.1, ""pipeline_discount"": 1.0, ""min_order"": 13.684236757935546}",
poisson_L6_c1_2,exponential_125_L2_p10,train,18371.34,17550.79475,19334.686499999996,ok_expanded,18371.34,"{""demand_estimate"": 356.45689426449064, ""max_order"": 170.91136133829295, ""safety_stock"": 209.40099106168012}",
poisson_L6_c1_2,exponential_125_L2_p10,test,18298.632,18045.186875,18559.421374999998,ok_expanded,18371.34,"{""demand_estimate"": 356.45689426449064, ""max_order"": 170.91136133829295, ""safety_stock"": 209.40099106168012}",
