dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
exponential_100_L6_p6_train,12223.87,12224.85,12270.18
exponential_100_L6_p6_test,12382.347,12396.258,12431.056
exponential_125_L6_p6_train,15589.67,15564.58,15559.26
exponential_125_L6_p6_test,15478.227,15545.564,15567.669
exponential_150_L6_p6_train,18388.01,18371.66,18400.59
exponential_150_L6_p6_test,19007.821,18994.851,19056.129
exponential_50_L6_p6_train,6307.65,6316.75,6312.98
exponential_50_L6_p6_test,6272.754,6266.201,6291.423
exponential_75_L6_p6_train,9401.93,9395.82,9522.41
exponential_75_L6_p6_test,9461.553,9433.391,9484.772
normal_std100_100_L6_p6_train,11695.82,11605.36,11519.41
normal_std100_100_L6_p6_test,11628.358,11756.897,11687.9
normal_std100_125_L6_p6_train,12502.36,12458.58,12513.68
normal_std100_125_L6_p6_test,12360.371,12263.981,12204.01
normal_std100_150_L6_p6_train,12836.03,12761.97,12621.28
normal_std100_150_L6_p6_test,12897.929,12845.86,12843.82
normal_std100_50_L6_p6_train,9913.4,9932.01,9947.3
normal_std100_50_L6_p6_test,10010.565,9984.211,10059.436
normal_std100_75_L6_p6_train,11047.23,11039.1,10996.56
normal_std100_75_L6_p6_test,10945.129,10932.735,10939.126
normal_std10_100_L6_p6_train,1452.95,1419.22,1456.15
normal_std10_100_L6_p6_test,1428.372,1382.149,1416.807
normal_std10_125_L6_p6_train,1436.53,1473.57,1407.18
normal_std10_125_L6_p6_test,1416.032,1451.698,1386.642
normal_std10_150_L6_p6_train,1518.78,1503.23,1443.62
normal_std10_150_L6_p6_test,1448.926,1437.451,1426.907
normal_std10_50_L6_p6_train,1435.29,1400.41,1380.91
normal_std10_50_L6_p6_test,1399.517,1370.108,1363.009
normal_std10_75_L6_p6_train,1372.56,1354.48,1362.46
normal_std10_75_L6_p6_test,1454.968,1419.218,1362.305
normal_std20_100_L6_p6_train,2630.43,2615.24,2656.51
normal_std20_100_L6_p6_test,2758.128,2737.306,2724.366
normal_std20_125_L6_p6_train,2760.26,2767.37,2700.34
normal_std20_125_L6_p6_test,2767.956,2785.192,2745.212
normal_std20_150_L6_p6_train,2943.15,2898.46,2866.69
normal_std20_150_L6_p6_test,2831.291,2797.444,2706.776
normal_std20_50_L6_p6_train,2757.15,2744.6,2730.03
normal_std20_50_L6_p6_test,2724.652,2709.009,2669.653
normal_std20_75_L6_p6_train,2838.06,2798.92,2763.67
normal_std20_75_L6_p6_test,2758.178,2726.832,2712.145
normal_std30_100_L6_p6_train,4174.93,4101.04,4084.22
normal_std30_100_L6_p6_test,4113.905,4080.794,4036.097
normal_std30_125_L6_p6_train,4060.9,4078.47,3922.83
normal_std30_125_L6_p6_test,4125.321,4123.957,4066.137
normal_std30_150_L6_p6_train,4184.25,4135.84,4063.67
normal_std30_150_L6_p6_test,4173.295,4142.254,4116.197
normal_std30_50_L6_p6_train,4094.24,4076.74,4065.24
normal_std30_50_L6_p6_test,3925.048,3904.316,3889.937
normal_std30_75_L6_p6_train,4029.49,4005.69,4008.68
normal_std30_75_L6_p6_test,4094.217,4083.865,4112.592
normal_std50_100_L6_p6_train,6701.06,6683.85,6540.89
normal_std50_100_L6_p6_test,6647.258,6645.503,6603.52
normal_std50_125_L6_p6_train,6821.82,6757.96,6768.35
normal_std50_125_L6_p6_test,6845.408,6802.476,6749.406
normal_std50_150_L6_p6_train,7116.34,6978.9,6862.7
normal_std50_150_L6_p6_test,6917.031,6824.449,6771.579
normal_std50_50_L6_p6_train,5784.01,5782.35,5803.44
normal_std50_50_L6_p6_test,5861.119,5847.814,5846.426
normal_std50_75_L6_p6_train,6441.13,6439.15,6419.06
normal_std50_75_L6_p6_test,6396.039,6405.557,6329.159
poisson_100_L6_p6_train,1454.74,1410.59,1398.46
poisson_100_L6_p6_test,1438.664,1393.835,1392.706
poisson_125_L6_p6_train,1517.47,1578.59,1657.55
poisson_125_L6_p6_test,1553.145,1623.84,1679.361
poisson_150_L6_p6_train,1840.69,1760.7,1712.9
poisson_150_L6_p6_test,1821.617,1751.743,1685.591
poisson_50_L6_p6_train,950.96,929.45,938.86
poisson_50_L6_p6_test,1012.066,973.952,959.017
poisson_75_L6_p6_train,1392.27,1232.01,1223.01
poisson_75_L6_p6_test,1357.754,1220.322,1236.225
