dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
exponential_100_L8_p4_train,9612.72,9596.04,9627.93
exponential_100_L8_p4_test,9765.349,9787.581,9795.011
exponential_125_L8_p4_train,12306.5,12274.59,12313.0
exponential_125_L8_p4_test,12284.351,12248.327,12306.726
exponential_150_L8_p4_train,14553.89,14537.38,14576.38
exponential_150_L8_p4_test,14930.013,14900.081,14955.211
exponential_50_L8_p4_train,4986.96,4988.59,4973.72
exponential_50_L8_p4_test,4959.078,4954.65,4961.252
exponential_75_L8_p4_train,7340.43,7332.07,7384.25
exponential_75_L8_p4_test,7408.585,7407.509,7461.39
normal_std100_100_L8_p4_train,9495.91,9470.86,9417.62
normal_std100_100_L8_p4_test,9517.275,9511.788,9536.42
normal_std100_125_L8_p4_train,10290.15,10297.06,10304.65
normal_std100_125_L8_p4_test,10027.54,10042.531,10041.893
normal_std100_150_L8_p4_train,10646.74,10606.84,10557.97
normal_std100_150_L8_p4_test,10625.135,10586.246,10608.867
normal_std100_50_L8_p4_train,7963.06,7951.19,8002.37
normal_std100_50_L8_p4_test,8071.391,8057.485,8129.439
normal_std100_75_L8_p4_train,8976.08,8984.32,8935.28
normal_std100_75_L8_p4_test,8873.716,8865.658,8863.502
normal_std10_100_L8_p4_train,1165.48,1158.34,1187.38
normal_std10_100_L8_p4_test,1124.724,1117.197,1172.637
normal_std10_125_L8_p4_train,1168.96,1167.98,1227.41
normal_std10_125_L8_p4_test,1141.366,1146.031,1188.126
normal_std10_150_L8_p4_train,1186.24,1226.06,1226.06
normal_std10_150_L8_p4_test,1138.224,1180.435,1180.435
normal_std10_50_L8_p4_train,1154.99,1154.81,1145.19
normal_std10_50_L8_p4_test,1125.294,1124.952,1120.842
normal_std10_75_L8_p4_train,1154.88,1100.12,1098.77
normal_std10_75_L8_p4_test,1189.971,1139.36,1130.075
normal_std20_100_L8_p4_train,2147.18,2143.75,2147.76
normal_std20_100_L8_p4_test,2247.057,2256.906,2226.244
normal_std20_125_L8_p4_train,2255.39,2246.01,2225.31
normal_std20_125_L8_p4_test,2260.673,2249.263,2229.699
normal_std20_150_L8_p4_train,2360.65,2362.28,2490.98
normal_std20_150_L8_p4_test,2279.133,2269.588,2336.244
normal_std20_50_L8_p4_train,2289.9,2287.98,2287.82
normal_std20_50_L8_p4_test,2234.825,2242.814,2228.116
normal_std20_75_L8_p4_train,2302.79,2307.35,2286.61
normal_std20_75_L8_p4_test,2248.295,2257.731,2234.324
normal_std30_100_L8_p4_train,3400.34,3391.12,3363.44
normal_std30_100_L8_p4_test,3361.599,3362.798,3350.966
normal_std30_125_L8_p4_train,3315.31,3319.85,3273.01
normal_std30_125_L8_p4_test,3369.052,3372.372,3363.46
normal_std30_150_L8_p4_train,3404.14,3420.53,3464.67
normal_std30_150_L8_p4_test,3398.371,3413.741,3412.803
normal_std30_50_L8_p4_train,3352.08,3351.69,3342.08
normal_std30_50_L8_p4_test,3237.601,3231.101,3231.991
normal_std30_75_L8_p4_train,3310.62,3307.69,3337.57
normal_std30_75_L8_p4_test,3367.51,3365.857,3392.843
normal_std50_100_L8_p4_train,5545.15,5550.92,5531.95
normal_std50_100_L8_p4_test,5485.461,5485.968,5488.934
normal_std50_125_L8_p4_train,5562.52,5560.11,5642.11
normal_std50_125_L8_p4_test,5620.616,5616.233,5610.967
normal_std50_150_L8_p4_train,5768.64,5760.09,5675.94
normal_std50_150_L8_p4_test,5652.616,5673.439,5636.777
normal_std50_50_L8_p4_train,4803.97,4770.4,4767.01
normal_std50_50_L8_p4_test,4813.808,4790.807,4786.666
normal_std50_75_L8_p4_train,5280.93,5267.64,5296.57
normal_std50_75_L8_p4_test,5264.18,5240.375,5230.662
poisson_100_L8_p4_train,1154.18,1139.26,1183.04
poisson_100_L8_p4_test,1142.125,1125.92,1177.18
poisson_125_L8_p4_train,1230.32,1252.02,1252.02
poisson_125_L8_p4_test,1260.68,1271.79,1271.79
poisson_150_L8_p4_train,1532.12,1404.99,1404.99
poisson_150_L8_p4_test,1539.005,1396.679,1396.679
poisson_50_L8_p4_train,795.33,774.77,784.1
poisson_50_L8_p4_test,810.382,814.638,798.583
poisson_75_L8_p4_train,1001.77,995.13,1053.99
poisson_75_L8_p4_test,996.533,988.513,1024.595
