dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
exponential_100_L4_p6_train,12070.55,12077.19,12105.61
exponential_100_L4_p6_test,12118.876,12160.801,12203.119
exponential_125_L4_p6_train,15363.45,15367.58,15351.93
exponential_125_L4_p6_test,15119.78,15182.754,15203.771
exponential_150_L4_p6_train,17933.15,17961.13,18039.48
exponential_150_L4_p6_test,18542.097,18550.064,18649.982
exponential_150_L4_p6_train,17933.15,17961.13,18039.48
exponential_150_L4_p6_test,18542.097,18550.064,18649.982
exponential_50_L4_p6_train,6161.49,6164.43,6137.3
exponential_50_L4_p6_test,6133.963,6128.605,6146.764
exponential_50_L4_p6_train,6161.49,6164.43,6137.3
exponential_50_L4_p6_test,6133.963,6128.605,6146.764
exponential_75_L4_p6_train,9229.45,9168.99,9229.51
exponential_75_L4_p6_test,9344.257,9265.355,9337.069
exponential_75_L4_p6_train,9229.45,9168.99,9229.51
exponential_75_L4_p6_test,9344.257,9265.355,9337.069
normal_std100_100_L4_p6_train,11150.78,11126.28,11129.81
normal_std100_100_L4_p6_test,11223.154,11202.922,11291.501
normal_std100_100_L4_p6_train,11150.78,11126.28,11129.81
normal_std100_100_L4_p6_test,11223.154,11202.922,11291.501
normal_std100_125_L4_p6_train,11998.38,11938.29,11999.59
normal_std100_125_L4_p6_test,11865.413,11780.899,11734.663
normal_std100_125_L4_p6_train,11998.38,11938.29,11999.59
normal_std100_125_L4_p6_test,11865.413,11780.899,11734.663
normal_std100_150_L4_p6_train,12238.73,12183.23,12045.6
normal_std100_150_L4_p6_test,12363.377,12329.202,12227.731
normal_std100_150_L4_p6_train,12238.73,12183.23,12045.6
normal_std100_150_L4_p6_test,12363.377,12329.202,12227.731
normal_std100_50_L4_p6_train,9584.88,9576.97,9583.01
normal_std100_50_L4_p6_test,9686.238,9671.06,9730.991
normal_std100_50_L4_p6_train,9584.88,9576.97,9583.01
normal_std100_50_L4_p6_test,9686.238,9671.06,9730.991
normal_std100_75_L4_p6_train,10617.0,10657.04,10591.3
normal_std100_75_L4_p6_test,10498.447,10543.824,10548.86
normal_std100_75_L4_p6_train,10617.0,10657.04,10591.3
normal_std100_75_L4_p6_test,10498.447,10543.824,10548.86
normal_std10_100_L4_p6_train,1421.62,1375.08,1304.72
normal_std10_100_L4_p6_test,1370.251,1332.681,1274.097
normal_std10_100_L4_p6_train,1421.62,1375.08,1304.72
normal_std10_100_L4_p6_test,1370.251,1332.681,1274.097
normal_std10_125_L4_p6_train,1416.33,1417.54,1335.05
normal_std10_125_L4_p6_test,1390.752,1392.297,1316.341
normal_std10_125_L4_p6_train,1416.33,1417.54,1335.05
normal_std10_125_L4_p6_test,1390.752,1392.297,1316.341
normal_std10_150_L4_p6_train,1460.31,1432.64,1349.73
normal_std10_150_L4_p6_test,1406.915,1394.264,1332.979
normal_std10_150_L4_p6_train,1460.31,1432.64,1349.73
normal_std10_150_L4_p6_test,1406.915,1394.264,1332.979
normal_std10_50_L4_p6_train,1415.03,1343.43,1291.37
normal_std10_50_L4_p6_test,1381.045,1323.222,1279.028
normal_std10_75_L4_p6_train,1325.7,1314.65,1294.41
normal_std10_75_L4_p6_test,1380.52,1349.728,1285.394
normal_std10_50_L4_p6_train,1415.03,1343.43,1291.37
normal_std10_50_L4_p6_test,1381.045,1323.222,1279.028
normal_std10_75_L4_p6_train,1325.7,1314.65,1294.41
normal_std10_75_L4_p6_test,1380.52,1349.728,1285.394
normal_std20_100_L4_p6_train,2602.73,2554.12,2560.48
normal_std20_100_L4_p6_test,2726.444,2626.623,2582.871
normal_std20_125_L4_p6_train,2714.08,2636.03,2560.14
normal_std20_125_L4_p6_test,2739.194,2655.128,2596.368
normal_std20_100_L4_p6_train,2602.73,2554.12,2560.48
normal_std20_100_L4_p6_test,2726.444,2626.623,2582.871
normal_std20_150_L4_p6_train,2910.49,2799.49,2684.38
normal_std20_150_L4_p6_test,2781.439,2677.607,2582.216
normal_std20_125_L4_p6_train,2714.08,2636.03,2560.14
normal_std20_125_L4_p6_test,2739.194,2655.128,2596.368
normal_std20_50_L4_p6_train,2637.52,2631.5,2587.73
normal_std20_50_L4_p6_test,2601.659,2602.785,2559.616
normal_std20_150_L4_p6_train,2910.49,2799.49,2684.38
normal_std20_150_L4_p6_test,2781.439,2677.607,2582.216
normal_std20_75_L4_p6_train,2719.83,2681.76,2608.86
normal_std20_75_L4_p6_test,2669.147,2614.297,2569.686
normal_std20_50_L4_p6_train,2637.52,2631.5,2587.73
normal_std20_50_L4_p6_test,2601.659,2602.785,2559.616
normal_std30_100_L4_p6_train,3978.54,3953.6,3831.23
normal_std30_100_L4_p6_test,3954.72,3935.171,3855.067
normal_std20_75_L4_p6_train,2719.83,2681.76,2608.86
normal_std20_75_L4_p6_test,2669.147,2614.297,2569.686
normal_std30_125_L4_p6_train,3992.93,3888.19,3767.26
normal_std30_125_L4_p6_test,4088.325,3978.627,3859.749
normal_std30_100_L4_p6_train,3978.54,3953.6,3831.23
normal_std30_100_L4_p6_test,3954.72,3935.171,3855.067
normal_std30_150_L4_p6_train,4153.82,3965.81,3847.94
normal_std30_150_L4_p6_test,4127.766,3962.322,3833.81
normal_std30_125_L4_p6_train,3992.93,3888.19,3767.26
normal_std30_125_L4_p6_test,4088.325,3978.627,3859.749
normal_std30_50_L4_p6_train,3918.85,3912.66,3876.72
normal_std30_50_L4_p6_test,3767.099,3749.005,3731.528
normal_std30_150_L4_p6_train,4153.82,3965.81,3847.94
normal_std30_150_L4_p6_test,4127.766,3962.322,3833.81
normal_std30_75_L4_p6_train,3893.68,3856.9,3792.81
normal_std30_75_L4_p6_test,3932.821,3920.27,3860.628
normal_std30_50_L4_p6_train,3918.85,3912.66,3876.72
normal_std30_50_L4_p6_test,3767.099,3749.005,3731.528
normal_std50_100_L4_p6_train,6414.38,6393.59,6239.63
normal_std50_100_L4_p6_test,6394.181,6393.325,6357.724
normal_std30_75_L4_p6_train,3893.68,3856.9,3792.81
normal_std30_75_L4_p6_test,3932.821,3920.27,3860.628
normal_std50_125_L4_p6_train,6519.35,6467.84,6450.14
normal_std50_125_L4_p6_test,6561.829,6504.436,6442.93
normal_std50_100_L4_p6_train,6414.38,6393.59,6239.63
normal_std50_100_L4_p6_test,6394.181,6393.325,6357.724
normal_std50_150_L4_p6_train,6728.35,6672.56,6468.41
normal_std50_150_L4_p6_test,6601.85,6561.629,6423.643
