dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p3_r2_p0p6_L6_c1_2_train,88.47,88.47,86.31,88.49,88.49,89.88,89.88,96.54
zinb_pi0p3_r2_p0p6_L6_c1_2_test,88.88,88.88,86.17,89.72,89.72,89.26,89.26,94.76
zinb_pi0p3_r2_p0p4_L6_c1_2_train,166.72,167.27,167.28,166.83,166.83,183.91,184.73,167.27
zinb_pi0p3_r2_p0p4_L6_c1_2_test,166.75,167.06,167.08,167.05,167.05,184.72,184.99,167.07
zinb_pi0p3_r2_p0p3_L6_c1_2_train,248.5,254.32,247.73,248.58,248.93,274.56,280.5,259
zinb_pi0p3_r2_p0p3_L6_c1_2_test,253.82,256.43,252.93,254.15,254.16,276.51,282.28,264.27
zinb_pi0p3_r2_p0p2_L6_c1_2_train,432.91,436.04,434.59,432.98,433.34,456.42,485.37,438.86
zinb_pi0p3_r2_p0p2_L6_c1_2_test,420.13,420.83,420.62,420.17,420.88,440.33,474.12,421.43
zinb_pi0p3_r2_p0p1_L6_c1_2_train,897.8,902.55,902.54,898.15,901.41,918.4,1020.74,902.94
zinb_pi0p3_r2_p0p1_L6_c1_2_test,913.38,917.91,917.31,914.48,918.37,941.93,1043.66,919.22
zinb_pi0p3_r10_p0p8_L6_c1_2_train,127.81,127.81,128.19,127.89,128.56,148.78,149.63,128.59
zinb_pi0p3_r10_p0p8_L6_c1_2_test,128.59,128.59,129.01,128.6,130.04,147.29,148.08,130.08
zinb_pi0p3_r10_p0p6_L6_c1_2_train,304.26,304.35,304.24,304.33,304.61,327.73,355.52,308.56
zinb_pi0p3_r10_p0p6_L6_c1_2_test,303.94,303.74,303.91,304.37,304.43,327.34,362.4,309.71
zinb_pi0p3_r10_p0p4_L6_c1_2_train,642.85,640.13,640.47,641.91,643.79,681.7,795.6,653.37
zinb_pi0p3_r10_p0p4_L6_c1_2_test,653.13,650.24,650.81,649.52,653.69,682.02,789.62,661.2
zinb_pi0p3_r10_p0p3_L6_c1_2_train,984.01,980.77,981.49,981.67,986.88,995.67,1229.38,1005.43
zinb_pi0p3_r10_p0p3_L6_c1_2_test,994.37,993.87,997.69,997.2,1003.71,1002.89,1222.24,1006.31
zinb_pi0p3_r10_p0p2_L6_c1_2_train,1652.68,1644.38,1644.76,1656.65,1663.64,1644.23,2055.84,1681.15
zinb_pi0p3_r10_p0p2_L6_c1_2_test,1691.1,1696.04,1692.71,1695.17,1704.25,1694.84,2070.62,1707.48
zinb_pi0p3_r10_p0p1_L6_c1_2_train,3844.74,3858.21,3856.39,3837.83,3861.39,3861.12,4735.52,3858.75
zinb_pi0p3_r10_p0p1_L6_c1_2_test,3765.24,3769.11,3759.35,3747.7,3768.99,3753.72,4640.93,3787.49
zinb_pi0p1_r5_p0p8_L6_c1_2_train,84.26,84.56,82.07,80.93,85.85,93.85,92.74,108.88
zinb_pi0p1_r5_p0p8_L6_c1_2_test,87.17,86.66,84.95,84.12,88.78,95.42,95.15,113.48
zinb_pi0p1_r5_p0p6_L6_c1_2_train,169.1,169.27,169.51,168.66,169.37,204.29,217.05,169.79
zinb_pi0p1_r5_p0p6_L6_c1_2_test,168.57,168.61,169.5,168.22,170.03,201.25,212.74,170.29
zinb_pi0p1_r5_p0p4_L6_c1_2_train,334.95,333.95,334.06,334.97,336.4,334.16,439.65,351.64
zinb_pi0p1_r5_p0p4_L6_c1_2_test,335.2,336.54,335.88,336.04,336.85,336.59,442.31,344.26
zinb_pi0p1_r5_p0p3_L6_c1_2_train,484.72,488.5,487.19,484.72,487.73,520.32,665.93,491.95
zinb_pi0p1_r5_p0p3_L6_c1_2_test,496.33,497.55,498.49,496.18,498.6,527.61,666.66,502.71
zinb_pi0p1_r5_p0p2_L6_c1_2_train,804.22,806.49,807.47,802.68,811.98,827.03,1110.26,811.55
zinb_pi0p1_r5_p0p2_L6_c1_2_test,816.81,812.73,813.34,814.61,823.19,830.09,1110.03,818.31
zinb_pi0p1_r5_p0p1_L6_c1_2_train,1744.48,1743.09,1741.93,1741.1,1760.89,1741.63,2454.75,1750.85
zinb_pi0p1_r5_p0p1_L6_c1_2_test,1758.56,1751.13,1748.32,1749.42,1758.67,1748.5,2443.82,1763.03
zinb_pi0p1_r40_p0p8_L6_c1_2_train,351.12,350.58,351.76,351.67,353.75,399.83,511.34,357.15
zinb_pi0p1_r40_p0p8_L6_c1_2_test,341.9,341.73,342.98,343.01,345.76,387.31,505.44,345.16
zinb_pi0p1_r40_p0p6_L6_c1_2_train,822.6,811.55,810.62,822.03,826.11,811.37,1257.59,843.35
zinb_pi0p1_r40_p0p6_L6_c1_2_test,813.96,812.93,812.49,816.63,822.86,812.12,1256.64,831.21
zinb_pi0p1_r40_p0p4_L6_c1_2_train,1694.12,1710.19,1705.34,1695.07,1716.55,1715.92,2689.14,1743.39
zinb_pi0p1_r40_p0p4_L6_c1_2_test,1741.68,1740.75,1740.04,1746.36,1770.07,1733.3,2747.7,1778.14
zinb_pi0p1_r40_p0p3_L6_c1_2_train,2669.87,2683.96,2684.29,2674.62,2725.86,2672.92,4097.84,2736.32
zinb_pi0p1_r40_p0p3_L6_c1_2_test,2652.17,2627.84,2627.99,2643.48,2700.15,2628.25,4212.52,2707
zinb_pi0p1_r40_p0p2_L6_c1_2_train,4449.48,4393.73,4392.76,4414.46,4437.36,4399.65,7057.15,4542.31
zinb_pi0p1_r40_p0p2_L6_c1_2_test,4532.78,4466.86,4464.37,4515.18,4568.5,4462.02,7181.28,4617.19
zinb_pi0p1_r40_p0p1_L6_c1_2_train,10025.16,10036.48,9955.66,9984.74,10155.54,9949.7,16156.62,10244.29
zinb_pi0p1_r40_p0p1_L6_c1_2_test,10021.11,10008.18,9894.16,9979,10111.69,9878.06,16043.11,10214.42
zinb_pi0p1_r20_p0p8_L6_c1_2_train,205.5,208.66,203.72,204.23,207.6,232.76,283.17,208.66
zinb_pi0p1_r20_p0p8_L6_c1_2_test,208.97,209.91,208.76,208.77,210.48,232.29,280.63,209.91
zinb_pi0p1_r20_p0p6_L6_c1_2_train,466.17,463.98,465.15,466.73,470.19,463.98,685.1,473.39
zinb_pi0p1_r20_p0p6_L6_c1_2_test,459.22,460.4,459.96,459.87,464.11,460.4,678.92,467.63
zinb_pi0p1_r20_p0p4_L6_c1_2_train,937.41,934.32,940.38,937.43,952.14,950.15,1434.37,951.62
zinb_pi0p1_r20_p0p4_L6_c1_2_test,936.72,937.3,940.84,936.94,950.7,968.58,1432.79,952.76
zinb_pi0p1_r20_p0p3_L6_c1_2_train,1442.51,1429.46,1429.91,1439.42,1447.15,1429.46,2230.36,1466.98
zinb_pi0p1_r20_p0p3_L6_c1_2_test,1450.4,1442.45,1442.73,1443.7,1463.83,1441.24,2227.09,1467.79
zinb_pi0p1_r20_p0p2_L6_c1_2_train,2398,2406.28,2406.25,2399.93,2456.94,2406.28,3743.88,2418.35
zinb_pi0p1_r20_p0p2_L6_c1_2_test,2441.28,2429.1,2433.8,2465.95,2451.8,2418.74,3762.94,2469.65
zinb_pi0p1_r20_p0p1_L6_c1_2_train,5226.53,5253.24,5257.99,5215.6,5275.29,5225.5,8239.05,5395.81
zinb_pi0p1_r20_p0p1_L6_c1_2_test,5325.96,5325.81,5330.33,5346.29,5398.83,5305.34,8332.71,5447.34
zinb_pi0p1_r2_p0p8_L6_c1_2_train,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82
zinb_pi0p1_r2_p0p8_L6_c1_2_test,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94
zinb_pi0p1_r2_p0p6_L6_c1_2_train,93.98,93.98,93.07,92.37,96.47,101.3,100.88,118.68
zinb_pi0p1_r2_p0p6_L6_c1_2_test,97.84,97.84,95.4,95.27,100.07,105.28,104.27,120.8
zinb_pi0p1_r2_p0p4_L6_c1_2_train,184.87,186.67,184.36,184.75,184.97,208,213.83,199.64
zinb_pi0p1_r2_p0p4_L6_c1_2_test,182.81,185.61,180.93,184.67,183.26,208.22,213.49,194.31
zinb_pi0p1_r2_p0p3_L6_c1_2_train,273.02,277.09,274.21,273.19,272.99,298.26,322.8,278.68
zinb_pi0p1_r2_p0p3_L6_c1_2_test,265.07,268.73,265.36,265.95,264.48,292.08,318.23,272.27
zinb_pi0p1_r2_p0p2_L6_c1_2_train,429.89,434.47,429.25,429.12,430.32,434.47,526.15,436.55
zinb_pi0p1_r2_p0p2_L6_c1_2_test,433.19,440.08,433.33,434.14,435.17,438.09,531.61,436.13
zinb_pi0p1_r2_p0p1_L6_c1_2_train,932.16,933.86,933,932.65,940.05,933.86,1180.17,935.9
zinb_pi0p1_r2_p0p1_L6_c1_2_test,926.98,929.26,929.36,930.77,932.3,928.09,1151.13,933.23
zinb_pi0p1_r10_p0p8_L6_c1_2_train,132.55,136.43,130.65,132.53,134.19,160.59,164.89,145.14
zinb_pi0p1_r10_p0p8_L6_c1_2_test,131.62,134.57,129.29,130.78,133.32,156.48,160.92,142.65
zinb_pi0p1_r10_p0p6_L6_c1_2_train,270.24,269.45,269.14,268.71,269.8,269.66,374.51,281.19
zinb_pi0p1_r10_p0p6_L6_c1_2_test,275.75,278.96,276.26,274.44,276.91,279.19,375.19,279.62
zinb_pi0p1_r10_p0p4_L6_c1_2_train,560.63,559.9,558.89,558.54,559.29,559.63,788.08,571.94
zinb_pi0p1_r10_p0p4_L6_c1_2_test,553.54,556.41,552.44,554.94,557.31,554.76,788.85,558.36
zinb_pi0p1_r10_p0p3_L6_c1_2_train,826.19,821.06,820.08,822.64,825.32,844.13,1196.03,843.65
zinb_pi0p1_r10_p0p3_L6_c1_2_test,820,820.8,820.44,822.15,830.13,847.69,1194.13,828.58
zinb_pi0p1_r10_p0p2_L6_c1_2_train,1390.42,1397.13,1398,1396.71,1399.64,1399.7,2062.55,1427.65
zinb_pi0p1_r10_p0p2_L6_c1_2_test,1362.42,1361.93,1365.3,1365.59,1376.25,1366.55,2010.07,1380.68
zinb_pi0p1_r10_p0p1_L6_c1_2_train,2987.35,2987.67,2988.17,2981.25,3017.74,2996.8,4389.5,3062.55
zinb_pi0p1_r10_p0p1_L6_c1_2_test,2995.74,2992.72,2996.24,3000.18,3035.15,2987.6,4484.91,3028.21
weib_k5_lam60_L6_c1_2_train,979.87,987.85,985.49,977.29,990.18,975.05,2060.83,990.91
weib_k5_lam60_L6_c1_2_test,980.08,981.15,978.11,977.07,992.77,972.63,2049.75,985.96
weib_k5_lam500_L6_c1_2_train,8279.32,8154.66,8239.43,8217.97,8429.38,8078.53,17056.74,8312.8
weib_k5_lam500_L6_c1_2_test,8087.69,8043.76,8125.33,8070.34,8264.81,8026.38,17122.42,8106.48
weib_k5_lam30_L6_c1_2_train,483.74,478.43,472.98,473.96,489.13,472.31,1010.74,483.74
weib_k5_lam30_L6_c1_2_test,497.58,490.1,488.06,487.61,498.16,485.44,1026.64,497.58
weib_k5_lam200_L6_c1_2_train,3253.45,3240.15,3224.61,3247.42,3303.7,3229.56,6785.89,3257.66
weib_k5_lam200_L6_c1_2_test,3249.31,3238.07,3222.75,3249.09,3305.13,3226.93,6836.82,3275.97
weib_k5_lam100_L6_c1_2_train,1634.92,1631.81,1631.98,1636.1,1658.3,1651.47,3375.74,1651.75
weib_k5_lam100_L6_c1_2_test,1642.01,1628.7,1631.24,1646.19,1670.9,1623.18,3419.43,1634.49
weib_k5_lam10_L6_c1_2_train,165.69,169.29,163.71,165.2,168.74,193.48,342.84,169.93
weib_k5_lam10_L6_c1_2_test,166.48,167.3,163.41,165.86,169.35,193.49,342.19,167.67
weib_k3p5_lam60_L6_c1_2_train,1280.62,1283.95,1294.45,1279.64,1311.96,1303.31,2306.67,1287.73
weib_k3p5_lam60_L6_c1_2_test,1283.49,1287.2,1298.3,1281.57,1306.8,1308.44,2305.6,1291.11
weib_k3p5_lam500_L6_c1_2_train,11124.39,11059.03,11053.48,11086.5,11152.49,11041.2,19971.35,11173.48
weib_k3p5_lam500_L6_c1_2_test,10768.27,10737.28,10760.56,10755.09,10892.73,10727.54,19678.01,10834.02
weib_k3p5_lam30_L6_c1_2_train,651.25,652.6,651.35,648.53,657.39,664.01,1165.18,652.6
weib_k3p5_lam30_L6_c1_2_test,647.94,649.74,650.44,647.57,657.57,661.54,1151.75,649.74
weib_k3p5_lam200_L6_c1_2_train,4287.8,4293.72,4291.35,4285.39,4370.25,4298.79,7685,4303.64
weib_k3p5_lam200_L6_c1_2_test,4324.8,4322.16,4318.87,4326.1,4400.43,4321.75,7727.56,4360.36
weib_k3p5_lam100_L6_c1_2_train,2210.15,2192.75,2191.65,2195.65,2220.1,2200.9,3915.39,2215.91
weib_k3p5_lam100_L6_c1_2_test,2164.68,2162.79,2163.17,2162.42,2197.27,2161.45,3877.54,2172.47
weib_k3p5_lam10_L6_c1_2_train,215.2,215.3,215.56,215.63,218.99,253.83,386.9,221.91
weib_k3p5_lam10_L6_c1_2_test,215.5,216.31,216.57,215.97,219.86,253.41,385.61,225.45
weib_k2p5_lam60_L6_c1_2_train,1674.02,1675.61,1678.9,1673.93,1681.04,1675.64,2638.2,1689.46
weib_k2p5_lam60_L6_c1_2_test,1659.38,1662.63,1673.47,1660.13,1677.51,1669.71,2610.96,1670.91
weib_k2p5_lam500_L6_c1_2_train,14429.77,14456.23,14455.85,14429.41,14618.07,14445.82,23991.83,14499.17
weib_k2p5_lam500_L6_c1_2_test,14006.07,14016.92,14016.3,14004.01,14120.36,13967.96,23460.88,14095.24
weib_k2p5_lam30_L6_c1_2_train,842.33,845.38,840.56,843.19,848.61,870.97,1305.53,854.44
weib_k2p5_lam30_L6_c1_2_test,850.49,853.37,846.87,849.52,855.61,880.26,1328.53,857.47
weib_k2p5_lam200_L6_c1_2_train,5575.43,5590.74,5588.17,5581,5662.4,5584.29,8822.1,5617.68
weib_k2p5_lam200_L6_c1_2_test,5562.89,5564.73,5562.02,5570.1,5596.46,5552.02,8806.5,5579.17
weib_k2p5_lam100_L6_c1_2_train,2866.93,2860.1,2879.82,2863.47,2907.01,2859.86,4385.34,2883.24
weib_k2p5_lam100_L6_c1_2_test,2791.39,2784.55,2812.35,2788.9,2826.67,2790.92,4395.48,2800.1
weib_k2p5_lam10_L6_c1_2_train,283.07,286.8,283.27,282.99,287.89,325.48,448.62,286.86
weib_k2p5_lam10_L6_c1_2_test,280.96,280.52,278.93,280.97,281.99,321.31,437.79,281.35
weib_k1p8_lam60_L6_c1_2_train,2148.61,2157.88,2158.96,2149.92,2165.86,2153.29,3050.81,2156.41
weib_k1p8_lam60_L6_c1_2_test,2165.57,2170.8,2172.24,2165.25,2177.92,2166.33,3051.75,2180.14
weib_k1p8_lam500_L6_c1_2_train,18206.74,18220.34,18221.29,18126.19,18339.11,18225.47,29014.82,18272.89
weib_k1p8_lam500_L6_c1_2_test,17854.63,17843.1,17842.89,17874.47,17975.36,17869.95,28417.9,17893.99
weib_k1p8_lam30_L6_c1_2_train,1048.76,1050.83,1049.23,1045.51,1058.42,1050.83,1513.97,1050.83
weib_k1p8_lam30_L6_c1_2_test,1089.47,1092.72,1098.1,1094.09,1097.35,1088.5,1531.56,1092.72
weib_k1p8_lam200_L6_c1_2_train,7539.89,7542.42,7542.82,7528.59,7584.97,7545.14,10585.86,7578.37
weib_k1p8_lam200_L6_c1_2_test,7232.96,7229.42,7231.2,7224.72,7295.77,7255.54,10288.08,7253.89
weib_k1p8_lam100_L6_c1_2_train,3500.59,3501.59,3500.48,3495.01,3508.3,3514.18,5019.16,3510.96
weib_k1p8_lam100_L6_c1_2_test,3611.75,3609.08,3610.41,3609.86,3641.66,3618.43,5069.58,3628.25
weib_k1p8_lam10_L6_c1_2_train,360.83,360.17,360.1,360.81,361.62,406.92,509.86,371.82
weib_k1p8_lam10_L6_c1_2_test,359.39,360.77,360.07,359.11,361.91,410.23,508.96,367.07
weib_k1p2_lam60_L6_c1_2_train,3090.86,3091.99,3091.25,3087.58,3104.19,3096.39,3909.21,3090.98
weib_k1p2_lam60_L6_c1_2_test,3084.86,3073.64,3087.83,3083.48,3094,3079.18,3866.46,3088.52
weib_k1p2_lam500_L6_c1_2_train,25873.4,25900.17,25896.88,25872.92,25949.14,25930.76,40963.22,25935.2
weib_k1p2_lam500_L6_c1_2_test,25694.15,25694.45,25701.08,25699.62,25784.96,25681.4,40044.56,25754.96
weib_k1p2_lam30_L6_c1_2_train,1528.14,1529.95,1529.9,1528.49,1538.64,1550.15,1964.34,1529.95
weib_k1p2_lam30_L6_c1_2_test,1539.47,1542.53,1543.11,1539.75,1538.69,1551.4,1922.71,1542.53
weib_k1p2_lam200_L6_c1_2_train,10032.45,10042.69,10043.66,10005.95,10035.84,10037.48,13702.72,10069.65
weib_k1p2_lam200_L6_c1_2_test,10250.85,10273.91,10307.55,10245.6,10300.28,10251.53,13874.66,10281.14
weib_k1p2_lam100_L6_c1_2_train,5130.25,5138.19,5131.36,5130.32,5139.02,5139,6468.23,5183.13
weib_k1p2_lam100_L6_c1_2_test,5175.57,5179.32,5181.24,5177.55,5190.35,5173.19,6489.07,5185.19
weib_k1p2_lam10_L6_c1_2_train,505.81,508.27,508.87,504.45,504.14,524.39,636.4,514.38
weib_k1p2_lam10_L6_c1_2_test,512.11,514.77,515.71,514.65,515.84,533.86,646.5,513.65
weib_k0p8_lam60_L6_c1_2_train,4820.11,4821.51,4819.46,4811.66,4821.84,4822.4,5475.18,4821.51
weib_k0p8_lam60_L6_c1_2_test,4808.95,4799.47,4803.64,4807,4804.95,4806.45,5502.73,4795.67
weib_k0p8_lam500_L6_c1_2_train,38785.67,38939.47,38939.53,38785.66,38964.76,38944.25,62948.66,38938.65
weib_k0p8_lam500_L6_c1_2_test,39878.41,39930.33,39930.48,39968.49,40079.34,39926.65,65242.15,39927.75
weib_k0p8_lam30_L6_c1_2_train,2440.75,2445.48,2445.79,2440.89,2442.16,2467.86,2819.38,2450.37
weib_k0p8_lam30_L6_c1_2_test,2390.31,2389.54,2391.58,2387.56,2393.91,2392.29,2738.02,2385.83
weib_k0p8_lam200_L6_c1_2_train,15902.08,15883.07,15882.81,15903.28,15936.35,15904.5,22653.06,16014.96
weib_k0p8_lam200_L6_c1_2_test,15972.53,16000.85,16002.49,15979.3,16037.13,16010.94,23107.98,16011.97
weib_k0p8_lam100_L6_c1_2_train,8117.43,8126.35,8125.92,8113.28,8137.22,8124.79,10104.77,8124.06
weib_k0p8_lam100_L6_c1_2_test,8092.98,8097.48,8096.93,8089.92,8110.83,8095.42,9934.94,8097.56
weib_k0p8_lam10_L6_c1_2_train,786.47,788.81,788.75,786.68,787.77,788.81,891.22,794.85
weib_k0p8_lam10_L6_c1_2_test,810.41,811.48,810.55,810.23,810.65,810.56,922.39,810.78
tri_a5_c50_b800_L6_c1_2_train,13140.64,13168.91,13168.86,13139.66,13253.43,13167.73,19339.68,13169.13
tri_a5_c50_b800_L6_c1_2_test,13194.52,13227.95,13224.88,13190.44,13257.36,13218.23,19279.34,13259.77
tri_a5_c50_b60_L6_c1_2_train,944.02,949.09,948.15,944.42,965.51,965.61,1676.3,954.36
tri_a5_c50_b60_L6_c1_2_test,938.72,937.95,936.53,939.56,952.66,951.96,1666.07,946.29
tri_a5_c50_b500_L6_c1_2_train,8065.71,8096.8,8113.63,8065.77,8107.82,8095.59,11222.74,8148.54
tri_a5_c50_b500_L6_c1_2_test,8075.12,8108.63,8116.11,8065.98,8133.7,8079.66,11280.9,8104.94
tri_a5_c50_b250_L6_c1_2_train,3781.22,3774.78,3779.74,3761.81,3785.03,3771.85,5592.73,3780.23
tri_a5_c50_b250_L6_c1_2_test,3869.08,3863.99,3864,3862.31,3899.36,3864.38,5589.09,3868.55
tri_a5_c50_b120_L6_c1_2_train,1758.62,1759.93,1762.09,1758.39,1785.08,1770.69,2845.26,1764.65
tri_a5_c50_b120_L6_c1_2_test,1758.89,1759.17,1761.36,1759.79,1776.95,1765.08,2825.82,1767.01
tri_a5_c200_b800_L6_c1_2_train,12308.48,12300.59,12302.91,12279.57,12293.2,12258.54,19179.69,12454.66
tri_a5_c200_b800_L6_c1_2_test,12336.82,12355.92,12364.87,12342.43,12437.18,12345.48,19230.73,12392.79
tri_a5_c200_b500_L6_c1_2_train,7348.03,7375.6,7382.91,7352.78,7487.04,7390.8,11824.34,7375.6
tri_a5_c200_b500_L6_c1_2_test,7597.95,7630.55,7646.06,7593.26,7670.16,7584.6,11921.36,7613.49
tri_a5_c200_b250_L6_c1_2_train,4247.19,4205.52,4207.09,4236.41,4253.29,4203.61,7102.04,4254.43
tri_a5_c200_b250_L6_c1_2_test,4177.49,4152.74,4150.04,4176.89,4210.73,4145.94,7042.49,4208.18
tri_a5_c20_b800_L6_c1_2_train,13709.2,13731.83,13730.91,13703.43,13839.1,13722.65,19572.71,13723.12
tri_a5_c20_b800_L6_c1_2_test,13435.24,13457.54,13514.55,13458.77,13487.96,13413.56,19285.51,13489.05
tri_a5_c20_b60_L6_c1_2_train,853.08,856.55,857.36,851.51,858.77,871.33,1359.44,857.26
tri_a5_c20_b60_L6_c1_2_test,848.81,849.72,851.67,848.9,861.45,868.6,1355.36,850.57
tri_a5_c20_b500_L6_c1_2_train,8449.87,8437.9,8431.31,8448.64,8472.17,8431.64,11332.82,8455.92
tri_a5_c20_b500_L6_c1_2_test,8316.37,8279.93,8297.35,8305.11,8374.18,8262.79,11295.54,8295.16
tri_a5_c20_b250_L6_c1_2_train,4136.4,4127.49,4127.5,4132.79,4161.27,4136.93,5589.12,4156.56
tri_a5_c20_b250_L6_c1_2_test,4058.74,4065.35,4064.46,4057.56,4090.81,4075.56,5540.84,4072.35
tri_a5_c20_b120_L6_c1_2_train,1881.45,1888.95,1890.58,1881.18,1896.06,1906.94,2689.82,1889.84
tri_a5_c20_b120_L6_c1_2_test,1846.56,1855.52,1857.5,1846.56,1862.08,1872.25,2659.18,1858.54
tri_a5_c100_b800_L6_c1_2_train,12545.2,12524.92,12524.73,12537.74,12667.8,12518.33,18959.61,12547.99
tri_a5_c100_b800_L6_c1_2_test,12783.49,12755.14,12752.72,12741.13,12797.44,12744.91,19093.48,12790.87
tri_a5_c100_b500_L6_c1_2_train,7601.64,7588.88,7588.46,7595.42,7660.41,7588.37,11122.02,7620.89
tri_a5_c100_b500_L6_c1_2_test,7805.23,7800.49,7803.38,7804.75,7908.34,7794.88,11406.06,7846.43
tri_a5_c100_b250_L6_c1_2_train,3698.27,3718.41,3716.88,3692.9,3728.49,3711.15,5830.34,3720.4
tri_a5_c100_b250_L6_c1_2_test,3760.25,3773.3,3772.02,3760.86,3810.13,3769.46,5899.55,3788.79
tri_a5_c100_b120_L6_c1_2_train,2013.01,2006.62,1999.04,1997.78,2046.46,1986.48,3411.71,2026.95
tri_a5_c100_b120_L6_c1_2_test,1978.07,1982.1,1976.21,1967.58,2005.39,1971.89,3389.88,1988.01
tri_a10_c50_b800_L6_c1_2_train,13258.97,13238.33,13241.44,13247.08,13304.98,13222.29,19629.7,13282.92
tri_a10_c50_b800_L6_c1_2_test,13181.25,13178.33,13184.15,13165.31,13251.28,13177.52,19236.65,13220.05
tri_a10_c50_b60_L6_c1_2_train,835.79,839.49,839.56,835.27,850.69,842.03,1612.36,842.03
tri_a10_c50_b60_L6_c1_2_test,846.92,842.27,842.38,845.32,859.33,845.58,1621.6,852.26
tri_a10_c50_b500_L6_c1_2_train,7961,7981.58,7983.72,7955.65,7989.97,7986.83,11236.49,8004.8
tri_a10_c50_b500_L6_c1_2_test,7988.28,7996.27,7998.39,7991.74,8047.51,7990.39,11231.08,8025.52
tri_a10_c50_b250_L6_c1_2_train,3816.88,3820.89,3819.84,3813.44,3818.23,3816.92,5598.06,3834.35
tri_a10_c50_b250_L6_c1_2_test,3804.01,3826.36,3802.73,3821.58,3831.98,3800.27,5582.89,3821.05
tri_a10_c50_b120_L6_c1_2_train,1672,1679.04,1679.36,1673.94,1703.53,1675.99,2776.39,1679.04
tri_a10_c50_b120_L6_c1_2_test,1694.31,1704.95,1709.5,1699.49,1717.08,1690.91,2795.15,1703.64
tri_a10_c200_b800_L6_c1_2_train,12251.2,12217.89,12217.21,12231.01,12269.55,12204.18,19111,12344.05
tri_a10_c200_b800_L6_c1_2_test,12369.68,12400.48,12388.04,12355.41,12430.27,12370.05,19349.82,12467.05
tri_a10_c200_b500_L6_c1_2_train,7457.02,7431.62,7430.23,7429.99,7512.25,7415.66,11724.29,7457.63
tri_a10_c200_b500_L6_c1_2_test,7510.8,7508.53,7502.82,7518.81,7608.74,7486.69,11825.7,7562.59
tri_a10_c200_b250_L6_c1_2_train,4115.58,4091,4092.09,4121.59,4169.3,4100.87,7014.8,4139.9
tri_a10_c200_b250_L6_c1_2_test,4077.27,4060.88,4061.89,4084.76,4124.82,4069.94,6936.97,4114.98
tri_a10_c20_b800_L6_c1_2_train,13523.98,13564.7,13565.3,13509.47,13552.11,13559.92,19814.27,13554.35
tri_a10_c20_b800_L6_c1_2_test,13439.26,13552.21,13553.28,13427.23,13528.96,13419.75,19254.26,13464.27
tri_a10_c20_b60_L6_c1_2_train,804.99,802.24,801.97,801.38,813.09,802.08,1353.78,809.1
tri_a10_c20_b60_L6_c1_2_test,787.97,786.77,786.61,788.47,797.21,786.77,1331.35,791.12
tri_a10_c20_b500_L6_c1_2_train,8123.14,8120.18,8118.2,8119.12,8190.25,8115.22,10872.1,8150.05
tri_a10_c20_b500_L6_c1_2_test,8234.8,8253.42,8255.66,8236.3,8279.6,8254.37,11202.84,8272.84
tri_a10_c20_b250_L6_c1_2_train,3999.09,4007.2,4008.79,4000.87,4039.51,4017.23,5564.59,4007.2
tri_a10_c20_b250_L6_c1_2_test,4015.46,4029.24,4028.08,4021.53,4038.19,4014.8,5493.56,4027.46
tri_a10_c20_b120_L6_c1_2_train,1856.83,1859.42,1860.04,1855.83,1872.37,1861.66,2706.02,1863.13
tri_a10_c20_b120_L6_c1_2_test,1819.92,1821.06,1822.25,1819.99,1836.55,1823.77,2666.39,1826.1
tri_a10_c100_b800_L6_c1_2_train,13041.68,13058.45,13060.07,13029.06,13084.56,13062.13,19382.92,13112.73
tri_a10_c100_b800_L6_c1_2_test,12950.51,12951.99,12947.06,12902.11,12950.27,12912.45,19233.35,12980.37
tri_a10_c100_b500_L6_c1_2_train,7810.87,7830.57,7830.4,7800.65,7864.48,7830.27,11266.23,7861.69
tri_a10_c100_b500_L6_c1_2_test,7747.73,7762.98,7767.48,7723.22,7789.19,7714.88,11290.22,7734.22
tri_a10_c100_b250_L6_c1_2_train,3747.02,3769.96,3774.28,3756.21,3843.35,3777.23,5930.45,3775
tri_a10_c100_b250_L6_c1_2_test,3676.53,3683.57,3695.06,3684.27,3745.16,3660.04,5838.91,3680.06
tri_a10_c100_b120_L6_c1_2_train,1922.43,1909.04,1908.76,1915.36,1936.32,1923.27,3352.21,1930.08
tri_a10_c100_b120_L6_c1_2_test,1893.61,1888.33,1887.48,1895.77,1929.44,1900.52,3346.02,1911.4
tri_a0_c50_b800_L6_c1_2_train,13512.88,13501.32,13503.02,13509.36,13678.45,13491.44,19765.71,13515.82
tri_a0_c50_b800_L6_c1_2_test,13558.47,13442.35,13438.64,13491.95,13437.87,13341.81,19434.39,13420.11
tri_a0_c50_b60_L6_c1_2_train,1047.5,1064.86,1054.52,1044.28,1059.94,1055.04,1697.92,1064.86
tri_a0_c50_b60_L6_c1_2_test,1039.98,1051.78,1049.67,1037.32,1050.98,1047.34,1721.45,1051.61
tri_a0_c50_b500_L6_c1_2_train,8156.53,8160.66,8159.08,8154.03,8280.88,8161.71,11447.91,8154.03
tri_a0_c50_b500_L6_c1_2_test,8189.1,8174.02,8174.43,8180.5,8208.17,8155.39,11322.41,8174.58
