policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L8_p4,train,9612.72,9167.599,10022.39325,ok_expanded,9612.72,"{""base_stock"": 0.40839557212179767, ""safety_stock"": 0.16507891325519689, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.023593492572127908, ""lost_sales_weight"": 7.326859172538148, ""demand_buffer"": 1190.6162245105184, ""min_order_threshold"": 29.090625686837907}",
exponential_L6_c1_2,exponential_100_L8_p4,test,9765.349,9638.052249999999,9903.605075,ok_expanded,9612.72,"{""base_stock"": 0.40839557212179767, ""safety_stock"": 0.16507891325519689, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.023593492572127908, ""lost_sales_weight"": 7.326859172538148, ""demand_buffer"": 1190.6162245105184, ""min_order_threshold"": 29.090625686837907}",
normal_std30_L6_c1_2,exponential_100_L8_p4,train,9596.04,9151.129500000001,9996.748749999999,ok_expanded,9596.04,"{""base_stock"": 65.73891265013354, ""safety_stock"": 274.4865870641435, ""pipeline_weight"": 1.4142135623730951, ""demand_forecast"": 155.4718603233093, ""smoothing_factor"": 0.12189505816913204, ""forecast_weight"": 0.5141226313919982, ""adjustment_factor"": 0.0, ""pipeline_discount"": 0.6333333333333333, ""min_order"": 2.51406367208742e-06}",
normal_std30_L6_c1_2,exponential_100_L8_p4,test,9787.581,9654.892725,9930.6469,ok_expanded,9596.04,"{""base_stock"": 65.73891265013354, ""safety_stock"": 274.4865870641435, ""pipeline_weight"": 1.4142135623730951, ""demand_forecast"": 155.4718603233093, ""smoothing_factor"": 0.12189505816913204, ""forecast_weight"": 0.5141226313919982, ""adjustment_factor"": 0.0, ""pipeline_discount"": 0.6333333333333333, ""min_order"": 2.51406367208742e-06}",
poisson_L6_c1_2,exponential_100_L8_p4,train,9627.93,9177.988,10034.71025,ok_expanded,9627.93,"{""safety_stock"": 37.182409572552615, ""demand_estimate"": 127.90238026301873, ""max_order"": 69.93343512925533}",
poisson_L6_c1_2,exponential_100_L8_p4,test,9795.011,9675.517749999999,9932.076375,ok_expanded,9627.93,"{""safety_stock"": 37.182409572552615, ""demand_estimate"": 127.90238026301873, ""max_order"": 69.93343512925533}",
exponential_L6_c1_2,exponential_125_L8_p4,train,12306.5,11805.989,12771.749249999999,ok_expanded,12306.5,"{""base_stock"": 0.000618713688232446, ""safety_stock"": 7140.426365307496, ""pipeline_weight"": 0.2398499204437987, ""smoothing_factor"": 0.012479657612589035, ""lost_sales_weight"": 2.825801983536344e-05, ""demand_buffer"": 0.03378704663786954, ""min_order_threshold"": 7.599109231590953}",
exponential_L6_c1_2,exponential_125_L8_p4,test,12284.351,12124.14075,12454.471125,ok_expanded,12306.5,"{""base_stock"": 0.000618713688232446, ""safety_stock"": 7140.426365307496, ""pipeline_weight"": 0.2398499204437987, ""smoothing_factor"": 0.012479657612589035, ""lost_sales_weight"": 2.825801983536344e-05, ""demand_buffer"": 0.03378704663786954, ""min_order_threshold"": 7.599109231590953}",
normal_std30_L6_c1_2,exponential_125_L8_p4,train,12274.59,11786.5975,12744.835,ok_expanded,12274.59,"{""base_stock"": 75.28203685916404, ""safety_stock"": 552.0585111271628, ""pipeline_weight"": 0.7607619411979352, ""demand_forecast"": 154.76610811965134, ""smoothing_factor"": 0.03231097429086691, ""forecast_weight"": 0.5064611035607066, ""adjustment_factor"": 0.41506521771551685, ""pipeline_discount"": 0.5837201691191702, ""min_order"": 2.625544225756258}",
normal_std30_L6_c1_2,exponential_125_L8_p4,test,12248.327,12087.5758,12419.741899999999,ok_expanded,12274.59,"{""base_stock"": 75.28203685916404, ""safety_stock"": 552.0585111271628, ""pipeline_weight"": 0.7607619411979352, ""demand_forecast"": 154.76610811965134, ""smoothing_factor"": 0.03231097429086691, ""forecast_weight"": 0.5064611035607066, ""adjustment_factor"": 0.41506521771551685, ""pipeline_discount"": 0.5837201691191702, ""min_order"": 2.625544225756258}",
