policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L8_p10,train,16315.56,15356.221000000001,17206.117,ok_expanded,16315.56,"{""base_stock"": 399.2186744886704, ""safety_stock"": 87.40329346243477, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.029941658624399084, ""lost_sales_weight"": 1.1146321959018706, ""demand_buffer"": 7.866981271533723, ""min_order_threshold"": 0.0007396407305632954}",
exponential_L6_c1_2,exponential_100_L8_p10,test,16709.062,16435.554475,16961.761725,ok_expanded,16315.56,"{""base_stock"": 399.2186744886704, ""safety_stock"": 87.40329346243477, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.029941658624399084, ""lost_sales_weight"": 1.1146321959018706, ""demand_buffer"": 7.866981271533723, ""min_order_threshold"": 0.0007396407305632954}",
normal_std30_L6_c1_2,exponential_100_L8_p10,train,16330.92,15391.63725,17177.06325,ok_expanded,16330.92,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.7669312389912363, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.35640265586395037, ""pipeline_discount"": 0.6643154475908454, ""min_order"": 4.8810683561082575}",
normal_std30_L6_c1_2,exponential_100_L8_p10,test,16628.95,16387.5681,16880.65835,ok_expanded,16330.92,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.7669312389912363, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.35640265586395037, ""pipeline_discount"": 0.6643154475908454, ""min_order"": 4.8810683561082575}",
poisson_L6_c1_2,exponential_100_L8_p10,train,16420.35,15464.506,17315.99625,ok_expanded,16420.35,"{""safety_stock"": 272.74549370042195, ""demand_estimate"": 118.49864666965685, ""max_order"": 87.85865836736681}",
poisson_L6_c1_2,exponential_100_L8_p10,test,16734.278,16493.8413,16996.095175,ok_expanded,16420.35,"{""safety_stock"": 272.74549370042195, ""demand_estimate"": 118.49864666965685, ""max_order"": 87.85865836736681}",
exponential_L6_c1_2,exponential_125_L8_p10,train,20808.45,19757.2595,21899.471749999997,ok_expanded,20808.45,"{""base_stock"": 399.2186744886704, ""safety_stock"": 247.21384602130183, ""pipeline_weight"": 0.7257610607460512, ""smoothing_factor"": 0.029941658624399084, ""lost_sales_weight"": 1.1146321959018706, ""demand_buffer"": 9.123925733446834, ""min_order_threshold"": 0.0007949817330126614}",
exponential_L6_c1_2,exponential_125_L8_p10,test,20970.084,20631.573975,21332.31005,ok_expanded,20808.45,"{""base_stock"": 399.2186744886704, ""safety_stock"": 247.21384602130183, ""pipeline_weight"": 0.7257610607460512, ""smoothing_factor"": 0.029941658624399084, ""lost_sales_weight"": 1.1146321959018706, ""demand_buffer"": 9.123925733446834, ""min_order_threshold"": 0.0007949817330126614}",
normal_std30_L6_c1_2,exponential_125_L8_p10,train,20726.35,19739.86525,21734.192,ok_expanded,20726.35,"{""base_stock"": 220.28101389117631, ""safety_stock"": 776.6792554533218, ""pipeline_weight"": 0.8386597817604404, ""demand_forecast"": 115.87269296899537, ""smoothing_factor"": 0.05815935034703249, ""forecast_weight"": 0.6296020736241008, ""adjustment_factor"": 0.560703757920176, ""pipeline_discount"": 0.9084575619406562, ""min_order"": 0.3278512278563718}",
normal_std30_L6_c1_2,exponential_125_L8_p10,test,20796.67,20478.730475,21148.866325,ok_expanded,20726.35,"{""base_stock"": 220.28101389117631, ""safety_stock"": 776.6792554533218, ""pipeline_weight"": 0.8386597817604404, ""demand_forecast"": 115.87269296899537, ""smoothing_factor"": 0.05815935034703249, ""forecast_weight"": 0.6296020736241008, ""adjustment_factor"": 0.560703757920176, ""pipeline_discount"": 0.9084575619406562, ""min_order"": 0.3278512278563718}",
poisson_L6_c1_2,exponential_125_L8_p10,train,20634.18,19669.87775,21686.720999999998,ok_expanded,20634.18,"{""safety_stock"": 53.457940122378254, ""demand_estimate"": 181.27313430990088, ""max_order"": 115.40017894814123}",
poisson_L6_c1_2,exponential_125_L8_p10,test,20821.304,20507.51825,21152.570225,ok_expanded,20634.18,"{""safety_stock"": 53.457940122378254, ""demand_estimate"": 181.27313430990088, ""max_order"": 115.40017894814123}",
exponential_L6_c1_2,exponential_150_L8_p10,train,24440.72,23331.1295,25455.29225,ok_expanded,24440.72,"{""base_stock"": 0.7207819591855824, ""safety_stock"": 0.09854435584815324, ""pipeline_weight"": 0.7, ""smoothing_factor"": 0.0758306549742963, ""lost_sales_weight"": 555.4314285586212, ""demand_buffer"": 6.439482064096417, ""min_order_threshold"": 0.04185267092145921}",
exponential_L6_c1_2,exponential_150_L8_p10,test,25616.296,25265.37455,26050.418025,ok_expanded,24440.72,"{""base_stock"": 0.7207819591855824, ""safety_stock"": 0.09854435584815324, ""pipeline_weight"": 0.7, ""smoothing_factor"": 0.0758306549742963, ""lost_sales_weight"": 555.4314285586212, ""demand_buffer"": 6.439482064096417, ""min_order_threshold"": 0.04185267092145921}",
normal_std30_L6_c1_2,exponential_150_L8_p10,train,24377.67,23324.2335,25411.95925,ok_expanded,24377.67,"{""base_stock"": 840.6214979702411, ""safety_stock"": 549.8558517955322, ""pipeline_weight"": 0.687815710414074, ""demand_forecast"": 120.75341906226977, ""smoothing_factor"": 0.08529742252520733, ""forecast_weight"": 0.48916030615081163, ""adjustment_factor"": 0.15611536808523124, ""pipeline_discount"": 0.6467144872396833, ""min_order"": 1.6486739209706276e-06}",
normal_std30_L6_c1_2,exponential_150_L8_p10,test,25641.99,25286.888775,26074.70435,ok_expanded,24377.67,"{""base_stock"": 840.6214979702411, ""safety_stock"": 549.8558517955322, ""pipeline_weight"": 0.687815710414074, ""demand_forecast"": 120.75341906226977, ""smoothing_factor"": 0.08529742252520733, ""forecast_weight"": 0.48916030615081163, ""adjustment_factor"": 0.15611536808523124, ""pipeline_discount"": 0.6467144872396833, ""min_order"": 1.6486739209706276e-06}",
poisson_L6_c1_2,exponential_150_L8_p10,train,24591.25,23377.03225,25575.91425,ok_expanded,24591.25,"{""safety_stock"": 634.541255258226, ""demand_estimate"": 126.06598025806794, ""max_order"": 140.5081197934492}",
poisson_L6_c1_2,exponential_150_L8_p10,test,25705.481,25336.965825,26125.8937,ok_expanded,24591.25,"{""safety_stock"": 634.541255258226, ""demand_estimate"": 126.06598025806794, ""max_order"": 140.5081197934492}",
exponential_L6_c1_2,exponential_50_L8_p10,train,8430.16,8046.56175,8873.72075,ok_expanded,8430.16,"{""base_stock"": 8.563917469141353, ""safety_stock"": 655.8449048951747, ""pipeline_weight"": 0.5400316172551333, ""smoothing_factor"": 0.10874618844338703, ""lost_sales_weight"": 0.22941988770533042, ""demand_buffer"": 2.036601199041476e-06, ""min_order_threshold"": 18.95062107685191}",
