policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L2_p4,train,9248.74,8866.03375,9560.96025,ok_expanded,9248.74,"{""base_stock"": 3.122563767273495, ""safety_stock"": 3.000163541898097e-06, ""pipeline_weight"": 0.3865525853144183, ""smoothing_factor"": 0.3831086715632188, ""lost_sales_weight"": 0.02137942171227965, ""demand_buffer"": 5520.0, ""min_order_threshold"": 6.169976749617231}",
exponential_L6_c1_2,exponential_100_L2_p4,test,9269.479,9174.810475,9374.99405,ok_expanded,9248.74,"{""base_stock"": 3.122563767273495, ""safety_stock"": 3.000163541898097e-06, ""pipeline_weight"": 0.3865525853144183, ""smoothing_factor"": 0.3831086715632188, ""lost_sales_weight"": 0.02137942171227965, ""demand_buffer"": 5520.0, ""min_order_threshold"": 6.169976749617231}",
normal_std30_L6_c1_2,exponential_100_L2_p4,train,9217.59,8816.058,9523.55425,ok_expanded,9217.59,"{""base_stock"": 8.96502810402761e-05, ""safety_stock"": 431.7188236505373, ""pipeline_weight"": 0.822716499038598, ""demand_forecast"": 2.1910814821685912e-05, ""smoothing_factor"": 0.32511458282348965, ""forecast_weight"": 0.6000663614612761, ""adjustment_factor"": 0.06666666666666667, ""pipeline_discount"": 0.8196950435443701, ""min_order"": 10.823499136102049}",
normal_std30_L6_c1_2,exponential_100_L2_p4,test,9249.472,9153.739525,9360.3472,ok_expanded,9217.59,"{""base_stock"": 8.96502810402761e-05, ""safety_stock"": 431.7188236505373, ""pipeline_weight"": 0.822716499038598, ""demand_forecast"": 2.1910814821685912e-05, ""smoothing_factor"": 0.32511458282348965, ""forecast_weight"": 0.6000663614612761, ""adjustment_factor"": 0.06666666666666667, ""pipeline_discount"": 0.8196950435443701, ""min_order"": 10.823499136102049}",
poisson_L6_c1_2,exponential_100_L2_p4,train,9267.15,8875.606249999999,9595.801,ok_expanded,9267.15,"{""demand_estimate"": 252.0530871351175, ""max_order"": 95.92075836356183, ""safety_stock"": 83.10083837362363}",
poisson_L6_c1_2,exponential_100_L2_p4,test,9310.586,9219.004425,9419.6053,ok_expanded,9267.15,"{""demand_estimate"": 252.0530871351175, ""max_order"": 95.92075836356183, ""safety_stock"": 83.10083837362363}",
exponential_L6_c1_2,exponential_125_L2_p4,train,11730.88,11323.281,12199.39,ok_expanded,11730.88,"{""base_stock"": 4.4233620947202805, ""safety_stock"": 9.621771340579321e-07, ""pipeline_weight"": 1.139546508916566, ""smoothing_factor"": 0.38796843572768636, ""lost_sales_weight"": 0.45826846538973315, ""demand_buffer"": 256.61554929043666, ""min_order_threshold"": 0.017115551612209172}",
exponential_L6_c1_2,exponential_125_L2_p4,test,11539.729,11413.5769,11694.264449999999,ok_expanded,11730.88,"{""base_stock"": 4.4233620947202805, ""safety_stock"": 9.621771340579321e-07, ""pipeline_weight"": 1.139546508916566, ""smoothing_factor"": 0.38796843572768636, ""lost_sales_weight"": 0.45826846538973315, ""demand_buffer"": 256.61554929043666, ""min_order_threshold"": 0.017115551612209172}",
normal_std30_L6_c1_2,exponential_125_L2_p4,train,11730.76,11317.207,12191.4745,ok_expanded,11730.76,"{""base_stock"": 455.58044813281276, ""safety_stock"": 35.86606767250533, ""pipeline_weight"": 1.0, ""demand_forecast"": 0.4590875361378584, ""smoothing_factor"": 0.4189180827407348, ""forecast_weight"": 1.9710871515197737, ""adjustment_factor"": 0.13532821942683693, ""pipeline_discount"": 0.3798037401893869, ""min_order"": 40.580644711980355}",
normal_std30_L6_c1_2,exponential_125_L2_p4,test,11545.512,11420.294974999999,11697.880975,ok_expanded,11730.76,"{""base_stock"": 455.58044813281276, ""safety_stock"": 35.86606767250533, ""pipeline_weight"": 1.0, ""demand_forecast"": 0.4590875361378584, ""smoothing_factor"": 0.4189180827407348, ""forecast_weight"": 1.9710871515197737, ""adjustment_factor"": 0.13532821942683693, ""pipeline_discount"": 0.3798037401893869, ""min_order"": 40.580644711980355}",
