policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L2_p2,train,6008.51,5796.5425000000005,6194.837,ok_expanded,6008.51,"{""base_stock"": 0.8666276656423471, ""safety_stock"": 2.3390373849240835, ""pipeline_weight"": 0.8333333333333334, ""smoothing_factor"": 0.2749926308448586, ""lost_sales_weight"": 3.812356311409353, ""demand_buffer"": 107.93094769051369, ""min_order_threshold"": 0.40805550212176717}",
exponential_L6_c1_2,exponential_100_L2_p2,test,5992.38,5938.560775,6052.298624999999,ok_expanded,6008.51,"{""base_stock"": 0.8666276656423471, ""safety_stock"": 2.3390373849240835, ""pipeline_weight"": 0.8333333333333334, ""smoothing_factor"": 0.2749926308448586, ""lost_sales_weight"": 3.812356311409353, ""demand_buffer"": 107.93094769051369, ""min_order_threshold"": 0.40805550212176717}",
normal_std30_L6_c1_2,exponential_100_L2_p2,train,6014.2,5802.6965,6206.8435,ok_expanded,6014.2,"{""base_stock"": 426.0513823470111, ""safety_stock"": 7.199751124967493e-06, ""pipeline_weight"": 0.5460883696732884, ""demand_forecast"": 0.0014481969153932771, ""smoothing_factor"": 0.18957310873838756, ""forecast_weight"": 0.4505664638606466, ""adjustment_factor"": 0.2, ""pipeline_discount"": 1.0, ""min_order"": 0.0002362228203040926}",
normal_std30_L6_c1_2,exponential_100_L2_p2,test,5999.806,5943.9558,6060.85275,ok_expanded,6014.2,"{""base_stock"": 426.0513823470111, ""safety_stock"": 7.199751124967493e-06, ""pipeline_weight"": 0.5460883696732884, ""demand_forecast"": 0.0014481969153932771, ""smoothing_factor"": 0.18957310873838756, ""forecast_weight"": 0.4505664638606466, ""adjustment_factor"": 0.2, ""pipeline_discount"": 1.0, ""min_order"": 0.0002362228203040926}",
poisson_L6_c1_2,exponential_100_L2_p2,train,6026.81,5815.7927500000005,6210.419,ok_expanded,6026.81,"{""safety_stock"": 255.15383862041537, ""demand_estimate"": 30.15490339705791, ""max_order"": 62.9330361560776}",
poisson_L6_c1_2,exponential_100_L2_p2,test,6024.474,5970.59635,6086.9313,ok_expanded,6026.81,"{""safety_stock"": 255.15383862041537, ""demand_estimate"": 30.15490339705791, ""max_order"": 62.9330361560776}",
exponential_L6_c1_2,exponential_125_L2_p2,train,7572.59,7331.221750000001,7834.04,ok_expanded,7572.59,"{""base_stock"": 531.8319603899522, ""safety_stock"": 517.6078640888578, ""pipeline_weight"": 0.9273361461144841, ""smoothing_factor"": 0.21252537798384244, ""lost_sales_weight"": 0.0008930248721553322, ""demand_buffer"": 0.00015537153315820778, ""min_order_threshold"": 191.59642192097738}",
exponential_L6_c1_2,exponential_125_L2_p2,test,7501.407,7424.120125,7587.25155,ok_expanded,7572.59,"{""base_stock"": 531.8319603899522, ""safety_stock"": 517.6078640888578, ""pipeline_weight"": 0.9273361461144841, ""smoothing_factor"": 0.21252537798384244, ""lost_sales_weight"": 0.0008930248721553322, ""demand_buffer"": 0.00015537153315820778, ""min_order_threshold"": 191.59642192097738}",
normal_std30_L6_c1_2,exponential_125_L2_p2,train,7580.34,7342.75125,7842.3505,ok_expanded,7580.34,"{""base_stock"": 468.62713003953905, ""safety_stock"": 63.29729676641144, ""pipeline_weight"": 0.6367691097648811, ""demand_forecast"": 2.5198152986870457, ""smoothing_factor"": 0.18365799777226824, ""forecast_weight"": 0.7621645898710524, ""adjustment_factor"": 0.18481489157143344, ""pipeline_discount"": 0.9660062951641352, ""min_order"": 0.3260034557142905}",
normal_std30_L6_c1_2,exponential_125_L2_p2,test,7506.176,7428.584075,7589.75545,ok_expanded,7580.34,"{""base_stock"": 468.62713003953905, ""safety_stock"": 63.29729676641144, ""pipeline_weight"": 0.6367691097648811, ""demand_forecast"": 2.5198152986870457, ""smoothing_factor"": 0.18365799777226824, ""forecast_weight"": 0.7621645898710524, ""adjustment_factor"": 0.18481489157143344, ""pipeline_discount"": 0.9660062951641352, ""min_order"": 0.3260034557142905}",
poisson_L6_c1_2,exponential_125_L2_p2,train,7583.84,7325.717250000001,7832.8825,ok_expanded,7583.84,"{""safety_stock"": 0.055832189143216734, ""demand_estimate"": 305.48377946231574, ""max_order"": 81.12180005609711}",
poisson_L6_c1_2,exponential_125_L2_p2,test,7515.587,7437.710175,7595.911525,ok_expanded,7583.84,"{""safety_stock"": 0.055832189143216734, ""demand_estimate"": 305.48377946231574, ""max_order"": 81.12180005609711}",
exponential_L6_c1_2,exponential_150_L2_p2,train,8905.01,8588.7425,9160.42025,ok_expanded,8905.01,"{""base_stock"": 1063.6639207799044, ""safety_stock"": 517.6078640888578, ""pipeline_weight"": 0.9940028127811508, ""smoothing_factor"": 0.31252537798384245, ""lost_sales_weight"": 0.0008930248721553322, ""demand_buffer"": 0.0002242686819546522, ""min_order_threshold"": 141.62797721855333}",
exponential_L6_c1_2,exponential_150_L2_p2,test,9067.557,8978.18925,9166.40005,ok_expanded,8905.01,"{""base_stock"": 1063.6639207799044, ""safety_stock"": 517.6078640888578, ""pipeline_weight"": 0.9940028127811508, ""smoothing_factor"": 0.31252537798384245, ""lost_sales_weight"": 0.0008930248721553322, ""demand_buffer"": 0.0002242686819546522, ""min_order_threshold"": 141.62797721855333}",
