policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L8_p2,train,6087.64,5868.861,6290.0555,ok_expanded,6087.64,"{""base_stock"": 0.004044404211910619, ""safety_stock"": 841.9788758045355, ""pipeline_weight"": 0.546457121620962, ""smoothing_factor"": 0.008885651069379217, ""lost_sales_weight"": 44.270846669219196, ""demand_buffer"": 33120.0, ""min_order_threshold"": 4.524211772009599e-06}",
exponential_L6_c1_2,exponential_100_L8_p2,test,6122.138,6061.6172750000005,6186.820775,ok_expanded,6087.64,"{""base_stock"": 0.004044404211910619, ""safety_stock"": 841.9788758045355, ""pipeline_weight"": 0.546457121620962, ""smoothing_factor"": 0.008885651069379217, ""lost_sales_weight"": 44.270846669219196, ""demand_buffer"": 33120.0, ""min_order_threshold"": 4.524211772009599e-06}",
normal_std30_L6_c1_2,exponential_100_L8_p2,train,6085.03,5860.86075,6290.85325,ok_expanded,6085.03,"{""base_stock"": 3.819694573354998e-05, ""safety_stock"": 119.29475799470683, ""pipeline_weight"": 2.0, ""demand_forecast"": 175.4859240660283, ""smoothing_factor"": 0.14908992026516316, ""forecast_weight"": 0.3911350794311571, ""adjustment_factor"": 0.09526361637744818, ""pipeline_discount"": 0.6666844887321185, ""min_order"": 5.463274648255}",
normal_std30_L6_c1_2,exponential_100_L8_p2,test,6122.779,6061.0513,6190.12705,ok_expanded,6085.03,"{""base_stock"": 3.819694573354998e-05, ""safety_stock"": 119.29475799470683, ""pipeline_weight"": 2.0, ""demand_forecast"": 175.4859240660283, ""smoothing_factor"": 0.14908992026516316, ""forecast_weight"": 0.3911350794311571, ""adjustment_factor"": 0.09526361637744818, ""pipeline_discount"": 0.6666844887321185, ""min_order"": 5.463274648255}",
poisson_L6_c1_2,exponential_100_L8_p2,train,6091.27,5873.28575,6287.9087500000005,ok_expanded,6091.27,"{""safety_stock"": 81.50762834682033, ""demand_estimate"": 240.18369701811787, ""max_order"": 56.81879667173163}",
poisson_L6_c1_2,exponential_100_L8_p2,test,6124.462,6064.079299999999,6189.62755,ok_expanded,6091.27,"{""safety_stock"": 81.50762834682033, ""demand_estimate"": 240.18369701811787, ""max_order"": 56.81879667173163}",
exponential_L6_c1_2,exponential_125_L8_p2,train,7685.56,7412.80825,7931.246249999999,ok_expanded,7685.56,"{""base_stock"": 472.74531104996043, ""safety_stock"": 0.0010795381828377717, ""pipeline_weight"": 0.8390304998808585, ""smoothing_factor"": 0.0063735365987839685, ""lost_sales_weight"": 0.038377027772595815, ""demand_buffer"": 626.2691073392169, ""min_order_threshold"": 0.06281743566537151}",
exponential_L6_c1_2,exponential_125_L8_p2,test,7653.667,7573.1939,7741.889375,ok_expanded,7685.56,"{""base_stock"": 472.74531104996043, ""safety_stock"": 0.0010795381828377717, ""pipeline_weight"": 0.8390304998808585, ""smoothing_factor"": 0.0063735365987839685, ""lost_sales_weight"": 0.038377027772595815, ""demand_buffer"": 626.2691073392169, ""min_order_threshold"": 0.06281743566537151}",
normal_std30_L6_c1_2,exponential_125_L8_p2,train,7674.49,7403.07525,7936.7955,ok_expanded,7674.49,"{""base_stock"": 12.499153841869273, ""safety_stock"": 86.32480131890624, ""pipeline_weight"": 0.7386597817604404, ""demand_forecast"": 128.8884499129697, ""smoothing_factor"": 0.1581593503470325, ""forecast_weight"": 0.6296020736241008, ""adjustment_factor"": 0.32737042458684273, ""pipeline_discount"": 0.8093436774178285, ""min_order"": 0.3278512278563718}",
normal_std30_L6_c1_2,exponential_125_L8_p2,test,7659.002,7576.08515,7757.48705,ok_expanded,7674.49,"{""base_stock"": 12.499153841869273, ""safety_stock"": 86.32480131890624, ""pipeline_weight"": 0.7386597817604404, ""demand_forecast"": 128.8884499129697, ""smoothing_factor"": 0.1581593503470325, ""forecast_weight"": 0.6296020736241008, ""adjustment_factor"": 0.32737042458684273, ""pipeline_discount"": 0.8093436774178285, ""min_order"": 0.3278512278563718}",
