"LLM","problem","n_train","n_horizon","order_option","external_opt","iter_opt","param_loc","n_pop","mode","data_summary","algo_performance","demand_mean","dist","n_node","option","repeat_9","repeat_10","repeat_1","repeat_2","repeat_3","repeat_4","repeat_5","repeat_6","repeat_7","repeat_8"
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"leadtime2_0","","","","","13598.99","4144.42","12638.99","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"leadtime2_0","","","","","10766.96","4162.56","8846.96","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"leadtime2_0","","","","","10718.99","4144.42","8798.99","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"leadtime2_0","","","","","6460.40","4162.56","5999.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"leadtime2_0","","","","","6411.06","4144.42","5947.72","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"leadtime2_0","","","","","4785.04","4162.56","5999.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"leadtime2_0","","","","","4728.56","4144.42","5947.72","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"leadtime3_0","","","","","9103.44","9103.44","29843.48","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"leadtime3_0","","","","","9002.60","9002.60","29843.11","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","no",80,"leadtime3_0","","","","","9103.44","9103.44","27483.48","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","no",80,"leadtime3_0","","","","","9002.60","9002.60","27483.11","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","no",80,"leadtime3_0","","","","","9103.44","9103.44","25125.56","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","no",80,"leadtime3_0","","","","","9002.60","9002.60","25125.92","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","no",80,"leadtime3_0","","","","","9103.44","9103.44","22793.12","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","no",80,"leadtime3_0","","","","","9002.60","9002.60","22793.73","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","no",80,"leadtime3_0","","","","","9103.44","9103.44","20473.04","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","no",80,"leadtime3_0","","","","","9002.60","9002.60","20473.71","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","processed",80,"leadtime3_0","","","","","12859.48","15679.48","15679.48","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","processed",80,"leadtime3_0","","","","","12759.73","15579.73","15579.73","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","processed",80,"leadtime3_0","","","","","9103.44","9103.44","9103.44","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"leadtime3_0","","","","","9002.60","9002.60","9002.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"leadtime3_0","","","","","6530.44","9103.44","5621.04","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"leadtime3_0","","","","","6409.72","9002.60","5551.87","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"leadtime3_0","","","","","6530.44","9103.44","5621.04","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"leadtime3_0","","","","","6409.72","9002.60","5551.87","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"leadtime3_0","","","","","6530.44","5942.96","5621.04","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"leadtime3_0","","","","","6409.72","5835.87","5551.87","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"cost2_4_lt1_0","","","","","7646.20","7646.20","14000.40","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"cost2_4_lt1_0","","","","","7649.07","7649.07","14000.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","no",80,"cost2_4_lt1_0","","","","","6706.20","6706.20","14000.40","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","no",80,"cost2_4_lt1_0","","","","","6709.07","6709.07","14000.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","no",80,"cost2_4_lt1_0","","","","","5296.24","5296.24","14000.40","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","no",80,"cost2_4_lt1_0","","","","","5299.47","5299.47","14000.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","no",80,"cost2_4_lt1_0","","","","","5296.24","5296.24","7646.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","no",80,"cost2_4_lt1_0","","","","","5299.47","5299.47","7649.07","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","no",80,"cost2_4_lt1_0","","","","","5296.24","5296.24","6706.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","no",80,"cost2_4_lt1_0","","","","","5299.47","5299.47","6709.07","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","processed",80,"cost2_4_lt1_0","","","","","7176.20","5766.20","7176.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","processed",80,"cost2_4_lt1_0","","","","","7179.07","5769.16","7179.07","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","processed",80,"cost2_4_lt1_0","","","","","5766.20","5766.20","5766.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"cost2_4_lt1_0","","","","","5769.16","5769.16","5769.16","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"cost2_4_lt1_0","","","","","5766.20","5766.20","5766.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"cost2_4_lt1_0","","","","","5769.16","5769.16","5769.16","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"cost2_4_lt1_0","","","","","5766.20","5766.20","5766.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"cost2_4_lt1_0","","","","","5769.16","5769.16","5769.16","","","","",""
