policy,split,L,p,baseline,mean_%,median_%,pct_pos_%,pct_neg_%,n_rows_total,n_valid,n_missing_or_invalid
exponential_L6_c1_2,train,2,6,avg_cost_basestock,8.433745341348937,7.705937208579424,100.0,0.0,265,265,0
exponential_L6_c1_2,train,2,6,avg_cost_constant,11.964557900245957,12.533139690216686,99.62264150943396,0.0,265,265,0
normal_std30_L6_c1_2,train,2,6,avg_cost_basestock,9.359368147331528,7.993783027665522,100.0,0.0,265,265,0
normal_std30_L6_c1_2,train,2,6,avg_cost_constant,12.9257219820322,13.349986516598777,100.0,0.0,265,265,0
poisson_L6_c1_2,train,2,6,avg_cost_basestock,11.512048682033369,9.660302598205618,100.0,0.0,265,265,0
poisson_L6_c1_2,train,2,6,avg_cost_constant,15.07348326794921,16.501425091008286,100.0,0.0,265,265,0
