policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,train,8351.61,7939.59325,8750.154,ok_expanded,8351.61,"{""base_stock"": 537.2045094556855, ""safety_stock"": 22.201312186904474, ""pipeline_weight"": 0.9027283370278543, ""smoothing_factor"": 0.02096481167094494, ""lost_sales_weight"": 1.2931838887750153, ""demand_buffer"": 1.1017918164431912, ""min_order_threshold"": 9.360564782455251}",
exponential_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,test,8673.914,8530.8006,8807.158725000001,ok_expanded,8351.61,"{""base_stock"": 537.2045094556855, ""safety_stock"": 22.201312186904474, ""pipeline_weight"": 0.9027283370278543, ""smoothing_factor"": 0.02096481167094494, ""lost_sales_weight"": 1.2931838887750153, ""demand_buffer"": 1.1017918164431912, ""min_order_threshold"": 9.360564782455251}",
normal_std30_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,train,8348.13,7934.862,8752.710000000001,ok_expanded,8348.13,"{""base_stock"": 0.0594486376489091, ""safety_stock"": 40.038214960252674, ""pipeline_weight"": 0.49980953071380463, ""demand_forecast"": 32.30182578320217, ""smoothing_factor"": 0.2794482696747375, ""forecast_weight"": 0.5441930124158736, ""adjustment_factor"": 0.11687212431906496, ""pipeline_discount"": 0.797331582650935, ""min_order"": 0.10061605953667148}",
normal_std30_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,test,8659.234,8516.004,8793.631099999999,ok_expanded,8348.13,"{""base_stock"": 0.0594486376489091, ""safety_stock"": 40.038214960252674, ""pipeline_weight"": 0.49980953071380463, ""demand_forecast"": 32.30182578320217, ""smoothing_factor"": 0.2794482696747375, ""forecast_weight"": 0.5441930124158736, ""adjustment_factor"": 0.11687212431906496, ""pipeline_discount"": 0.797331582650935, ""min_order"": 0.10061605953667148}",
poisson_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,train,8352.91,7936.04,8760.3745,ok_expanded,8352.91,"{""safety_stock"": 4.273244373072266, ""demand_estimate"": 82.66407259667523, ""max_order"": 13.757033277127395}",
poisson_L6_c1_2,beta_a0p125_b1p125_M500_L4_p4,test,8694.952,8550.13075,8829.877825000001,ok_expanded,8352.91,"{""safety_stock"": 4.273244373072266, ""demand_estimate"": 82.66407259667523, ""max_order"": 13.757033277127395}",
exponential_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p4,train,9521.14,9183.219000000001,9888.50125,ok_expanded,9521.14,"{""base_stock"": 6.802538630031141, ""safety_stock"": 419.43576816003633, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.20874618844338702, ""lost_sales_weight"": 0.22941988770533042, ""demand_buffer"": 2.0149470322221127e-06, ""min_order_threshold"": 36.596567171270294}",
exponential_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p4,test,9898.654,9777.52915,10021.8188,ok_expanded,9521.14,"{""base_stock"": 6.802538630031141, ""safety_stock"": 419.43576816003633, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.20874618844338702, ""lost_sales_weight"": 0.22941988770533042, ""demand_buffer"": 2.0149470322221127e-06, ""min_order_threshold"": 36.596567171270294}",
normal_std30_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p4,train,9539.86,9175.00675,9906.6055,ok_expanded,9539.86,"{""base_stock"": 481.36567313491855, ""safety_stock"": 139.4052239061948, ""pipeline_weight"": 1.0, ""demand_forecast"": 0.0029152436987537915, ""smoothing_factor"": 0.09326611579493033, ""forecast_weight"": 0.3555941757429609, ""adjustment_factor"": 0.3663428594379324, ""pipeline_discount"": 1.0, ""min_order"": 0.01746924383330026}",
normal_std30_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p4,test,9929.261,9809.524775,10059.046025,ok_expanded,9539.86,"{""base_stock"": 481.36567313491855, ""safety_stock"": 139.4052239061948, ""pipeline_weight"": 1.0, ""demand_forecast"": 0.0029152436987537915, ""smoothing_factor"": 0.09326611579493033, ""forecast_weight"": 0.3555941757429609, ""adjustment_factor"": 0.3663428594379324, ""pipeline_discount"": 1.0, ""min_order"": 0.01746924383330026}",
