policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
normal_std30_L6_c1_2,beta_a0p6_b2p4_M500_L4_p10,train,16321.33,15734.76475,16973.24125,ok_expanded,16321.33,"{""base_stock"": 757.4401193323507, ""safety_stock"": 0.07359331371251907, ""pipeline_weight"": 0.9487935038812438, ""demand_forecast"": 81.71725525570338, ""smoothing_factor"": 0.22595945212143326, ""forecast_weight"": 0.42223406553944626, ""adjustment_factor"": 0.12280587927871744, ""pipeline_discount"": 0.7475388074421335, ""min_order"": 20.872466569796245}",
normal_std30_L6_c1_2,beta_a0p6_b2p4_M500_L4_p10,test,16484.025,16289.8253,16696.178225,ok_expanded,16321.33,"{""base_stock"": 757.4401193323507, ""safety_stock"": 0.07359331371251907, ""pipeline_weight"": 0.9487935038812438, ""demand_forecast"": 81.71725525570338, ""smoothing_factor"": 0.22595945212143326, ""forecast_weight"": 0.42223406553944626, ""adjustment_factor"": 0.12280587927871744, ""pipeline_discount"": 0.7475388074421335, ""min_order"": 20.872466569796245}",
poisson_L6_c1_2,beta_a0p6_b2p4_M500_L4_p10,train,16349.95,15731.963749999999,16964.728000000003,ok_expanded,16349.95,"{""safety_stock"": 14.826691551194505, ""demand_estimate"": 232.2382195696266, ""max_order"": 119.0252262532507}",
poisson_L6_c1_2,beta_a0p6_b2p4_M500_L4_p10,test,16678.137,16488.616224999998,16890.705275,ok_expanded,16349.95,"{""safety_stock"": 14.826691551194505, ""demand_estimate"": 232.2382195696266, ""max_order"": 119.0252262532507}",
exponential_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,train,7913.99,7573.0305,8207.582,ok_expanded,7913.99,"{""base_stock"": 2.627821949629394, ""safety_stock"": 2.7341912036969743e-06, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.2435869070969033, ""lost_sales_weight"": 0.9022937821040992, ""demand_buffer"": 180.74740885194103, ""min_order_threshold"": 0.23846412771543177}",
exponential_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,test,7986.409,7868.0499,8106.2865,ok_expanded,7913.99,"{""base_stock"": 2.627821949629394, ""safety_stock"": 2.7341912036969743e-06, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.2435869070969033, ""lost_sales_weight"": 0.9022937821040992, ""demand_buffer"": 180.74740885194103, ""min_order_threshold"": 0.23846412771543177}",
normal_std30_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,train,7913.2,7561.55675,8209.503499999999,ok_expanded,7913.2,"{""base_stock"": 275.3368063396356, ""safety_stock"": 159.30419562285104, ""pipeline_weight"": 0.956418761620988, ""demand_forecast"": 1.5493927639193334e-05, ""smoothing_factor"": 0.1906382431527364, ""forecast_weight"": 0.6278189612518351, ""adjustment_factor"": 0.42672708829505834, ""pipeline_discount"": 0.7793275754415356, ""min_order"": 6.247577348534753}",
normal_std30_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,test,8000.469,7883.7020999999995,8124.131475,ok_expanded,7913.2,"{""base_stock"": 275.3368063396356, ""safety_stock"": 159.30419562285104, ""pipeline_weight"": 0.956418761620988, ""demand_forecast"": 1.5493927639193334e-05, ""smoothing_factor"": 0.1906382431527364, ""forecast_weight"": 0.6278189612518351, ""adjustment_factor"": 0.42672708829505834, ""pipeline_discount"": 0.7793275754415356, ""min_order"": 6.247577348534753}",
poisson_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,train,8010.1,7679.3325,8304.789,ok_expanded,8010.1,"{""safety_stock"": 113.47924782491694, ""demand_estimate"": 78.28216018298667, ""max_order"": 53.257347858500204}",
poisson_L6_c1_2,beta_a0p8_b7p2_M500_L4_p10,test,8105.316,7987.61985,8225.9416,ok_expanded,8010.1,"{""safety_stock"": 113.47924782491694, ""demand_estimate"": 78.28216018298667, ""max_order"": 53.257347858500204}",
