policy,split,L,p,baseline,mean_%,median_%,pct_pos_%,pct_neg_%,n_rows_total,n_valid,n_missing_or_invalid
exponential_L6_c1_2,train,4,4,avg_cost_basestock,27.34908094861807,23.471345160251474,100.0,0.0,67,67,0
exponential_L6_c1_2,train,4,4,avg_cost_constant,3.6203705160901887,3.6208968002982824,100.0,0.0,67,67,0
normal_std30_L6_c1_2,train,4,4,avg_cost_basestock,27.756432098186917,23.868765081187554,100.0,0.0,67,67,0
normal_std30_L6_c1_2,train,4,4,avg_cost_constant,4.128671286608295,4.700869514978191,94.02985074626866,2.9850746268656714,67,67,0
poisson_L6_c1_2,train,4,4,avg_cost_basestock,28.411808159422343,25.359964901963536,100.0,0.0,67,67,0
poisson_L6_c1_2,train,4,4,avg_cost_constant,5.091839829448822,6.125759118856327,94.02985074626866,5.970149253731343,67,67,0
