policy,split,L,p,baseline,mean_%,median_%,pct_pos_%,pct_neg_%,n_rows_total,n_valid,n_missing_or_invalid
exponential_L6_c1_2,train,8,4,avg_cost_basestock,49.16710926666262,48.69006709573826,100.0,0.0,417,417,0
exponential_L6_c1_2,train,8,4,avg_cost_constant,0.7170358911536314,0.7923987329958415,88.72901678657075,8.393285371702639,417,417,0
normal_std30_L6_c1_2,train,8,4,avg_cost_basestock,49.25665682305724,48.95547977937662,100.0,0.0,417,417,0
normal_std30_L6_c1_2,train,8,4,avg_cost_constant,0.8526170978511088,0.9522844897780813,87.52997601918466,6.71462829736211,417,417,0
poisson_L6_c1_2,train,8,4,avg_cost_basestock,49.03538787177988,49.67790222520229,100.0,0.0,417,417,0
poisson_L6_c1_2,train,8,4,avg_cost_constant,0.25997320103407606,0.5488215488215418,68.82494004796163,18.705035971223023,417,417,0
