dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p125_b1p125_M500_L8_p6_train.json,beta_a0p125_b1p125_M500_L6_c1_2_train.json,8,1,6.0,100,50,47.1538,202,12057.69,22,11324.53
beta_a0p125_b1p125_M500_L8_p6_test.json,beta_a0p125_b1p125_M500_L6_c1_2_test.json,8,1,6.0,1000,50,49.15512,202,12500.727,22,11789.225
beta_a0p328125_b1p85938_M500_L8_p6_train.json,beta_a0p328125_b1p85938_M500_L6_c1_2_train.json,8,1,6.0,100,50,71.0408,464,14388.09,47,12496.92
beta_a0p328125_b1p85938_M500_L8_p6_test.json,beta_a0p328125_b1p85938_M500_L6_c1_2_test.json,8,1,6.0,1000,50,75.3431,464,15052.932,47,13220.239
beta_a0p6_b2p4_M500_L8_p6_train.json,beta_a0p6_b2p4_M500_L6_c1_2_train.json,8,1,6.0,100,50,101.338,767,16534.32,77,13553.18
beta_a0p6_b2p4_M500_L8_p6_test.json,beta_a0p6_b2p4_M500_L6_c1_2_test.json,8,1,6.0,1000,50,99.35242,767,16502.89,77,13786.187
beta_a0p8_b7p2_M500_L8_p6_train.json,beta_a0p8_b7p2_M500_L6_c1_2_train.json,8,1,6.0,100,50,49.6336,369,7903.42,38,6445.8
beta_a0p8_b7p2_M500_L8_p6_test.json,beta_a0p8_b7p2_M500_L6_c1_2_test.json,8,1,6.0,1000,50,49.69722,369,7984.163,38,6531.166
beta_a0p921875_b2p76562_M500_L8_p6_train.json,beta_a0p921875_b2p76562_M500_L6_c1_2_train.json,8,1,6.0,100,50,126.2936,1018,17492.09,105,13338.97
beta_a0p921875_b2p76562_M500_L8_p6_test.json,beta_a0p921875_b2p76562_M500_L6_c1_2_test.json,8,1,6.0,1000,50,126.25464,1018,17884.003,105,13888.126
beta_a116p938_b350p812_M500_L8_p6_train.json,beta_a116p938_b350p812_M500_L6_c1_2_train.json,8,1,6.0,100,50,125.1094,1113,5850.2,123,1465.37
beta_a116p938_b350p812_M500_L8_p6_test.json,beta_a116p938_b350p812_M500_L6_c1_2_test.json,8,1,6.0,1000,50,125.02062,1113,5874.25,123,1436.679
beta_a11p8031_b66p8844_M500_L8_p6_train.json,beta_a11p8031_b66p8844_M500_L6_c1_2_train.json,8,1,6.0,100,50,75.1428,652,5355.14,70,2873.75
