dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L4_p4_train,8351.61,8348.13,8352.91
beta_a0p125_b1p125_M500_L4_p4_test,8673.914,8659.234,8694.952
beta_a0p328125_b1p85938_M500_L4_p4_train,9521.14,9539.86,9575.75
beta_a0p328125_b1p85938_M500_L4_p4_test,9898.654,9929.261,9945.609
beta_a0p6_b2p4_M500_L4_p4_train,10278.55,10280.43,10310.5
beta_a0p6_b2p4_M500_L4_p4_test,10410.673,10446.43,10529.752
beta_a0p8_b7p2_M500_L4_p4_train,4924.19,4923.08,4938.71
beta_a0p8_b7p2_M500_L4_p4_test,4930.014,4927.957,4949.77
beta_a0p921875_b2p76562_M500_L4_p4_train,10208.14,10207.18,10194.09
beta_a0p921875_b2p76562_M500_L4_p4_test,10538.711,10538.589,10564.833
beta_a116p938_b350p812_M500_L4_p4_train,1114.69,1120.76,1081.83
beta_a116p938_b350p812_M500_L4_p4_test,1116.625,1113.427,1074.253
beta_a11p8031_b66p8844_M500_L4_p4_train,2188.92,2164.5,2143.61
beta_a11p8031_b66p8844_M500_L4_p4_test,2171.491,2140.928,2139.005
beta_a12p7708_b38p3125_M500_L4_p4_train,3236.27,3223.26,3184.97
beta_a12p7708_b38p3125_M500_L4_p4_test,3235.277,3231.103,3162.337
beta_a157p2_b366p8_M500_L4_p4_train,1128.27,1130.85,1165.65
beta_a157p2_b366p8_M500_L4_p4_test,1139.714,1142.562,1187.4
beta_a17p2_b40p1333_M500_L4_p4_train,3291.31,3254.16,3172.5
beta_a17p2_b40p1333_M500_L4_p4_test,3305.22,3268.715,3199.749
beta_a19p8_b79p2_M500_L4_p4_train,2215.49,2201.96,2177.69
beta_a19p8_b79p2_M500_L4_p4_test,2163.731,2150.238,2132.206
beta_a1p275_b2p975_M500_L4_p4_train,11136.22,11140.88,11129.65
beta_a1p275_b2p975_M500_L4_p4_test,10697.494,10706.819,10692.15
beta_a1p7625_b9p9875_M500_L4_p4_train,5094.3,5078.55,5074.73
beta_a1p7625_b9p9875_M500_L4_p4_test,5196.83,5183.685,5167.878
beta_a22p4_b201p6_M500_L4_p4_train,1125.86,1104.11,1088.31
beta_a22p4_b201p6_M500_L4_p4_test,1101.995,1075.769,1061.81
beta_a29p0469_b87p1406_M500_L4_p4_train,2156.12,2156.15,2109.07
beta_a29p0469_b87p1406_M500_L4_p4_test,2219.215,2204.043,2147.555
beta_a2p4_b21p6_M500_L4_p4_train,3128.76,3127.29,3143.68
beta_a2p4_b21p6_M500_L4_p4_test,3092.555,3082.225,3087.919
beta_a39p075_b91p175_M500_L4_p4_train,2208.79,2160.61,2127.65
beta_a39p075_b91p175_M500_L4_p4_test,2223.668,2191.592,2142.508
beta_a3_b12_M500_L4_p4_train,5324.19,5326.07,5318.46
beta_a3_b12_M500_L4_p4_test,5311.732,5324.147,5291.345
beta_a47p6625_b270p087_M500_L4_p4_train,1082.82,1071.57,1060.84
beta_a47p6625_b270p087_M500_L4_p4_test,1120.705,1097.788,1077.784
beta_a4p4375_b13p3125_M500_L4_p4_train,5321.82,5238.13,5221.64
beta_a4p4375_b13p3125_M500_L4_p4_test,5434.077,5314.108,5269.419
beta_a5p1625_b29p2542_M500_L4_p4_train,3234.63,3214.98,3215.95
beta_a5p1625_b29p2542_M500_L4_p4_test,3173.945,3156.811,3152.542
beta_a5p525_b49p725_M500_L4_p4_train,2216.7,2174.96,2166.01
beta_a5p525_b49p725_M500_L4_p4_test,2150.947,2112.531,2104.371
beta_a6_b14_M500_L4_p4_train,5349.25,5253.36,5290.01
beta_a6_b14_M500_L4_p4_test,5495.633,5369.505,5385.228
beta_a79p8_b319p2_M500_L4_p4_train,1098.58,1092.52,1163.2
beta_a79p8_b319p2_M500_L4_p4_test,1136.429,1109.634,1164.619
beta_a8p68889_b34p7556_M500_L4_p4_train,3200.24,3193.49,3183.59
beta_a8p68889_b34p7556_M500_L4_p4_test,3243.711,3234.561,3200.522
binom_n1000000_p0p0001_L4_p4_train,1144.64,1115.98,1192.82
binom_n1000000_p0p0001_L4_p4_test,1147.697,1100.036,1155.513
binom_n1250000_p0p0001_L4_p4_train,1253.58,1277.8,1178.28
binom_n1250000_p0p0001_L4_p4_test,1240.657,1288.638,1188.973
binom_n1500000_p0p0001_L4_p4_train,1304.94,1310.1,1343.78
binom_n1500000_p0p0001_L4_p4_test,1359.196,1354.249,1391.017
binom_n450_p0p333333_L4_p4_train,1117.92,1133.07,1175.59
binom_n450_p0p333333_L4_p4_test,1115.324,1135.902,1165.435
binom_n500000_p0p0001_L4_p4_train,770.13,762.76,753.77
binom_n500000_p0p0001_L4_p4_test,780.191,771.005,758.586
binom_n625_p0p2_L4_p4_train,1119.51,1127.06,1093.12
binom_n625_p0p2_L4_p4_test,1114.328,1124.438,1067.452
binom_n750000_p0p0001_L4_p4_train,934.53,931.65,931.13
binom_n750000_p0p0001_L4_p4_test,957.911,959.642,934.787
cunif_a0_b100_L4_p4_train,3142.2,3124.29,3151.58
cunif_a0_b100_L4_p4_test,3184.516,3172.811,3167.895
cunif_a0_b150_L4_p4_train,4774.11,4780.16,4720.19
cunif_a0_b150_L4_p4_test,4795.283,4803.996,4767.777
cunif_a0_b200_L4_p4_train,6361.28,6375.58,6347.55
cunif_a0_b200_L4_p4_test,6339.591,6335.628,6353.226
cunif_a0_b250_L4_p4_train,7802.18,7804.43,7823.99
cunif_a0_b250_L4_p4_test,7960.853,7949.664,7957.15
cunif_a0_b300_L4_p4_train,9597.29,9593.87,9523.95
cunif_a0_b300_L4_p4_test,9550.366,9567.033,9491.144
cunif_a107p679_b142p321_L4_p4_train,1125.24,1155.56,1113.22
cunif_a107p679_b142p321_L4_p4_test,1149.257,1164.425,1107.96
cunif_a115p359_b184p641_L4_p4_train,2300.7,2274.31,2213.37
cunif_a115p359_b184p641_L4_p4_test,2295.721,2245.867,2252.63
cunif_a132p679_b167p321_L4_p4_train,1168.8,1151.33,1203.18
cunif_a132p679_b167p321_L4_p4_test,1167.102,1145.257,1207.924
cunif_a13p3975_b186p603_L4_p4_train,5511.36,5498.03,5470.14
cunif_a13p3975_b186p603_L4_p4_test,5489.588,5506.064,5472.969
cunif_a15p359_b84p641_L4_p4_train,2200.08,2191.15,2174.99
cunif_a15p359_b84p641_L4_p4_test,2228.872,2222.705,2200.891
cunif_a23p0385_b126p962_L4_p4_train,3378.3,3363.06,3353.86
cunif_a23p0385_b126p962_L4_p4_test,3311.571,3283.235,3296.966
cunif_a32p6795_b67p3205_L4_p4_train,1125.56,1104.93,1098.35
cunif_a32p6795_b67p3205_L4_p4_test,1137.277,1108.289,1092.0
cunif_a38p3975_b211p603_L4_p4_train,5373.03,5341.52,5311.7
cunif_a38p3975_b211p603_L4_p4_test,5540.181,5522.898,5487.913
cunif_a40p359_b109p641_L4_p4_train,2274.91,2251.39,2254.04
cunif_a40p359_b109p641_L4_p4_test,2257.025,2233.167,2220.05
cunif_a48p0385_b151p962_L4_p4_train,3265.32,3239.38,3307.76
cunif_a48p0385_b151p962_L4_p4_test,3360.04,3322.049,3356.01
cunif_a57p6795_b92p3205_L4_p4_train,1140.43,1133.55,1120.35
cunif_a57p6795_b92p3205_L4_p4_test,1134.267,1120.415,1116.032
cunif_a63p3975_b236p603_L4_p4_train,5516.03,5453.04,5419.97
cunif_a63p3975_b236p603_L4_p4_test,5528.188,5504.807,5515.765
cunif_a65p359_b134p641_L4_p4_train,2256.46,2258.94,2244.1
cunif_a65p359_b134p641_L4_p4_test,2233.157,2226.241,2213.464
cunif_a73p0385_b176p962_L4_p4_train,3399.98,3364.98,3293.83
cunif_a73p0385_b176p962_L4_p4_test,3389.286,3352.938,3290.723
cunif_a82p6795_b117p321_L4_p4_train,1133.91,1125.82,1196.76
cunif_a82p6795_b117p321_L4_p4_test,1139.891,1134.603,1190.091
cunif_a90p359_b159p641_L4_p4_train,2241.38,2213.6,2180.77
cunif_a90p359_b159p641_L4_p4_test,2273.783,2237.623,2202.777
cunif_a98p0385_b201p962_L4_p4_train,3357.9,3327.54,3288.56
cunif_a98p0385_b201p962_L4_p4_test,3381.026,3356.253,3307.707
dunif_L0_H100_L4_p4_train,3203.36,3206.3,3183.12
dunif_L0_H100_L4_p4_test,3225.064,3244.956,3201.363
dunif_L0_H150_L4_p4_train,4811.93,4822.06,4823.29
dunif_L0_H150_L4_p4_test,4789.844,4804.248,4799.967
dunif_L0_H200_L4_p4_train,6244.83,6259.91,6205.56
dunif_L0_H200_L4_p4_test,6411.308,6426.399,6374.881
dunif_L0_H250_L4_p4_train,8012.57,7982.16,7969.22
dunif_L0_H250_L4_p4_test,8019.152,7993.965,7974.503
dunif_L0_H300_L4_p4_train,9409.54,9381.89,9428.52
dunif_L0_H300_L4_p4_test,9602.154,9580.192,9546.202
dunif_L108_H142_L4_p4_train,1360.83,1230.26,1145.68
dunif_L108_H142_L4_p4_test,1250.276,1206.627,1118.833
dunif_L116_H184_L4_p4_train,2241.52,2230.33,2289.34
dunif_L116_H184_L4_p4_test,2309.824,2268.583,2263.51
dunif_L133_H167_L4_p4_train,1178.17,1158.37,1199.34
dunif_L133_H167_L4_p4_test,1188.647,1178.33,1230.357
dunif_L14_H186_L4_p4_train,5680.65,5703.04,5650.28
dunif_L14_H186_L4_p4_test,5539.295,5534.413,5491.171
dunif_L16_H84_L4_p4_train,2315.27,2268.27,2227.88
dunif_L16_H84_L4_p4_test,2277.374,2217.015,2189.263
dunif_L24_H126_L4_p4_train,3315.03,3294.76,3304.09
dunif_L24_H126_L4_p4_test,3301.298,3287.687,3274.29
dunif_L33_H67_L4_p4_train,1127.07,1102.8,1097.67
dunif_L33_H67_L4_p4_test,1150.454,1128.967,1116.731
dunif_L39_H211_L4_p4_train,5624.68,5592.85,5545.16
dunif_L39_H211_L4_p4_test,5537.391,5521.625,5503.059
dunif_L41_H109_L4_p4_train,2227.95,2214.73,2238.16
dunif_L41_H109_L4_p4_test,2228.608,2211.975,2214.908
dunif_L49_H151_L4_p4_train,3505.17,3455.56,3394.7
dunif_L49_H151_L4_p4_test,3358.691,3318.643,3293.129
dunif_L58_H92_L4_p4_train,1202.36,1174.47,1142.27
dunif_L58_H92_L4_p4_test,1151.881,1145.024,1127.369
dunif_L64_H236_L4_p4_train,5637.22,5577.79,5589.16
dunif_L64_H236_L4_p4_test,5662.221,5606.439,5595.13
dunif_L66_H134_L4_p4_train,2199.9,2195.3,2172.78
dunif_L66_H134_L4_p4_test,2215.609,2209.608,2197.044
dunif_L74_H176_L4_p4_train,3529.07,3472.98,3350.68
dunif_L74_H176_L4_p4_test,3326.639,3318.066,3274.895
dunif_L83_H117_L4_p4_train,1172.43,1161.76,1209.78
dunif_L83_H117_L4_p4_test,1154.41,1148.643,1200.969
dunif_L91_H159_L4_p4_train,2243.33,2223.72,2190.38
dunif_L91_H159_L4_p4_test,2254.092,2222.031,2194.153
dunif_L99_H201_L4_p4_train,3329.85,3321.15,3311.99
dunif_L99_H201_L4_p4_test,3371.444,3344.693,3361.264
exponential_rate0p00666667_L4_p4_train,14599.85,14604.38,14616.92
exponential_rate0p00666667_L4_p4_test,14586.228,14576.648,14656.278
exponential_rate0p008_L4_p4_train,11922.85,11921.06,12026.38
exponential_rate0p008_L4_p4_test,12226.416,12290.099,12297.68
exponential_rate0p0133333_L4_p4_train,7385.6,7391.73,7405.93
exponential_rate0p0133333_L4_p4_test,7321.412,7331.372,7338.098
exponential_rate0p01_L4_p4_train,9874.89,9874.02,9913.98
exponential_rate0p01_L4_p4_test,9611.607,9616.429,9692.115
exponential_rate0p02_L4_p4_train,4765.75,4752.76,4767.49
exponential_rate0p02_L4_p4_test,4869.53,4876.502,4895.688
gamma_k0p25_th200_L4_p4_train,8024.45,8019.72,8044.02
gamma_k0p25_th200_L4_p4_test,7897.342,7898.409,7923.063
gamma_k0p5625_th133p333_L4_p4_train,9275.29,9284.06,9310.6
gamma_k0p5625_th133p333_L4_p4_test,9241.276,9226.601,9308.321
gamma_k100_th1_L4_p4_train,1140.33,1126.1,1182.13
gamma_k100_th1_L4_p4_test,1115.137,1101.86,1158.928
gamma_k11p1111_th9_L4_p4_train,3157.92,3132.56,3130.86
gamma_k11p1111_th9_L4_p4_test,3235.927,3216.663,3185.825
gamma_k14p0625_th5p33333_L4_p4_train,2145.5,2137.63,2134.94
gamma_k14p0625_th5p33333_L4_p4_test,2149.047,2125.641,2138.612
gamma_k156p25_th0p8_L4_p4_train,1096.8,1147.92,1051.25
gamma_k156p25_th0p8_L4_p4_test,1102.187,1159.9,1056.261
gamma_k17p3611_th7p2_L4_p4_train,3289.74,3259.23,3231.27
gamma_k17p3611_th7p2_L4_p4_test,3266.408,3237.137,3194.568
gamma_k1_th100_L4_p4_train,9681.28,9568.4,9643.83
gamma_k1_th100_L4_p4_test,9831.309,9673.838,9730.396
gamma_k1_th50_L4_p4_train,4902.47,4860.33,4880.16
gamma_k1_th50_L4_p4_test,4853.39,4795.076,4798.851
gamma_k1p5625_th80_L4_p4_train,9886.75,9873.65,9907.23
gamma_k1p5625_th80_L4_p4_test,9979.982,9984.355,10047.341
gamma_k225_th0p666667_L4_p4_train,1169.65,1169.65,1185.95
gamma_k225_th0p666667_L4_p4_test,1122.227,1122.227,1156.279
gamma_k25_th2_L4_p4_train,1112.8,1074.27,1057.34
gamma_k25_th2_L4_p4_test,1092.284,1070.678,1056.86
gamma_k25_th4_L4_p4_train,2145.53,2121.57,2083.49
