dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L8_p4_train,8353.79,8351.88,8357.21
beta_a0p125_b1p125_M500_L8_p4_test,8685.616,8680.112,8695.784
beta_a0p328125_b1p85938_M500_L8_p4_train,9614.79,9617.19,9604.2
beta_a0p328125_b1p85938_M500_L8_p4_test,10046.749,10069.253,10061.496
beta_a0p6_b2p4_M500_L8_p4_train,10515.91,10508.99,10591.3
beta_a0p6_b2p4_M500_L8_p4_test,10645.779,10703.566,10731.753
beta_a0p8_b7p2_M500_L8_p4_train,5014.25,5020.67,5029.16
beta_a0p8_b7p2_M500_L8_p4_test,5024.771,5035.781,5030.42
beta_a0p921875_b2p76562_M500_L8_p4_train,10443.62,10424.54,10428.63
beta_a0p921875_b2p76562_M500_L8_p4_test,10801.117,10797.129,10831.312
beta_a116p938_b350p812_M500_L8_p4_train,1142.39,1175.12,1194.7
beta_a116p938_b350p812_M500_L8_p4_test,1134.269,1169.497,1179.395
beta_a11p8031_b66p8844_M500_L8_p4_train,2251.28,2251.54,2203.08
beta_a11p8031_b66p8844_M500_L8_p4_test,2224.1,2218.086,2205.114
beta_a12p7708_b38p3125_M500_L8_p4_train,3321.31,3314.24,3344.37
beta_a12p7708_b38p3125_M500_L8_p4_test,3320.382,3312.061,3350.453
beta_a157p2_b366p8_M500_L8_p4_train,1146.78,1165.65,1165.65
beta_a157p2_b366p8_M500_L8_p4_test,1152.753,1187.4,1187.4
beta_a17p2_b40p1333_M500_L8_p4_train,3398.93,3410.48,3343.2
beta_a17p2_b40p1333_M500_L8_p4_test,3396.568,3393.231,3367.483
beta_a19p8_b79p2_M500_L8_p4_train,2312.68,2303.63,2284.76
beta_a19p8_b79p2_M500_L8_p4_test,2233.853,2232.589,2214.705
beta_a1p275_b2p975_M500_L8_p4_train,11377.58,11349.67,11367.69
beta_a1p275_b2p975_M500_L8_p4_test,11112.789,11092.468,11021.486
beta_a1p7625_b9p9875_M500_L8_p4_train,5227.4,5226.99,5208.36
beta_a1p7625_b9p9875_M500_L8_p4_test,5353.759,5322.054,5328.833
beta_a22p4_b201p6_M500_L8_p4_train,1149.95,1143.01,1145.3
beta_a22p4_b201p6_M500_L8_p4_test,1123.712,1116.319,1114.208
beta_a29p0469_b87p1406_M500_L8_p4_train,2265.13,2215.01,2171.3
beta_a29p0469_b87p1406_M500_L8_p4_test,2301.403,2269.216,2240.846
