dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L8_p6_train,11288.07,11262.27,11308.83
beta_a0p125_b1p125_M500_L8_p6_test,11744.214,11730.506,11777.963
beta_a0p328125_b1p85938_M500_L8_p6_train,12457.52,12384.04,12407.64
beta_a0p328125_b1p85938_M500_L8_p6_test,13160.801,12960.248,13066.319
beta_a0p6_b2p4_M500_L8_p6_train,13300.45,13289.78,13435.98
beta_a0p6_b2p4_M500_L8_p6_test,13540.903,13549.995,13663.451
beta_a0p8_b7p2_M500_L8_p6_train,6375.25,6376.49,6413.89
beta_a0p8_b7p2_M500_L8_p6_test,6419.132,6410.349,6448.594
beta_a0p921875_b2p76562_M500_L8_p6_train,13100.46,13024.85,12977.29
beta_a0p921875_b2p76562_M500_L8_p6_test,13569.839,13558.549,13567.298
beta_a116p938_b350p812_M500_L8_p6_train,1512.12,1465.37,1465.37
beta_a116p938_b350p812_M500_L8_p6_test,1564.286,1436.679,1436.679
beta_a11p8031_b66p8844_M500_L8_p6_train,2852.44,2824.68,2747.08
beta_a11p8031_b66p8844_M500_L8_p6_test,2822.391,2777.791,2738.49
beta_a12p7708_b38p3125_M500_L8_p6_train,4126.88,4117.13,4097.32
beta_a12p7708_b38p3125_M500_L8_p6_test,4147.823,4142.008,4084.361
beta_a157p2_b366p8_M500_L8_p6_train,1420.21,1568.41,1475.51
beta_a157p2_b366p8_M500_L8_p6_test,1433.763,1604.7,1459.192
beta_a17p2_b40p1333_M500_L8_p6_train,4284.56,4289.05,4164.87
beta_a17p2_b40p1333_M500_L8_p6_test,4269.871,4268.03,4187.076
beta_a19p8_b79p2_M500_L8_p6_train,2957.81,2866.76,2845.85
beta_a19p8_b79p2_M500_L8_p6_test,2826.458,2797.49,2758.648
beta_a1p275_b2p975_M500_L8_p6_train,14327.3,14271.19,14318.9
beta_a1p275_b2p975_M500_L8_p6_test,13810.375,13738.748,13758.137
beta_a1p7625_b9p9875_M500_L8_p6_train,6612.57,6613.02,6570.17
beta_a1p7625_b9p9875_M500_L8_p6_test,6752.794,6732.358,6705.867
beta_a22p4_b201p6_M500_L8_p6_train,1433.22,1433.68,1410.75
beta_a22p4_b201p6_M500_L8_p6_test,1394.518,1390.961,1379.25
beta_a29p0469_b87p1406_M500_L8_p6_train,2767.82,2769.48,2694.13
beta_a29p0469_b87p1406_M500_L8_p6_test,2847.402,2868.153,2793.67
beta_a2p4_b21p6_M500_L8_p6_train,3996.45,3996.75,4043.34
beta_a2p4_b21p6_M500_L8_p6_test,3980.985,3979.073,4052.56
beta_a39p075_b91p175_M500_L8_p6_train,2803.57,2794.41,2813.08
beta_a39p075_b91p175_M500_L8_p6_test,2812.997,2820.488,2808.977
beta_a3_b12_M500_L8_p6_train,6974.78,6901.63,6896.81
beta_a3_b12_M500_L8_p6_test,6970.823,6885.075,6832.447
beta_a47p6625_b270p087_M500_L8_p6_train,1390.02,1367.15,1364.02
beta_a47p6625_b270p087_M500_L8_p6_test,1433.523,1412.997,1383.515
beta_a4p4375_b13p3125_M500_L8_p6_train,6667.09,6673.49,6701.1
beta_a4p4375_b13p3125_M500_L8_p6_test,6907.263,6909.826,6818.033
beta_a5p1625_b29p2542_M500_L8_p6_train,4130.47,4137.64,4143.66
beta_a5p1625_b29p2542_M500_L8_p6_test,4097.066,4081.338,4038.867
beta_a5p525_b49p725_M500_L8_p6_train,2809.61,2799.42,2814.65
beta_a5p525_b49p725_M500_L8_p6_test,2736.996,2729.83,2731.363
beta_a6_b14_M500_L8_p6_train,6681.58,6664.17,6761.14
beta_a6_b14_M500_L8_p6_test,6970.911,6948.703,6994.754
beta_a79p8_b319p2_M500_L8_p6_train,1391.19,1368.79,1589.61
beta_a79p8_b319p2_M500_L8_p6_test,1435.716,1412.212,1585.746
beta_a8p68889_b34p7556_M500_L8_p6_train,4165.52,4155.67,4133.27
beta_a8p68889_b34p7556_M500_L8_p6_test,4193.678,4171.454,4136.052
binom_n1000000_p0p0001_L8_p6_train,1426.65,1403.99,1639.54
binom_n1000000_p0p0001_L8_p6_test,1409.285,1397.031,1575.26
binom_n1250000_p0p0001_L8_p6_train,1601.41,1652.63,1652.63
binom_n1250000_p0p0001_L8_p6_test,1598.864,1623.413,1623.413
binom_n1500000_p0p0001_L8_p6_train,1643.65,1627.12,1667.2
binom_n1500000_p0p0001_L8_p6_test,1725.786,1717.913,1745.669
binom_n450_p0p333333_L8_p6_train,1413.57,1586.91,1445.2
binom_n450_p0p333333_L8_p6_test,1396.351,1576.193,1425.213
binom_n500000_p0p0001_L8_p6_train,975.78,986.92,973.3
binom_n500000_p0p0001_L8_p6_test,977.914,1007.486,975.188
binom_n625_p0p2_L8_p6_train,1561.49,1469.35,1593.0
binom_n625_p0p2_L8_p6_test,1576.775,1454.095,1578.513
binom_n750000_p0p0001_L8_p6_train,1175.11,1176.84,1188.55
binom_n750000_p0p0001_L8_p6_test,1217.294,1219.254,1237.842
cunif_a0_b100_L8_p6_train,3970.76,3969.42,4004.62
cunif_a0_b100_L8_p6_test,4084.498,4067.684,4055.039
cunif_a0_b150_L8_p6_train,6155.12,6103.0,6176.54
cunif_a0_b150_L8_p6_test,6238.684,6197.999,6181.903
cunif_a0_b200_L8_p6_train,8240.34,8226.88,8299.42
cunif_a0_b200_L8_p6_test,8198.702,8223.653,8148.133
cunif_a0_b250_L8_p6_train,9981.59,9924.01,9966.04
cunif_a0_b250_L8_p6_test,10204.243,10182.22,10192.772
cunif_a0_b300_L8_p6_train,12135.24,12134.44,12035.86
cunif_a0_b300_L8_p6_test,12399.786,12383.574,12287.84
cunif_a107p679_b142p321_L8_p6_train,1477.65,1409.01,1595.19
cunif_a107p679_b142p321_L8_p6_test,1483.303,1457.53,1615.855
cunif_a115p359_b184p641_L8_p6_train,2894.61,2922.16,2930.23
cunif_a115p359_b184p641_L8_p6_test,2886.825,2904.711,2937.875
cunif_a132p679_b167p321_L8_p6_train,1467.98,1474.34,1468.16
cunif_a132p679_b167p321_L8_p6_test,1470.583,1477.96,1447.271
cunif_a13p3975_b186p603_L8_p6_train,7182.79,7173.85,7105.79
cunif_a13p3975_b186p603_L8_p6_test,7093.486,7089.234,7095.198
cunif_a15p359_b84p641_L8_p6_train,2816.8,2810.09,2815.93
cunif_a15p359_b84p641_L8_p6_test,2865.665,2851.042,2830.789
cunif_a23p0385_b126p962_L8_p6_train,4296.76,4298.95,4299.01
cunif_a23p0385_b126p962_L8_p6_test,4259.839,4245.467,4201.863
cunif_a32p6795_b67p3205_L8_p6_train,1407.17,1411.32,1413.41
cunif_a32p6795_b67p3205_L8_p6_test,1423.911,1422.541,1406.579
cunif_a38p3975_b211p603_L8_p6_train,6849.38,6937.43,6886.79
cunif_a38p3975_b211p603_L8_p6_test,7168.71,7201.468,7131.315
cunif_a40p359_b109p641_L8_p6_train,2906.01,2898.88,2922.65
cunif_a40p359_b109p641_L8_p6_test,2878.124,2880.946,2896.39
cunif_a48p0385_b151p962_L8_p6_train,4119.42,4117.81,4193.93
cunif_a48p0385_b151p962_L8_p6_test,4280.3,4288.756,4208.539
cunif_a57p6795_b92p3205_L8_p6_train,1442.9,1448.23,1452.45
cunif_a57p6795_b92p3205_L8_p6_test,1430.16,1433.294,1442.687
cunif_a63p3975_b236p603_L8_p6_train,7124.53,7101.97,6940.78
cunif_a63p3975_b236p603_L8_p6_test,7153.954,7122.318,7026.727
cunif_a65p359_b134p641_L8_p6_train,2885.83,2898.36,2898.23
cunif_a65p359_b134p641_L8_p6_test,2878.486,2863.04,2838.282
cunif_a73p0385_b176p962_L8_p6_train,4292.04,4280.63,4247.57
cunif_a73p0385_b176p962_L8_p6_test,4299.459,4329.78,4225.383
cunif_a82p6795_b117p321_L8_p6_train,1427.77,1438.06,1491.73
cunif_a82p6795_b117p321_L8_p6_test,1437.501,1442.668,1491.399
cunif_a90p359_b159p641_L8_p6_train,2839.76,2863.85,2786.65
cunif_a90p359_b159p641_L8_p6_test,2906.792,2914.155,2847.214
cunif_a98p0385_b201p962_L8_p6_train,4280.12,4294.4,4317.08
cunif_a98p0385_b201p962_L8_p6_test,4326.851,4335.305,4335.241
dunif_L0_H100_L8_p6_train,4131.44,4101.64,4108.63
dunif_L0_H100_L8_p6_test,4162.907,4127.11,4137.375
dunif_L0_H150_L8_p6_train,6154.06,6146.47,6160.45
dunif_L0_H150_L8_p6_test,6176.569,6187.129,6135.884
dunif_L0_H200_L8_p6_train,8051.62,8045.66,7944.85
dunif_L0_H200_L8_p6_test,8209.07,8205.655,8203.315
dunif_L0_H250_L8_p6_train,10294.38,10246.24,10302.54
dunif_L0_H250_L8_p6_test,10417.283,10413.7,10325.625
dunif_L0_H300_L8_p6_train,12068.93,12025.63,12140.08
dunif_L0_H300_L8_p6_test,12360.544,12293.773,12285.735
dunif_L108_H142_L8_p6_train,1611.39,1592.77,1636.43
dunif_L108_H142_L8_p6_test,1594.193,1487.15,1621.083
dunif_L116_H184_L8_p6_train,2810.88,2852.47,2858.46
dunif_L116_H184_L8_p6_test,2908.978,2933.561,2951.488
dunif_L133_H167_L8_p6_train,1465.07,1476.65,1467.21
dunif_L133_H167_L8_p6_test,1508.552,1511.588,1464.405
dunif_L14_H186_L8_p6_train,7422.51,7433.78,7316.51
dunif_L14_H186_L8_p6_test,7110.024,7114.479,7072.25
dunif_L16_H84_L8_p6_train,2907.95,2899.56,2888.76
dunif_L16_H84_L8_p6_test,2844.532,2831.7,2818.295
dunif_L24_H126_L8_p6_train,4226.7,4207.46,4205.09
dunif_L24_H126_L8_p6_test,4295.157,4280.518,4198.501
dunif_L33_H67_L8_p6_train,1433.56,1423.3,1408.32
dunif_L33_H67_L8_p6_test,1449.348,1457.016,1426.053
dunif_L39_H211_L8_p6_train,7226.22,7206.23,7146.91
dunif_L39_H211_L8_p6_test,7124.81,7113.564,7079.989
dunif_L41_H109_L8_p6_train,2871.56,2843.66,2878.67
dunif_L41_H109_L8_p6_test,2859.379,2849.192,2858.978
dunif_L49_H151_L8_p6_train,4426.52,4437.08,4401.11
dunif_L49_H151_L8_p6_test,4277.775,4270.105,4201.918
dunif_L58_H92_L8_p6_train,1560.94,1527.47,1504.68
dunif_L58_H92_L8_p6_test,1460.663,1488.597,1463.758
dunif_L64_H236_L8_p6_train,7233.81,7094.06,7199.25
dunif_L64_H236_L8_p6_test,7287.278,7226.951,7247.547
dunif_L66_H134_L8_p6_train,2890.38,2828.93,2800.24
dunif_L66_H134_L8_p6_test,2942.284,2857.95,2832.899
dunif_L74_H176_L8_p6_train,4591.19,4537.83,4373.51
dunif_L74_H176_L8_p6_test,4206.391,4242.379,4181.594
dunif_L83_H117_L8_p6_train,1487.36,1485.14,1516.74
dunif_L83_H117_L8_p6_test,1453.379,1464.685,1505.21
dunif_L91_H159_L8_p6_train,2865.32,2873.52,2843.77
dunif_L91_H159_L8_p6_test,2882.849,2891.276,2819.785
dunif_L99_H201_L8_p6_train,4245.21,4240.19,4280.55
dunif_L99_H201_L8_p6_test,4332.209,4329.555,4307.111
exponential_rate0p00666667_L8_p6_train,19003.06,19166.93,19244.77
exponential_rate0p00666667_L8_p6_test,19159.083,19223.369,19364.274
exponential_rate0p008_L8_p6_train,15394.18,15390.54,15477.71
exponential_rate0p008_L8_p6_test,16131.129,16230.147,16128.824
exponential_rate0p0133333_L8_p6_train,9592.45,9597.54,9679.71
exponential_rate0p0133333_L8_p6_test,9639.109,9717.627,9617.339
exponential_rate0p01_L8_p6_train,13037.72,12962.83,13040.1
exponential_rate0p01_L8_p6_test,12764.554,12641.303,12648.966
exponential_rate0p02_L8_p6_train,6167.27,6176.93,6179.62
exponential_rate0p02_L8_p6_test,6403.355,6431.24,6431.527
gamma_k0p25_th200_L8_p6_train,10954.39,10947.84,10952.8
gamma_k0p25_th200_L8_p6_test,10700.023,10717.026,10750.185
gamma_k0p5625_th133p333_L8_p6_train,12345.5,12366.05,12413.65
gamma_k0p5625_th133p333_L8_p6_test,12202.859,12223.86,12289.026
gamma_k100_th1_L8_p6_train,1454.28,1442.55,1493.23
gamma_k100_th1_L8_p6_test,1421.485,1413.877,1478.154
gamma_k11p1111_th9_L8_p6_train,4093.75,4076.57,4079.54
gamma_k11p1111_th9_L8_p6_test,4191.224,4148.083,4123.133
gamma_k14p0625_th5p33333_L8_p6_train,2712.08,2713.97,2758.21
gamma_k14p0625_th5p33333_L8_p6_test,2759.76,2759.003,2738.811
gamma_k156p25_th0p8_L8_p6_train,1422.32,1387.15,1387.15
gamma_k156p25_th0p8_L8_p6_test,1438.459,1409.517,1409.517
gamma_k17p3611_th7p2_L8_p6_train,4251.56,4221.42,4152.41
gamma_k17p3611_th7p2_L8_p6_test,4210.21,4214.671,4122.603
gamma_k1_th100_L8_p6_train,12411.53,12392.99,12444.76
gamma_k1_th100_L8_p6_test,12644.916,12632.127,12686.671
gamma_k1_th50_L8_p6_train,6413.76,6366.72,6387.26
gamma_k1_th50_L8_p6_test,6295.22,6229.828,6256.04
gamma_k1p5625_th80_L8_p6_train,12926.55,12905.07,12904.83
gamma_k1p5625_th80_L8_p6_test,13015.772,13036.191,13084.543
gamma_k225_th0p666667_L8_p6_train,1448.26,1592.23,1481.1
gamma_k225_th0p666667_L8_p6_test,1391.767,1565.621,1424.118
gamma_k25_th2_L8_p6_train,1413.44,1394.71,1375.26
gamma_k25_th2_L8_p6_test,1399.451,1383.824,1379.822
gamma_k25_th4_L8_p6_train,2762.83,2742.33,2695.98
gamma_k25_th4_L8_p6_test,2835.881,2790.27,2756.333
gamma_k25_th6_L8_p6_train,4181.07,4170.74,4186.32
gamma_k25_th6_L8_p6_test,4189.818,4180.599,4168.676
gamma_k2p25_th33p3333_L8_p6_train,6595.84,6576.56,6605.75
gamma_k2p25_th33p3333_L8_p6_test,6597.638,6579.12,6606.46
gamma_k2p25_th66p6667_L8_p6_train,13054.3,12974.66,13002.46
gamma_k2p25_th66p6667_L8_p6_test,13261.256,13231.703,13265.53
gamma_k2p77778_th18_L8_p6_train,3971.79,3960.71,3940.11
gamma_k2p77778_th18_L8_p6_test,4058.831,4035.418,4076.052
