dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
cunif_a23p0385_b126p962_L6_p2_test,2292.781,2292.936,2294.032
cunif_a32p6795_b67p3205_L6_p2_train,765.28,764.53,768.46
cunif_a32p6795_b67p3205_L6_p2_test,768.82,767.524,773.896
cunif_a38p3975_b211p603_L6_p2_train,3749.98,3746.49,3748.33
cunif_a38p3975_b211p603_L6_p2_test,3834.861,3836.458,3842.3
cunif_a40p359_b109p641_L6_p2_train,1561.34,1555.61,1553.41
cunif_a40p359_b109p641_L6_p2_test,1545.903,1547.067,1545.693
cunif_a48p0385_b151p962_L6_p2_train,2273.98,2275.71,2301.23
cunif_a48p0385_b151p962_L6_p2_test,2310.346,2325.748,2310.518
cunif_a57p6795_b92p3205_L6_p2_train,774.29,772.57,774.49
cunif_a57p6795_b92p3205_L6_p2_test,769.918,767.67,770.951
cunif_a63p3975_b236p603_L6_p2_train,3796.5,3798.54,3793.43
cunif_a63p3975_b236p603_L6_p2_test,3799.211,3804.849,3800.2
cunif_a65p359_b134p641_L6_p2_train,1562.02,1562.83,1576.03
cunif_a65p359_b134p641_L6_p2_test,1546.217,1548.66,1551.595
cunif_a73p0385_b176p962_L6_p2_train,2303.69,2307.67,2329.19
cunif_a73p0385_b176p962_L6_p2_test,2308.247,2309.602,2322.308
cunif_a82p6795_b117p321_L6_p2_train,776.0,776.73,767.74
cunif_a82p6795_b117p321_L6_p2_test,770.803,770.132,764.158
cunif_a90p359_b159p641_L6_p2_train,1546.33,1527.04,1511.06
cunif_a90p359_b159p641_L6_p2_test,1568.558,1546.568,1538.06
cunif_a98p0385_b201p962_L6_p2_train,2299.25,2305.49,2303.75
cunif_a98p0385_b201p962_L6_p2_test,2310.057,2316.968,2315.466
dunif_L0_H100_L6_p2_train,2222.73,2222.86,2224.71
dunif_L0_H100_L6_p2_test,2233.912,2237.324,2235.861
dunif_L0_H150_L6_p2_train,3349.49,3349.37,3353.68
dunif_L0_H150_L6_p2_test,3334.214,3333.996,3334.046
dunif_L0_H200_L6_p2_train,4355.68,4348.45,4368.67
dunif_L0_H200_L6_p2_test,4468.874,4474.822,4486.571
dunif_L0_H250_L6_p2_train,5578.7,5576.32,5584.87
dunif_L0_H250_L6_p2_test,5556.108,5585.263,5581.169
dunif_L0_H300_L6_p2_train,6550.6,6535.25,6585.03
dunif_L0_H300_L6_p2_test,6671.016,6674.385,6678.707
dunif_L108_H142_L6_p2_train,798.4,796.25,796.46
dunif_L108_H142_L6_p2_test,781.822,790.235,789.809
dunif_L116_H184_L6_p2_train,1517.17,1509.44,1661.72
dunif_L116_H184_L6_p2_test,1556.902,1552.824,1702.634
dunif_L133_H167_L6_p2_train,785.69,781.96,772.6
dunif_L133_H167_L6_p2_test,783.225,798.086,782.138
dunif_L14_H186_L6_p2_train,4002.88,3989.64,3991.88
dunif_L14_H186_L6_p2_test,3869.794,3854.694,3836.902
dunif_L16_H84_L6_p2_train,1558.75,1556.76,1578.31
dunif_L16_H84_L6_p2_test,1531.014,1537.488,1570.369
dunif_L24_H126_L6_p2_train,2287.41,2281.82,2289.87
dunif_L24_H126_L6_p2_test,2285.516,2280.159,2277.786
dunif_L33_H67_L6_p2_train,753.86,755.4,759.64
dunif_L33_H67_L6_p2_test,778.141,778.923,782.316
dunif_L39_H211_L6_p2_train,3894.53,3881.76,3871.84
dunif_L39_H211_L6_p2_test,3845.842,3853.198,3837.794
dunif_L41_H109_L6_p2_train,1533.76,1535.75,1529.57
dunif_L41_H109_L6_p2_test,1527.285,1527.763,1526.251
dunif_L49_H151_L6_p2_train,2365.71,2370.13,2366.37
dunif_L49_H151_L6_p2_test,2303.42,2300.408,2295.978
dunif_L58_H92_L6_p2_train,818.72,799.69,795.33
dunif_L58_H92_L6_p2_test,806.141,778.278,780.827
dunif_L64_H236_L6_p2_train,3841.46,3844.57,3845.6
dunif_L64_H236_L6_p2_test,3875.19,3871.521,3881.634
dunif_L66_H134_L6_p2_train,1501.82,1501.31,1509.06
dunif_L66_H134_L6_p2_test,1530.101,1530.451,1525.002
dunif_L74_H176_L6_p2_train,2416.35,2409.72,2401.8
dunif_L74_H176_L6_p2_test,2299.816,2287.961,2302.209
dunif_L83_H117_L6_p2_train,792.65,795.38,790.21
dunif_L83_H117_L6_p2_test,780.221,779.897,778.874
dunif_L91_H159_L6_p2_train,1528.17,1526.04,1535.25
dunif_L91_H159_L6_p2_test,1538.382,1530.404,1539.453
dunif_L99_H201_L6_p2_train,2308.75,2303.4,2333.23
dunif_L99_H201_L6_p2_test,2304.89,2306.818,2305.416
exponential_rate0p00666667_L6_p2_train,9270.18,9263.82,9302.46
exponential_rate0p00666667_L6_p2_test,9295.794,9274.722,9293.289
exponential_rate0p008_L6_p2_train,7639.74,7642.03,7658.66
exponential_rate0p008_L6_p2_test,7783.013,7762.941,7812.28
exponential_rate0p0133333_L6_p2_train,4704.37,4695.64,4722.42
exponential_rate0p0133333_L6_p2_test,4669.482,4680.511,4672.782
exponential_rate0p01_L6_p2_train,6249.68,6251.19,6259.17
exponential_rate0p01_L6_p2_test,6137.436,6129.843,6141.491
exponential_rate0p02_L6_p2_train,3021.11,3022.06,3022.06
exponential_rate0p02_L6_p2_test,3095.534,3097.661,3097.661
gamma_k0p25_th200_L6_p2_train,4578.48,4577.47,4582.82
gamma_k0p25_th200_L6_p2_test,4514.304,4514.913,4516.705
gamma_k0p5625_th133p333_L6_p2_train,5683.83,5679.89,5688.16
gamma_k0p5625_th133p333_L6_p2_test,5666.399,5669.511,5675.226
gamma_k100_th1_L6_p2_train,766.12,766.81,759.93
gamma_k100_th1_L6_p2_test,749.406,754.365,742.309
gamma_k11p1111_th9_L6_p2_train,2119.18,2118.69,2145.21
gamma_k11p1111_th9_L6_p2_test,2172.342,2173.512,2175.039
gamma_k14p0625_th5p33333_L6_p2_train,1427.86,1428.27,1432.27
gamma_k14p0625_th5p33333_L6_p2_test,1442.9,1443.891,1448.852
gamma_k156p25_th0p8_L6_p2_train,726.49,731.66,731.66
gamma_k156p25_th0p8_L6_p2_test,739.519,747.336,747.336
gamma_k17p3611_th7p2_L6_p2_train,2184.88,2183.54,2200.31
gamma_k17p3611_th7p2_L6_p2_test,2188.518,2188.008,2207.487
gamma_k1_th100_L6_p2_train,6117.78,6108.14,6118.39
gamma_k1_th100_L6_p2_test,6164.752,6152.685,6164.029
gamma_k1_th50_L6_p2_train,3069.38,3069.77,3074.54
gamma_k1_th50_L6_p2_test,3050.75,3052.315,3055.866
gamma_k1p5625_th80_L6_p2_train,6423.34,6423.46,6443.66
gamma_k1p5625_th80_L6_p2_test,6488.716,6476.603,6500.391
gamma_k225_th0p666667_L6_p2_train,766.64,766.64,779.67
gamma_k225_th0p666667_L6_p2_test,745.701,745.701,746.937
gamma_k25_th2_L6_p2_train,735.64,734.65,729.48
gamma_k25_th2_L6_p2_test,731.057,733.728,726.318
gamma_k25_th4_L6_p2_train,1428.04,1432.16,1438.59
gamma_k25_th4_L6_p2_test,1461.612,1465.472,1480.288
gamma_k25_th6_L6_p2_train,2196.87,2197.19,2206.91
gamma_k25_th6_L6_p2_test,2195.812,2201.938,2194.036
gamma_k2p25_th33p3333_L6_p2_train,3359.04,3359.48,3365.52
gamma_k2p25_th33p3333_L6_p2_test,3324.8,3323.646,3333.671
gamma_k2p25_th66p6667_L6_p2_train,6751.66,6704.38,6707.48
gamma_k2p25_th66p6667_L6_p2_test,6688.48,6663.704,6678.393
gamma_k2p77778_th18_L6_p2_train,1972.09,1975.85,1986.79
gamma_k2p77778_th18_L6_p2_test,2048.129,2049.222,2051.249
gamma_k39p0625_th3p2_L6_p2_train,1516.71,1488.3,1490.18
gamma_k39p0625_th3p2_L6_p2_test,1481.211,1469.089,1460.683
gamma_k4_th25_L6_p2_train,3545.96,3540.51,3546.02
gamma_k4_th25_L6_p2_test,3471.713,3492.69,3492.816
gamma_k56p25_th1p33333_L6_p2_train,735.73,736.31,740.19
gamma_k56p25_th1p33333_L6_p2_test,739.881,739.655,747.08
gamma_k56p25_th2p66667_L6_p2_train,1458.77,1444.23,1445.56
gamma_k56p25_th2p66667_L6_p2_test,1483.005,1475.359,1488.112
gamma_k6p25_th12_L6_p2_train,2167.17,2156.65,2177.36
gamma_k6p25_th12_L6_p2_test,2133.638,2124.269,2133.397
gamma_k6p25_th20_L6_p2_train,3548.36,3549.54,3553.83
gamma_k6p25_th20_L6_p2_test,3536.086,3541.593,3533.112
