dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L8_p10_train,15587.95,15576.18,15707.48
beta_a0p125_b1p125_M500_L8_p10_test,16324.222,16310.299,16461.921
beta_a0p328125_b1p85938_M500_L8_p10_train,16577.86,16533.99,16608.11
beta_a0p328125_b1p85938_M500_L8_p10_test,17392.114,17362.127,17398.25
beta_a0p6_b2p4_M500_L8_p10_train,17384.03,17393.83,17461.56
beta_a0p6_b2p4_M500_L8_p10_test,17717.878,17785.414,17916.151
beta_a0p8_b7p2_M500_L8_p10_train,8353.54,8344.52,8424.71
beta_a0p8_b7p2_M500_L8_p10_test,8474.752,8481.541,8518.581
beta_a0p921875_b2p76562_M500_L8_p10_train,17042.5,16870.45,16649.95
beta_a0p921875_b2p76562_M500_L8_p10_test,17741.858,17536.519,17626.211
beta_a116p938_b350p812_M500_L8_p10_train,1852.27,1916.61,2003.56
beta_a116p938_b350p812_M500_L8_p10_test,1856.126,1901.718,2015.041
beta_a11p8031_b66p8844_M500_L8_p10_train,3731.99,3682.79,3519.82
beta_a11p8031_b66p8844_M500_L8_p10_test,3601.408,3581.855,3500.551
beta_a12p7708_b38p3125_M500_L8_p10_train,5394.44,5320.92,5223.8
beta_a12p7708_b38p3125_M500_L8_p10_test,5554.302,5437.147,5190.85
beta_a157p2_b366p8_M500_L8_p10_train,1921.29,1866.8,1886.43
beta_a157p2_b366p8_M500_L8_p10_test,1934.22,1898.848,1907.661
beta_a17p2_b40p1333_M500_L8_p10_train,5519.31,5523.95,5329.11
beta_a17p2_b40p1333_M500_L8_p10_test,5476.248,5472.843,5319.255
beta_a19p8_b79p2_M500_L8_p10_train,3777.3,3717.38,3864.78
beta_a19p8_b79p2_M500_L8_p10_test,3644.466,3611.975,3798.758
beta_a1p275_b2p975_M500_L8_p10_train,18680.5,18442.92,18221.6
beta_a1p275_b2p975_M500_L8_p10_test,17955.755,17768.727,17733.697
beta_a1p7625_b9p9875_M500_L8_p10_train,8671.93,8644.02,8547.52
beta_a1p7625_b9p9875_M500_L8_p10_test,8848.005,8809.166,8689.052
beta_a22p4_b201p6_M500_L8_p10_train,1862.54,1852.55,1825.22
beta_a22p4_b201p6_M500_L8_p10_test,1814.69,1800.267,1782.681
beta_a29p0469_b87p1406_M500_L8_p10_train,3587.06,3575.69,3566.45
beta_a29p0469_b87p1406_M500_L8_p10_test,3763.455,3700.155,3576.774
beta_a2p4_b21p6_M500_L8_p10_train,5194.56,5183.42,5209.97
beta_a2p4_b21p6_M500_L8_p10_test,5210.689,5186.235,5161.871
beta_a39p075_b91p175_M500_L8_p10_train,3695.08,3600.26,3533.73
beta_a39p075_b91p175_M500_L8_p10_test,3797.097,3684.113,3532.489
beta_a3_b12_M500_L8_p10_train,9049.19,8982.5,8878.14
beta_a3_b12_M500_L8_p10_test,8989.916,8914.355,8801.497
beta_a47p6625_b270p087_M500_L8_p10_train,1807.61,1769.5,1730.02
beta_a47p6625_b270p087_M500_L8_p10_test,1852.988,1814.707,1745.714
beta_a4p4375_b13p3125_M500_L8_p10_train,8485.33,8474.09,8483.97
beta_a4p4375_b13p3125_M500_L8_p10_test,8899.273,8884.74,8744.046
beta_a5p1625_b29p2542_M500_L8_p10_train,5341.74,5331.95,5333.84
beta_a5p1625_b29p2542_M500_L8_p10_test,5280.896,5265.899,5208.633
beta_a5p525_b49p725_M500_L8_p10_train,3675.59,3642.99,3615.84
beta_a5p525_b49p725_M500_L8_p10_test,3551.469,3515.468,3499.36
beta_a6_b14_M500_L8_p10_train,8750.89,8490.59,8633.14
beta_a6_b14_M500_L8_p10_test,9184.65,8915.91,8910.674
beta_a79p8_b319p2_M500_L8_p10_train,1779.1,1799.3,1916.36
beta_a79p8_b319p2_M500_L8_p10_test,1832.876,1851.404,1927.4
beta_a8p68889_b34p7556_M500_L8_p10_train,5349.28,5324.85,5336.36
beta_a8p68889_b34p7556_M500_L8_p10_test,5423.483,5377.937,5429.128
binom_n1000000_p0p0001_L8_p10_train,1819.47,1847.21,1828.69
binom_n1000000_p0p0001_L8_p10_test,1811.123,1823.613,1819.93
binom_n1250000_p0p0001_L8_p10_train,2027.59,2112.23,2192.56
binom_n1250000_p0p0001_L8_p10_test,2030.626,2113.925,2205.299
binom_n1500000_p0p0001_L8_p10_train,2137.67,2227.8,2166.15
binom_n1500000_p0p0001_L8_p10_test,2271.233,2340.255,2294.451
binom_n450_p0p333333_L8_p10_train,1905.53,1910.13,1876.2
binom_n450_p0p333333_L8_p10_test,1884.96,1876.477,1853.989
binom_n500000_p0p0001_L8_p10_train,1245.38,1250.4,1284.02
binom_n500000_p0p0001_L8_p10_test,1268.85,1268.45,1282.021
binom_n625_p0p2_L8_p10_train,1853.73,1956.27,1806.61
binom_n625_p0p2_L8_p10_test,1832.44,1923.301,1809.883
binom_n625_p0p2_L8_p10_train,1853.73,1956.27,1806.61
binom_n625_p0p2_L8_p10_test,1832.44,1923.301,1809.883
binom_n750000_p0p0001_L8_p10_train,1547.07,1519.82,1484.21
binom_n750000_p0p0001_L8_p10_test,1610.76,1587.079,1525.268
cunif_a0_b100_L8_p10_train,5025.49,5038.18,5045.07
cunif_a0_b100_L8_p10_test,5176.603,5171.13,5164.421
binom_n750000_p0p0001_L8_p10_train,1547.07,1519.82,1484.21
binom_n750000_p0p0001_L8_p10_test,1610.76,1587.079,1525.268
cunif_a0_b150_L8_p10_train,7842.1,7799.07,7776.46
cunif_a0_b150_L8_p10_test,7933.913,7900.0,7767.579
cunif_a0_b100_L8_p10_train,5025.49,5038.18,5045.07
cunif_a0_b100_L8_p10_test,5176.603,5171.13,5164.421
cunif_a0_b200_L8_p10_train,10704.71,10519.29,10516.17
cunif_a0_b200_L8_p10_test,10482.309,10413.164,10276.388
cunif_a0_b250_L8_p10_train,12777.94,12675.81,12628.67
cunif_a0_b250_L8_p10_test,13065.344,12997.828,12884.035
cunif_a0_b300_L8_p10_train,15514.31,15298.89,15531.79
cunif_a0_b300_L8_p10_test,15943.987,15609.645,15609.701
cunif_a0_b150_L8_p10_train,7842.1,7799.07,7776.46
cunif_a0_b150_L8_p10_test,7933.913,7900.0,7767.579
cunif_a107p679_b142p321_L8_p10_train,1829.04,1927.66,2044.03
cunif_a107p679_b142p321_L8_p10_test,1860.234,1945.712,2039.299
cunif_a115p359_b184p641_L8_p10_train,3725.97,3739.33,3601.23
cunif_a115p359_b184p641_L8_p10_test,3748.999,3741.315,3640.335
cunif_a0_b200_L8_p10_train,10704.71,10519.29,10516.17
cunif_a0_b200_L8_p10_test,10482.309,10413.164,10276.388
cunif_a132p679_b167p321_L8_p10_train,1979.26,1943.8,1807.24
cunif_a132p679_b167p321_L8_p10_test,1957.412,1938.79,1820.274
cunif_a13p3975_b186p603_L8_p10_train,9271.3,9135.31,9068.15
cunif_a13p3975_b186p603_L8_p10_test,9166.532,9044.029,9036.685
cunif_a15p359_b84p641_L8_p10_train,3575.8,3556.04,3550.7
cunif_a15p359_b84p641_L8_p10_test,3671.727,3641.064,3596.931
cunif_a0_b250_L8_p10_train,12777.94,12675.81,12628.67
cunif_a0_b250_L8_p10_test,13065.344,12997.828,12884.035
cunif_a23p0385_b126p962_L8_p10_train,5502.7,5519.72,5391.72
cunif_a23p0385_b126p962_L8_p10_test,5415.889,5440.201,5307.909
cunif_a0_b300_L8_p10_train,15514.31,15298.89,15531.79
cunif_a0_b300_L8_p10_test,15943.987,15609.645,15609.701
cunif_a32p6795_b67p3205_L8_p10_train,1825.55,1813.27,1829.69
cunif_a32p6795_b67p3205_L8_p10_test,1829.158,1804.478,1803.379
cunif_a38p3975_b211p603_L8_p10_train,8689.31,8827.03,8628.87
cunif_a38p3975_b211p603_L8_p10_test,9222.75,9270.709,8989.881
cunif_a107p679_b142p321_L8_p10_train,1829.04,1927.66,2044.03
cunif_a107p679_b142p321_L8_p10_test,1860.234,1945.712,2039.299
cunif_a40p359_b109p641_L8_p10_train,3738.2,3710.09,3655.86
cunif_a40p359_b109p641_L8_p10_test,3707.477,3662.864,3559.284
cunif_a48p0385_b151p962_L8_p10_train,5286.15,5307.98,5335.68
cunif_a48p0385_b151p962_L8_p10_test,5464.904,5496.618,5411.166
cunif_a57p6795_b92p3205_L8_p10_train,1871.68,1897.02,1797.51
cunif_a57p6795_b92p3205_L8_p10_test,1845.072,1874.671,1796.531
cunif_a63p3975_b236p603_L8_p10_train,9316.47,8992.72,8730.92
cunif_a63p3975_b236p603_L8_p10_test,9319.678,8998.122,8894.069
cunif_a65p359_b134p641_L8_p10_train,3697.84,3715.38,3633.73
cunif_a65p359_b134p641_L8_p10_test,3684.112,3661.003,3569.766
cunif_a73p0385_b176p962_L8_p10_train,5491.99,5457.46,5264.92
cunif_a73p0385_b176p962_L8_p10_test,5561.571,5580.308,5379.589
cunif_a82p6795_b117p321_L8_p10_train,1843.17,1835.94,1919.96
cunif_a82p6795_b117p321_L8_p10_test,1850.496,1844.011,1915.279
cunif_a90p359_b159p641_L8_p10_train,3668.55,3688.99,3573.2
cunif_a90p359_b159p641_L8_p10_test,3799.22,3866.972,3602.306
cunif_a115p359_b184p641_L8_p10_train,3725.97,3739.33,3601.23
cunif_a115p359_b184p641_L8_p10_test,3748.999,3741.315,3640.335
cunif_a98p0385_b201p962_L8_p10_train,5505.63,5481.61,5356.63
cunif_a98p0385_b201p962_L8_p10_test,5612.459,5536.965,5400.89
dunif_L0_H100_L8_p10_train,5249.53,5236.76,5121.24
dunif_L0_H100_L8_p10_test,5259.896,5250.274,5193.191
dunif_L0_H150_L8_p10_train,7818.42,7834.03,7725.84
dunif_L0_H150_L8_p10_test,7799.506,7867.337,7745.352
dunif_L0_H200_L8_p10_train,10304.02,10280.63,10011.73
dunif_L0_H200_L8_p10_test,10532.45,10424.662,10312.651
dunif_L0_H250_L8_p10_train,13023.23,13022.19,13140.21
dunif_L0_H250_L8_p10_test,13219.762,13250.79,13338.602
dunif_L0_H300_L8_p10_train,15607.43,15310.2,15447.95
dunif_L0_H300_L8_p10_test,15913.551,15617.688,15461.527
dunif_L108_H142_L8_p10_train,1989.26,2033.81,2110.14
dunif_L108_H142_L8_p10_test,1889.601,1923.529,2062.004
dunif_L116_H184_L8_p10_train,3676.57,3714.24,3842.54
dunif_L116_H184_L8_p10_test,3725.568,3804.704,3792.9
cunif_a132p679_b167p321_L8_p10_train,1979.26,1943.8,1807.24
cunif_a132p679_b167p321_L8_p10_test,1957.412,1938.79,1820.274
dunif_L133_H167_L8_p10_train,1931.19,1931.19,1827.29
dunif_L133_H167_L8_p10_test,1994.019,1994.019,1855.076
dunif_L14_H186_L8_p10_train,9490.28,9384.6,9222.19
dunif_L14_H186_L8_p10_test,9199.968,9066.602,9035.912
dunif_L16_H84_L8_p10_train,3677.82,3654.2,3631.17
dunif_L16_H84_L8_p10_test,3634.746,3606.196,3539.379
dunif_L24_H126_L8_p10_train,5332.41,5341.85,5346.04
dunif_L24_H126_L8_p10_test,5392.55,5387.838,5295.65
dunif_L33_H67_L8_p10_train,1865.3,1807.99,1811.28
dunif_L33_H67_L8_p10_test,1897.745,1852.304,1826.852
dunif_L39_H211_L8_p10_train,9173.86,9185.31,8857.68
dunif_L39_H211_L8_p10_test,9114.21,9140.175,8915.154
dunif_L41_H109_L8_p10_train,3696.34,3687.52,3574.36
dunif_L41_H109_L8_p10_test,3644.699,3652.128,3554.457
dunif_L49_H151_L8_p10_train,5656.23,5653.6,5713.73
dunif_L49_H151_L8_p10_test,5473.176,5435.121,5488.668
dunif_L58_H92_L8_p10_train,2009.69,1974.93,1858.32
dunif_L58_H92_L8_p10_test,1892.753,1925.797,1812.545
cunif_a13p3975_b186p603_L8_p10_train,9271.3,9135.31,9068.15
cunif_a13p3975_b186p603_L8_p10_test,9166.532,9044.029,9036.685
dunif_L64_H236_L8_p10_train,9512.96,9122.2,9090.22
dunif_L64_H236_L8_p10_test,9482.787,9195.391,9036.293
dunif_L66_H134_L8_p10_train,3668.09,3626.34,3523.66
dunif_L66_H134_L8_p10_test,3722.989,3674.834,3569.481
dunif_L74_H176_L8_p10_train,5877.49,5819.46,5513.74
