dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L8_p2_train,4590.91,4591.21,4591.33
beta_a0p125_b1p125_M500_L8_p2_test,4780.587,4780.547,4780.898
beta_a0p328125_b1p85938_M500_L8_p2_train,5847.2,5847.14,5848.51
beta_a0p328125_b1p85938_M500_L8_p2_test,6145.435,6141.716,6149.082
beta_a0p6_b2p4_M500_L8_p2_train,6709.92,6705.14,6731.86
beta_a0p6_b2p4_M500_L8_p2_test,6692.875,6710.359,6698.976
beta_a0p8_b7p2_M500_L8_p2_train,3158.2,3157.31,3159.52
beta_a0p8_b7p2_M500_L8_p2_test,3161.084,3159.153,3161.953
beta_a0p921875_b2p76562_M500_L8_p2_train,6847.57,6849.32,6876.81
beta_a0p921875_b2p76562_M500_L8_p2_test,6987.361,6989.483,6992.368
beta_a116p938_b350p812_M500_L8_p2_train,761.44,755.48,750.6
beta_a116p938_b350p812_M500_L8_p2_test,761.234,760.733,754.649
beta_a11p8031_b66p8844_M500_L8_p2_train,1468.18,1467.57,1471.07
beta_a11p8031_b66p8844_M500_L8_p2_test,1461.102,1463.629,1467.988
beta_a12p7708_b38p3125_M500_L8_p2_train,2199.56,2203.86,2235.61
beta_a12p7708_b38p3125_M500_L8_p2_test,2206.574,2208.194,2225.096
beta_a157p2_b366p8_M500_L8_p2_train,841.98,762.27,762.89
beta_a157p2_b366p8_M500_L8_p2_test,830.202,777.271,770.1
beta_a17p2_b40p1333_M500_L8_p2_train,2230.63,2231.46,2226.7
beta_a17p2_b40p1333_M500_L8_p2_test,2246.753,2247.012,2239.867
beta_a19p8_b79p2_M500_L8_p2_train,1523.29,1517.02,1529.64
beta_a19p8_b79p2_M500_L8_p2_test,1500.57,1477.426,1488.4
beta_a1p275_b2p975_M500_L8_p2_train,7370.0,7355.3,7365.19
beta_a1p275_b2p975_M500_L8_p2_test,7208.973,7192.585,7205.13
beta_a1p7625_b9p9875_M500_L8_p2_train,3394.37,3388.52,3393.16
beta_a1p7625_b9p9875_M500_L8_p2_test,3447.689,3445.578,3454.659
beta_a22p4_b201p6_M500_L8_p2_train,747.08,747.14,750.41
beta_a22p4_b201p6_M500_L8_p2_test,735.948,737.136,741.849
beta_a29p0469_b87p1406_M500_L8_p2_train,1476.04,1471.62,1478.85
beta_a29p0469_b87p1406_M500_L8_p2_test,1493.6,1490.367,1494.536
beta_a2p4_b21p6_M500_L8_p2_train,2092.95,2091.87,2092.98
beta_a2p4_b21p6_M500_L8_p2_test,2056.439,2056.461,2058.85
beta_a39p075_b91p175_M500_L8_p2_train,1486.84,1487.62,1646.92
beta_a39p075_b91p175_M500_L8_p2_test,1490.032,1494.765,1614.724
beta_a3_b12_M500_L8_p2_train,3599.78,3600.2,3595.61
beta_a3_b12_M500_L8_p2_test,3595.901,3596.766,3599.529
beta_a47p6625_b270p087_M500_L8_p2_train,728.38,729.61,732.69
beta_a47p6625_b270p087_M500_L8_p2_test,743.987,744.525,747.884
beta_a4p4375_b13p3125_M500_L8_p2_train,3580.79,3581.81,3583.62
beta_a4p4375_b13p3125_M500_L8_p2_test,3633.565,3634.315,3635.143
beta_a5p1625_b29p2542_M500_L8_p2_train,2170.81,2171.91,2180.13
beta_a5p1625_b29p2542_M500_L8_p2_test,2141.628,2143.107,2147.798
beta_a5p525_b49p725_M500_L8_p2_train,1477.88,1476.86,1481.91
beta_a5p525_b49p725_M500_L8_p2_test,1426.113,1425.923,1429.724
beta_a6_b14_M500_L8_p2_train,3622.02,3623.75,3634.32
beta_a6_b14_M500_L8_p2_test,3684.41,3682.914,3688.625
beta_a79p8_b319p2_M500_L8_p2_train,743.45,740.15,742.57
beta_a79p8_b319p2_M500_L8_p2_test,757.233,757.318,761.378
beta_a8p68889_b34p7556_M500_L8_p2_train,2178.12,2179.39,2181.05
beta_a8p68889_b34p7556_M500_L8_p2_test,2204.583,2204.181,2208.43
binom_n1000000_p0p0001_L8_p2_train,764.13,761.05,752.07
binom_n1000000_p0p0001_L8_p2_test,759.753,753.345,743.901
binom_n1250000_p0p0001_L8_p2_train,832.05,834.79,830.84
binom_n1250000_p0p0001_L8_p2_test,840.591,843.514,841.68
binom_n1500000_p0p0001_L8_p2_train,1035.73,901.12,901.12
binom_n1500000_p0p0001_L8_p2_test,1073.049,920.096,920.096
binom_n450_p0p333333_L8_p2_train,825.47,758.43,764.27
binom_n450_p0p333333_L8_p2_test,811.854,753.404,754.677
binom_n500000_p0p0001_L8_p2_train,527.28,527.54,533.44
binom_n500000_p0p0001_L8_p2_test,527.536,528.382,530.341
binom_n625_p0p2_L8_p2_train,757.14,759.85,761.37
binom_n625_p0p2_L8_p2_test,754.346,757.894,754.837
binom_n750000_p0p0001_L8_p2_train,634.81,633.73,636.68
binom_n750000_p0p0001_L8_p2_test,646.814,647.384,648.296
cunif_a0_b100_L8_p2_train,2195.75,2184.36,2198.14
cunif_a0_b100_L8_p2_test,2215.064,2216.021,2220.166
cunif_a0_b150_L8_p2_train,3302.5,3297.42,3307.71
cunif_a0_b150_L8_p2_test,3361.662,3369.886,3390.291
cunif_a0_b200_L8_p2_train,4427.92,4424.77,4473.52
cunif_a0_b200_L8_p2_test,4425.421,4448.264,4457.118
cunif_a0_b250_L8_p2_train,5466.81,5469.64,5465.97
cunif_a0_b250_L8_p2_test,5530.934,5534.155,5548.43
cunif_a0_b300_L8_p2_train,6687.11,6659.95,6666.44
cunif_a0_b300_L8_p2_test,6706.856,6685.634,6679.398
cunif_a107p679_b142p321_L8_p2_train,764.79,765.31,765.31
cunif_a107p679_b142p321_L8_p2_test,787.921,786.737,786.737
cunif_a115p359_b184p641_L8_p2_train,1567.81,1551.69,1600.21
cunif_a115p359_b184p641_L8_p2_test,1547.848,1544.679,1589.493
cunif_a132p679_b167p321_L8_p2_train,774.95,777.58,830.45
cunif_a132p679_b167p321_L8_p2_test,770.926,781.327,845.423
cunif_a13p3975_b186p603_L8_p2_train,3859.37,3865.05,3851.72
cunif_a13p3975_b186p603_L8_p2_test,3828.938,3838.632,3850.591
cunif_a15p359_b84p641_L8_p2_train,1533.73,1531.69,1535.61
cunif_a15p359_b84p641_L8_p2_test,1545.421,1542.083,1550.417
cunif_a23p0385_b126p962_L8_p2_train,2310.87,2313.01,2320.75
cunif_a23p0385_b126p962_L8_p2_test,2298.107,2299.847,2304.941
cunif_a32p6795_b67p3205_L8_p2_train,767.04,770.61,770.61
cunif_a32p6795_b67p3205_L8_p2_test,773.419,780.256,779.753
cunif_a38p3975_b211p603_L8_p2_train,3760.03,3760.69,3769.11
cunif_a38p3975_b211p603_L8_p2_test,3847.519,3867.113,3852.153
cunif_a40p359_b109p641_L8_p2_train,1566.14,1565.34,1562.39
cunif_a40p359_b109p641_L8_p2_test,1552.465,1551.752,1556.33
cunif_a48p0385_b151p962_L8_p2_train,2274.97,2278.74,2301.23
cunif_a48p0385_b151p962_L8_p2_test,2324.628,2312.592,2310.58
cunif_a57p6795_b92p3205_L8_p2_train,773.55,772.67,776.21
cunif_a57p6795_b92p3205_L8_p2_test,768.612,767.961,772.406
cunif_a63p3975_b236p603_L8_p2_train,3813.93,3798.32,3813.0
cunif_a63p3975_b236p603_L8_p2_test,3812.082,3805.167,3822.89
cunif_a65p359_b134p641_L8_p2_train,1565.8,1565.64,1576.03
cunif_a65p359_b134p641_L8_p2_test,1546.121,1553.148,1551.595
cunif_a73p0385_b176p962_L8_p2_train,2310.42,2310.19,2321.68
cunif_a73p0385_b176p962_L8_p2_test,2310.574,2310.704,2308.697
cunif_a82p6795_b117p321_L8_p2_train,783.06,778.71,772.54
cunif_a82p6795_b117p321_L8_p2_test,777.247,773.023,768.996
cunif_a90p359_b159p641_L8_p2_train,1582.68,1529.79,1525.63
cunif_a90p359_b159p641_L8_p2_test,1603.72,1551.241,1549.845
cunif_a98p0385_b201p962_L8_p2_train,2300.72,2299.31,2310.21
cunif_a98p0385_b201p962_L8_p2_test,2310.056,2310.262,2326.279
dunif_L0_H100_L8_p2_train,2227.74,2229.2,2235.57
dunif_L0_H100_L8_p2_test,2243.913,2241.547,2242.875
dunif_L0_H150_L8_p2_train,3351.81,3350.58,3358.75
dunif_L0_H150_L8_p2_test,3346.047,3346.348,3348.204
dunif_L0_H200_L8_p2_train,4363.39,4366.44,4368.67
dunif_L0_H200_L8_p2_test,4477.113,4482.879,4486.527
dunif_L0_H250_L8_p2_train,5622.81,5614.25,5641.23
dunif_L0_H250_L8_p2_test,5579.056,5588.837,5603.404
dunif_L0_H300_L8_p2_train,6607.08,6559.6,6595.54
dunif_L0_H300_L8_p2_test,6703.245,6693.966,6699.879
dunif_L108_H142_L8_p2_train,799.54,799.13,799.76
dunif_L108_H142_L8_p2_test,785.415,783.008,784.762
dunif_L116_H184_L8_p2_train,1510.15,1509.44,1584.42
dunif_L116_H184_L8_p2_test,1558.392,1552.824,1626.728
dunif_L133_H167_L8_p2_train,781.61,781.96,833.04
dunif_L133_H167_L8_p2_test,781.6,798.086,873.672
dunif_L14_H186_L8_p2_train,4014.13,3996.45,4019.51
dunif_L14_H186_L8_p2_test,3867.959,3855.428,3873.904
dunif_L16_H84_L8_p2_train,1563.01,1560.34,1562.11
dunif_L16_H84_L8_p2_test,1543.182,1538.734,1537.441
dunif_L24_H126_L8_p2_train,2287.59,2291.21,2295.77
dunif_L24_H126_L8_p2_test,2291.224,2298.184,2292.639
dunif_L33_H67_L8_p2_train,756.3,756.58,759.64
dunif_L33_H67_L8_p2_test,779.204,779.772,782.316
dunif_L39_H211_L8_p2_train,3906.51,3898.15,3906.24
dunif_L39_H211_L8_p2_test,3861.141,3863.781,3870.305
dunif_L41_H109_L8_p2_train,1539.08,1531.24,1538.94
dunif_L41_H109_L8_p2_test,1530.815,1530.503,1537.026
dunif_L49_H151_L8_p2_train,2370.02,2367.77,2371.05
dunif_L49_H151_L8_p2_test,2307.162,2305.579,2298.886
dunif_L58_H92_L8_p2_train,802.68,801.68,798.43
dunif_L58_H92_L8_p2_test,779.665,779.693,781.813
dunif_L64_H236_L8_p2_train,3851.07,3840.78,3860.4
dunif_L64_H236_L8_p2_test,3890.39,3888.32,3898.157
dunif_L66_H134_L8_p2_train,1504.3,1507.45,1512.58
dunif_L66_H134_L8_p2_test,1537.429,1535.781,1544.29
dunif_L74_H176_L8_p2_train,2429.47,2431.09,2414.84
dunif_L74_H176_L8_p2_test,2296.215,2290.631,2302.366
dunif_L83_H117_L8_p2_train,800.74,797.52,793.32
dunif_L83_H117_L8_p2_test,785.441,782.666,782.758
dunif_L91_H159_L8_p2_train,1535.25,1538.51,1535.25
dunif_L91_H159_L8_p2_test,1539.453,1537.955,1539.453
dunif_L99_H201_L8_p2_train,2313.99,2334.35,2345.71
dunif_L99_H201_L8_p2_test,2302.47,2311.95,2315.697
exponential_rate0p00666667_L8_p2_train,9281.94,9280.73,9309.6
exponential_rate0p00666667_L8_p2_test,9306.887,9295.385,9291.946
exponential_rate0p008_L8_p2_train,7658.66,7639.25,7658.66
exponential_rate0p008_L8_p2_test,7812.409,7804.558,7812.409
exponential_rate0p0133333_L8_p2_train,4703.86,4705.46,4725.78
exponential_rate0p0133333_L8_p2_test,4683.574,4695.661,4693.445
exponential_rate0p01_L8_p2_train,6255.33,6252.79,6260.2
exponential_rate0p01_L8_p2_test,6144.715,6147.508,6159.098
exponential_rate0p02_L8_p2_train,3022.06,3022.06,3022.06
exponential_rate0p02_L8_p2_test,3097.661,3097.661,3097.661
gamma_k0p25_th200_L8_p2_train,4580.11,4576.22,4582.74
gamma_k0p25_th200_L8_p2_test,4514.874,4517.222,4516.795
gamma_k0p5625_th133p333_L8_p2_train,5686.09,5678.9,5688.16
gamma_k0p5625_th133p333_L8_p2_test,5672.461,5666.953,5675.226
gamma_k100_th1_L8_p2_train,775.14,765.49,766.81
gamma_k100_th1_L8_p2_test,754.531,750.506,754.365
gamma_k11p1111_th9_L8_p2_train,2124.33,2128.42,2145.55
gamma_k11p1111_th9_L8_p2_test,2177.462,2189.519,2183.32
gamma_k14p0625_th5p33333_L8_p2_train,1427.74,1432.77,1432.27
gamma_k14p0625_th5p33333_L8_p2_test,1446.201,1450.838,1448.852
gamma_k156p25_th0p8_L8_p2_train,728.03,731.66,731.66
gamma_k156p25_th0p8_L8_p2_test,743.047,747.336,747.336
gamma_k17p3611_th7p2_L8_p2_train,2189.37,2187.17,2200.31
gamma_k17p3611_th7p2_L8_p2_test,2190.478,2189.91,2207.487
gamma_k1_th100_L8_p2_train,6115.65,6113.9,6120.61
gamma_k1_th100_L8_p2_test,6158.035,6156.238,6170.521
gamma_k1_th50_L8_p2_train,3071.23,3070.15,3074.54
gamma_k1_th50_L8_p2_test,3053.282,3054.933,3055.866
gamma_k1p5625_th80_L8_p2_train,6435.32,6426.91,6443.66
gamma_k1p5625_th80_L8_p2_test,6500.01,6490.253,6500.391
gamma_k225_th0p666667_L8_p2_train,855.21,779.67,779.67
gamma_k225_th0p666667_L8_p2_test,805.011,746.937,746.937
gamma_k25_th2_L8_p2_train,737.53,739.09,737.36
gamma_k25_th2_L8_p2_test,733.895,732.377,735.589
gamma_k25_th4_L8_p2_train,1434.5,1432.16,1438.59
gamma_k25_th4_L8_p2_test,1469.292,1465.472,1480.288
gamma_k25_th6_L8_p2_train,2198.87,2211.28,2218.18
gamma_k25_th6_L8_p2_test,2203.861,2217.414,2215.226
gamma_k2p25_th33p3333_L8_p2_train,3362.37,3360.49,3365.52
gamma_k2p25_th33p3333_L8_p2_test,3331.498,3325.27,3333.671
gamma_k2p25_th66p6667_L8_p2_train,6729.15,6724.4,6739.77
gamma_k2p25_th66p6667_L8_p2_test,6674.622,6679.222,6684.396
gamma_k2p77778_th18_L8_p2_train,1971.9,1971.35,1985.08
gamma_k2p77778_th18_L8_p2_test,2051.362,2052.454,2056.364
gamma_k39p0625_th3p2_L8_p2_train,1542.32,1486.38,1490.18
gamma_k39p0625_th3p2_L8_p2_test,1500.67,1455.746,1460.683
gamma_k4_th25_L8_p2_train,3560.76,3564.36,3567.09
gamma_k4_th25_L8_p2_test,3484.033,3490.596,3491.679
gamma_k56p25_th1p33333_L8_p2_train,738.98,737.33,740.19
gamma_k56p25_th1p33333_L8_p2_test,743.909,741.648,747.08
gamma_k56p25_th2p66667_L8_p2_train,1451.05,1445.32,1445.32
gamma_k56p25_th2p66667_L8_p2_test,1482.476,1476.633,1476.633
gamma_k6p25_th12_L8_p2_train,2164.42,2164.44,2183.78
gamma_k6p25_th12_L8_p2_test,2134.604,2130.762,2138.874
gamma_k6p25_th20_L8_p2_train,3553.05,3553.62,3554.1
gamma_k6p25_th20_L8_p2_test,3548.4,3544.398,3549.332
gamma_k6p25_th8_L8_p2_train,1398.33,1394.34,1402.28
gamma_k6p25_th8_L8_p2_test,1423.306,1420.908,1434.068
gamma_k9_th16p6667_L8_p2_train,3517.93,3524.04,3518.81
gamma_k9_th16p6667_L8_p2_test,3594.944,3608.474,3595.711
geom_p0p00662252_L8_p2_train,9121.64,9119.16,9124.09
geom_p0p00662252_L8_p2_test,9208.891,9216.861,9218.146
geom_p0p00793651_L8_p2_train,7422.61,7409.68,7427.91
geom_p0p00793651_L8_p2_test,7729.439,7729.711,7742.736
