dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p125_b1p125_M500_L4_p10_train.json,beta_a0p125_b1p125_M500_L6_c1_2_train.json,4,1,10.0,100,50,47.1538,286,15939.02,30,15788.21
beta_a0p125_b1p125_M500_L4_p10_test.json,beta_a0p125_b1p125_M500_L6_c1_2_test.json,4,1,10.0,1000,50,49.15512,286,16278.391,30,16646.347
beta_a0p328125_b1p85938_M500_L4_p10_train.json,beta_a0p328125_b1p85938_M500_L6_c1_2_train.json,4,1,10.0,100,50,71.0408,456,16670.89,56,16950.07
beta_a0p328125_b1p85938_M500_L4_p10_test.json,beta_a0p328125_b1p85938_M500_L6_c1_2_test.json,4,1,10.0,1000,50,75.3431,456,17408.186,56,18009.232
beta_a0p6_b2p4_M500_L4_p10_train.json,beta_a0p6_b2p4_M500_L6_c1_2_train.json,4,1,10.0,100,50,101.338,636,17762.81,84,18226.83
beta_a0p6_b2p4_M500_L4_p10_test.json,beta_a0p6_b2p4_M500_L6_c1_2_test.json,4,1,10.0,1000,50,99.35242,636,17931.467,84,18466.857
beta_a0p8_b7p2_M500_L4_p10_train.json,beta_a0p8_b7p2_M500_L6_c1_2_train.json,4,1,10.0,100,50,49.6336,303,8724.37,42,8680.26
beta_a0p8_b7p2_M500_L4_p10_test.json,beta_a0p8_b7p2_M500_L6_c1_2_test.json,4,1,10.0,1000,50,49.69722,303,8688.865,42,8825.96
beta_a0p921875_b2p76562_M500_L4_p10_train.json,beta_a0p921875_b2p76562_M500_L6_c1_2_train.json,4,1,10.0,100,50,126.2936,763,17870.96,112,17592.33
beta_a0p921875_b2p76562_M500_L4_p10_test.json,beta_a0p921875_b2p76562_M500_L6_c1_2_test.json,4,1,10.0,1000,50,126.25464,763,18162.275,112,18409.136
beta_a116p938_b350p812_M500_L4_p10_train.json,beta_a116p938_b350p812_M500_L6_c1_2_train.json,4,1,10.0,100,50,125.1094,641,2895.11,124,1923.09
beta_a116p938_b350p812_M500_L4_p10_test.json,beta_a116p938_b350p812_M500_L6_c1_2_test.json,4,1,10.0,1000,50,125.02062,641,2880.015,124,1906.903
beta_a11p8031_b66p8844_M500_L4_p10_train.json,beta_a11p8031_b66p8844_M500_L6_c1_2_train.json,4,1,10.0,100,50,75.1428,405,4028.04,72,3837.17
beta_a11p8031_b66p8844_M500_L4_p10_test.json,beta_a11p8031_b66p8844_M500_L6_c1_2_test.json,4,1,10.0,1000,50,74.92098,405,4042.051,72,3747.179
beta_a12p7708_b38p3125_M500_L4_p10_train.json,beta_a12p7708_b38p3125_M500_L6_c1_2_train.json,4,1,10.0,100,50,125.5454,674,6241.4,121,5532.74
beta_a12p7708_b38p3125_M500_L4_p10_test.json,beta_a12p7708_b38p3125_M500_L6_c1_2_test.json,4,1,10.0,1000,50,124.9988,674,6146.412,121,5566.99
beta_a157p2_b366p8_M500_L4_p10_train.json,beta_a157p2_b366p8_M500_L6_c1_2_train.json,4,1,10.0,100,50,149.9176,765,3102.85,148,1923.07
beta_a157p2_b366p8_M500_L4_p10_test.json,beta_a157p2_b366p8_M500_L6_c1_2_test.json,4,1,10.0,1000,50,150.01718,765,3126.691,148,1937.708
beta_a17p2_b40p1333_M500_L4_p10_train.json,beta_a17p2_b40p1333_M500_L6_c1_2_train.json,4,1,10.0,100,50,149.8122,795,6415.55,146,5745.91
beta_a17p2_b40p1333_M500_L4_p10_test.json,beta_a17p2_b40p1333_M500_L6_c1_2_test.json,4,1,10.0,1000,50,149.94178,795,6383.221,146,5682.888
beta_a19p8_b79p2_M500_L4_p10_train.json,beta_a19p8_b79p2_M500_L6_c1_2_train.json,4,1,10.0,100,50,100.0022,531,4280.83,97,3937.37
beta_a19p8_b79p2_M500_L4_p10_test.json,beta_a19p8_b79p2_M500_L6_c1_2_test.json,4,1,10.0,1000,50,100.0442,531,4262.364,97,3750.446
beta_a1p275_b2p975_M500_L4_p10_train.json,beta_a1p275_b2p975_M500_L6_c1_2_train.json,4,1,10.0,100,50,151.078,905,18894.38,136,19304.27
beta_a1p275_b2p975_M500_L4_p10_test.json,beta_a1p275_b2p975_M500_L6_c1_2_test.json,4,1,10.0,1000,50,149.60594,905,18319.777,136,18671.272
beta_a1p7625_b9p9875_M500_L4_p10_train.json,beta_a1p7625_b9p9875_M500_L6_c1_2_train.json,4,1,10.0,100,50,75.8172,446,8947.48,68,8932.46
beta_a1p7625_b9p9875_M500_L4_p10_test.json,beta_a1p7625_b9p9875_M500_L6_c1_2_test.json,4,1,10.0,1000,50,74.79722,446,9092.831,68,9190.712
beta_a22p4_b201p6_M500_L4_p10_train.json,beta_a22p4_b201p6_M500_L6_c1_2_train.json,4,1,10.0,100,50,50.1474,267,2215.4,49,1932.76
beta_a22p4_b201p6_M500_L4_p10_test.json,beta_a22p4_b201p6_M500_L6_c1_2_test.json,4,1,10.0,1000,50,50.02578,267,2148.496,49,1906.582
beta_a29p0469_b87p1406_M500_L4_p10_train.json,beta_a29p0469_b87p1406_M500_L6_c1_2_train.json,4,1,10.0,100,50,124.5836,652,4444.03,122,3687.47
beta_a29p0469_b87p1406_M500_L4_p10_test.json,beta_a29p0469_b87p1406_M500_L6_c1_2_test.json,4,1,10.0,1000,50,125.19174,652,4541.483,122,3778.921
beta_a2p4_b21p6_M500_L4_p10_train.json,beta_a2p4_b21p6_M500_L6_c1_2_train.json,4,1,10.0,100,50,49.7432,289,5506.95,45,5350.41
beta_a2p4_b21p6_M500_L4_p10_test.json,beta_a2p4_b21p6_M500_L6_c1_2_test.json,4,1,10.0,1000,50,49.96956,289,5382.952,45,5401.072
beta_a39p075_b91p175_M500_L4_p10_train.json,beta_a39p075_b91p175_M500_L6_c1_2_train.json,4,1,10.0,100,50,149.7412,781,4663.34,147,3791.03
beta_a39p075_b91p175_M500_L4_p10_test.json,beta_a39p075_b91p175_M500_L6_c1_2_test.json,4,1,10.0,1000,50,150.09768,781,4765.15,147,3753.57
