dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b2_M50_L4_p6_train.json,beta_a0p5_b2_M50_L6_c1_2_train.json,4,1,6.0,100,50,10.2636,54,1497.38,8,1462.77
beta_a0p5_b2_M50_L4_p6_test.json,beta_a0p5_b2_M50_L6_c1_2_test.json,4,1,6.0,1000,50,10.06854,54,1532.352,8,1509.208
beta_a0p5_b5_M100_L4_p6_train.json,beta_a0p5_b5_M100_L6_c1_2_train.json,4,1,6.0,100,50,8.8364,43,1498.53,6,1416.76
beta_a0p5_b5_M100_L4_p6_test.json,beta_a0p5_b5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,9.17588,43,1524.333,6,1468.394
beta_a0p5_b5_M200_L4_p6_train.json,beta_a0p5_b5_M200_L6_c1_2_train.json,4,1,6.0,100,50,18.2574,86,3048.4,12,2944.69
beta_a0p5_b5_M200_L4_p6_test.json,beta_a0p5_b5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,18.151,86,3006.751,12,2921.232
beta_a0p5_b5_M20_L4_p6_train.json,beta_a0p5_b5_M20_L6_c1_2_train.json,4,1,6.0,100,50,1.812,9,310.84,1,312.56
beta_a0p5_b5_M20_L4_p6_test.json,beta_a0p5_b5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,1.79332,9,307.816,1,310.865
beta_a0p5_b5_M500_L4_p6_train.json,beta_a0p5_b5_M500_L6_c1_2_train.json,4,1,6.0,100,50,45.5204,220,7469.01,31,7383.52
beta_a0p5_b5_M500_L4_p6_test.json,beta_a0p5_b5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,45.2272,220,7520.983,31,7237.743
beta_a0p5_b5_M50_L4_p6_train.json,beta_a0p5_b5_M50_L6_c1_2_train.json,4,1,6.0,100,50,4.474,22,752.56,3,723.4
beta_a0p5_b5_M50_L4_p6_test.json,beta_a0p5_b5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,4.51058,22,755.02,3,726.518
beta_a10_b0p5_M100_L4_p6_train.json,beta_a10_b0p5_M100_L6_c1_2_train.json,4,1,6.0,100,50,95.1946,484,1712.5,94,1002.2
beta_a10_b0p5_M100_L4_p6_test.json,beta_a10_b0p5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,95.2207,484,1699.973,94,959.756
beta_a10_b0p5_M200_L4_p6_train.json,beta_a10_b0p5_M200_L6_c1_2_train.json,4,1,6.0,100,50,190.532,968,3392.44,188,1871.41
beta_a10_b0p5_M200_L4_p6_test.json,beta_a10_b0p5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,190.49128,968,3395.661,188,1926.518
beta_a10_b0p5_M20_L4_p6_train.json,beta_a10_b0p5_M20_L6_c1_2_train.json,4,1,6.0,100,50,19.1162,97,342.24,19,211.26
beta_a10_b0p5_M20_L4_p6_test.json,beta_a10_b0p5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,19.0896,97,344.709,19,216.567
beta_a10_b0p5_M500_L4_p6_train.json,beta_a10_b0p5_M500_L6_c1_2_train.json,4,1,6.0,100,50,475.961,2424,8562.73,469,4869.47
beta_a10_b0p5_M500_L4_p6_test.json,beta_a10_b0p5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,476.07046,2424,8501.434,469,4806.349
