dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L6_p2_train.json,beta_a0p5_b0p5_M100_L6_c1_2_train.json,6,1,2.0,100,50,49.9692,216,3467.28,33,2761.26
beta_a0p5_b0p5_M200_L6_p2_train.json,beta_a0p5_b0p5_M200_L6_c1_2_train.json,6,1,2.0,100,50,101.882,455,6932.03,68,5537.92
beta_a0p5_b0p5_M20_L6_p2_train.json,beta_a0p5_b0p5_M20_L6_c1_2_train.json,6,1,2.0,100,50,10.2508,44,723.25,7,554.9
beta_a0p5_b0p5_M500_L6_p2_train.json,beta_a0p5_b0p5_M500_L6_c1_2_train.json,6,1,2.0,100,50,247.6496,1433,18569.61,164,13577.32
beta_a0p5_b0p5_M50_L6_p2_train.json,beta_a0p5_b0p5_M50_L6_c1_2_train.json,6,1,2.0,100,50,24.6224,107,1710.79,16,1406.87
beta_a0p5_b10_M100_L6_p2_train.json,beta_a0p5_b10_M100_L6_c1_2_train.json,6,1,2.0,100,50,4.5358,11,387.36,2,350.84
beta_a0p5_b10_M200_L6_p2_train.json,beta_a0p5_b10_M200_L6_c1_2_train.json,6,1,2.0,100,50,9.5332,24,813.58,4,726.03
beta_a0p5_b10_M20_L6_p2_train.json,beta_a0p5_b10_M20_L6_c1_2_train.json,6,1,2.0,100,50,0.9048,2,82.61,0,90.48
beta_a0p5_b10_M500_L6_p2_train.json,beta_a0p5_b10_M500_L6_c1_2_train.json,6,1,2.0,100,50,24.4006,56,2098.29,10,1871.52
beta_a0p5_b10_M50_L6_p2_train.json,beta_a0p5_b10_M50_L6_c1_2_train.json,6,1,2.0,100,50,2.3328,6,201.33,1,182.35
beta_a0p5_b1_M100_L6_p2_train.json,beta_a0p5_b1_M100_L6_c1_2_train.json,6,1,2.0,100,50,33.8352,115,2647.67,18,2251.01
beta_a0p5_b1_M200_L6_p2_train.json,beta_a0p5_b1_M200_L6_c1_2_train.json,6,1,2.0,100,50,67.4418,249,5205.02,40,4333.55
beta_a0p5_b1_M20_L6_p2_train.json,beta_a0p5_b1_M20_L6_c1_2_train.json,6,1,2.0,100,50,6.6232,25,509.14,4,427.61
beta_a0p5_b1_M500_L6_p2_train.json,beta_a0p5_b1_M500_L6_c1_2_train.json,6,1,2.0,100,50,169.0286,883,13792.45,99,10856.69
beta_a0p5_b1_M50_L6_p2_train.json,beta_a0p5_b1_M50_L6_c1_2_train.json,6,1,2.0,100,50,16.7688,61,1275.5,10,1063.47
beta_a0p5_b2_M100_L6_p2_train.json,beta_a0p5_b2_M100_L6_c1_2_train.json,6,1,2.0,100,50,20.091,57,1657.77,10,1433.61
beta_a0p5_b2_M200_L6_p2_train.json,beta_a0p5_b2_M200_L6_c1_2_train.json,6,1,2.0,100,50,40.3442,117,3305.03,21,2815.14
beta_a0p5_b2_M20_L6_p2_train.json,beta_a0p5_b2_M20_L6_c1_2_train.json,6,1,2.0,100,50,4.0486,12,335.25,2,290.36
beta_a0p5_b2_M500_L6_p2_train.json,beta_a0p5_b2_M500_L6_c1_2_train.json,6,1,2.0,100,50,98.1354,386,8275.79,50,6930.0
beta_a0p5_b2_M50_L6_p2_train.json,beta_a0p5_b2_M50_L6_c1_2_train.json,6,1,2.0,100,50,10.2636,32,836.71,5,726.26
beta_a0p5_b5_M100_L6_p2_train.json,beta_a0p5_b5_M100_L6_c1_2_train.json,6,1,2.0,100,50,8.8364,23,742.23,4,664.55
beta_a0p5_b5_M200_L6_p2_train.json,beta_a0p5_b5_M200_L6_c1_2_train.json,6,1,2.0,100,50,18.2574,48,1534.78,8,1368.64
beta_a0p5_b5_M20_L6_p2_train.json,beta_a0p5_b5_M20_L6_c1_2_train.json,6,1,2.0,100,50,1.812,5,157.81,1,146.04
beta_a0p5_b5_M500_L6_p2_train.json,beta_a0p5_b5_M500_L6_c1_2_train.json,6,1,2.0,100,50,45.5204,128,3746.58,20,3413.58
beta_a0p5_b5_M50_L6_p2_train.json,beta_a0p5_b5_M50_L6_c1_2_train.json,6,1,2.0,100,50,4.474,11,378.72,2,338.39
beta_a10_b0p5_M100_L6_p2_train.json,beta_a10_b0p5_M100_L6_c1_2_train.json,6,1,2.0,100,50,95.1946,648,2489.0,92,552.13
beta_a10_b0p5_M200_L6_p2_train.json,beta_a10_b0p5_M200_L6_c1_2_train.json,6,1,2.0,100,50,190.532,1296,4942.73,185,1076.38
beta_a10_b0p5_M20_L6_p2_train.json,beta_a10_b0p5_M20_L6_c1_2_train.json,6,1,2.0,100,50,19.1162,130,498.86,18,133.6
beta_a10_b0p5_M500_L6_p2_train.json,beta_a10_b0p5_M500_L6_c1_2_train.json,6,1,2.0,100,50,475.961,3224,12486.56,462,2757.82
beta_a10_b0p5_M50_L6_p2_train.json,beta_a10_b0p5_M50_L6_c1_2_train.json,6,1,2.0,100,50,47.6254,323,1238.8,46,274.01
beta_a10_b10_M100_L6_p2_train.json,beta_a10_b10_M100_L6_c1_2_train.json,6,1,2.0,100,50,49.8922,310,1808.98,45,834.22
beta_a10_b10_M200_L6_p2_train.json,beta_a10_b10_M200_L6_c1_2_train.json,6,1,2.0,100,50,99.778,616,3617.09,90,1679.67
beta_a10_b10_M20_L6_p2_train.json,beta_a10_b10_M20_L6_c1_2_train.json,6,1,2.0,100,50,9.9636,62,366.23,9,170.0
beta_a10_b10_M500_L6_p2_train.json,beta_a10_b10_M500_L6_c1_2_train.json,6,1,2.0,100,50,249.632,1548,9053.92,225,4126.97
beta_a10_b10_M50_L6_p2_train.json,beta_a10_b10_M50_L6_c1_2_train.json,6,1,2.0,100,50,25.1338,157,900.38,23,408.68
beta_a10_b1_M100_L6_p2_train.json,beta_a10_b1_M100_L6_c1_2_train.json,6,1,2.0,100,50,91.1946,612,2529.36,88,684.04
beta_a10_b1_M200_L6_p2_train.json,beta_a10_b1_M200_L6_c1_2_train.json,6,1,2.0,100,50,181.7454,1216,5076.15,174,1356.24
beta_a10_b1_M20_L6_p2_train.json,beta_a10_b1_M20_L6_c1_2_train.json,6,1,2.0,100,50,18.1854,122,507.96,17,155.11
beta_a10_b1_M500_L6_p2_train.json,beta_a10_b1_M500_L6_c1_2_train.json,6,1,2.0,100,50,454.5368,3054,12638.63,436,3364.1
beta_a10_b1_M50_L6_p2_train.json,beta_a10_b1_M50_L6_c1_2_train.json,6,1,2.0,100,50,45.3924,303,1275.57,43,360.41
beta_a10_b2_M100_L6_p2_train.json,beta_a10_b2_M100_L6_c1_2_train.json,6,1,2.0,100,50,83.1414,545,2527.72,78,855.77
beta_a10_b2_M200_L6_p2_train.json,beta_a10_b2_M200_L6_c1_2_train.json,6,1,2.0,100,50,166.24,1092,5005.67,157,1685.75
beta_a10_b2_M20_L6_p2_train.json,beta_a10_b2_M20_L6_c1_2_train.json,6,1,2.0,100,50,16.6326,109,502.53,16,175.48
beta_a10_b2_M500_L6_p2_train.json,beta_a10_b2_M500_L6_c1_2_train.json,6,1,2.0,100,50,416.0878,2743,12467.86,392,4172.52
beta_a10_b2_M50_L6_p2_train.json,beta_a10_b2_M50_L6_c1_2_train.json,6,1,2.0,100,50,41.5494,273,1252.16,39,423.95
beta_a10_b5_M100_L6_p2_train.json,beta_a10_b5_M100_L6_c1_2_train.json,6,1,2.0,100,50,66.5252,426,2223.03,61,896.84
beta_a10_b5_M200_L6_p2_train.json,beta_a10_b5_M200_L6_c1_2_train.json,6,1,2.0,100,50,132.9112,845,4499.37,122,1847.27
beta_a10_b5_M20_L6_p2_train.json,beta_a10_b5_M20_L6_c1_2_train.json,6,1,2.0,100,50,13.273,84,444.68,12,191.17
beta_a10_b5_M500_L6_p2_train.json,beta_a10_b5_M500_L6_c1_2_train.json,6,1,2.0,100,50,333.1118,2118,11127.12,306,4607.34
beta_a10_b5_M50_L6_p2_train.json,beta_a10_b5_M50_L6_c1_2_train.json,6,1,2.0,100,50,33.2158,210,1128.66,30,482.41
beta_a1_b0p5_M100_L6_p2_train.json,beta_a1_b0p5_M100_L6_c1_2_train.json,6,1,2.0,100,50,67.1048,373,3623.68,54,2374.99
beta_a1_b0p5_M200_L6_p2_train.json,beta_a1_b0p5_M200_L6_c1_2_train.json,6,1,2.0,100,50,133.646,725,7171.73,105,4863.86
