dataset,L,h,p,N,num_periods,mean_d,opt_capped_S,opt_capped_cap,avg_cost_capped
beta_a1_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,18.299,104,10,19.396785714285713
beta_a1_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,1.7866,8,5,2.3373214285714288
beta_a1_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,45.53,246,30,47.339464285714286
beta_a1_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,4.5342,22,5,5.336785714285714
beta_a1_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,49.6906,329,35,39.38232142857143
beta_a1_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,99.712,665,75,77.23464285714286
beta_a1_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,9.8064,58,10,8.4475
beta_a1_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,250.3078,1614,190,193.50910714285715
beta_a1_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,24.9084,162,20,20.43125
beta_a1_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,33.2186,196,25,30.537142857142857
beta_a1_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,65.8808,417,45,60.87392857142857
beta_a1_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,6.7194,42,5,6.237678571428572
beta_a1_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,165.5976,981,115,152.53696428571428
beta_a1_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,16.7106,116,10,15.42607142857143
beta_a1_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,16.8292,96,10,17.482678571428572
beta_a1_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,33.4094,236,20,33.34375
beta_a1_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,3.2892,14,5,3.962142857142857
beta_a1_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,83.6384,547,55,83.8575
beta_a1_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,8.298,54,5,8.508035714285715
beta_a2_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,79.9318,567,70,30.8725
beta_a2_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,160.9206,1092,145,62.45375
beta_a2_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,16.0944,110,15,6.394285714285714
beta_a2_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,399.9354,2743,360,161.12214285714285
beta_a2_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,39.924,286,35,16.3
beta_a2_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,16.5962,98,15,13.388392857142858
beta_a2_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,33.6072,200,25,26.17910714285714
beta_a2_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,3.3952,18,5,3.276607142857143
beta_a2_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,82.7998,555,60,64.37589285714286
beta_a2_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,8.2708,54,5,6.914821428571429
beta_a2_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,66.6972,476,55,33.87446428571429
beta_a2_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,133.1292,909,115,65.93964285714286
beta_a2_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,13.3324,96,10,7.3444642857142854
beta_a2_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,333.1158,2315,290,162.33142857142857
beta_a2_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,33.3856,224,30,16.826964285714286
beta_a2_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,50.1284,332,40,30.240357142857142
beta_a2_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,100.1858,673,80,59.76535714285714
beta_a2_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,10.035,62,10,6.5980357142857144
beta_a2_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,250.3156,1648,205,150.4542857142857
beta_a2_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,25.1126,164,20,15.132142857142858
beta_a2_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,28.2558,194,20,20.491964285714285
beta_a2_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,56.5922,368,45,40.92857142857143
beta_a2_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,5.5938,34,5,4.077142857142857
beta_a2_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,141.5452,928,105,101.99660714285714
beta_a2_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,14.2664,92,10,10.348035714285714
beta_a5_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,91.0344,623,90,16.699285714285715
beta_a5_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,181.4752,1270,175,34.05446428571429
beta_a5_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,18.2246,124,20,4.288035714285714
beta_a5_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,455.4604,3186,435,84.35339285714285
beta_a5_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,45.4296,312,45,8.334464285714287
beta_a5_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,33.379,216,30,15.99392857142857
beta_a5_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,67.1104,453,60,30.371607142857144
beta_a5_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,6.6584,44,5,3.471964285714286
beta_a5_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,167.4212,1113,145,77.70928571428571
beta_a5_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,16.8336,118,15,7.66375
beta_a5_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,83.1942,574,80,20.15642857142857
beta_a5_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,166.519,1153,155,41.47017857142857
beta_a5_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,16.7144,116,15,4.269107142857143
beta_a5_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,415.1202,2867,390,101.99196428571429
beta_a5_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,41.765,286,40,10.185892857142857
beta_a5_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,71.4402,496,65,22.18
beta_a5_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,142.139,980,130,45.58392857142857
beta_a5_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,14.3776,96,15,5.033035714285714
beta_a5_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,358.2778,2591,325,113.26767857142858
beta_a5_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,35.7778,238,35,11.752678571428572
beta_a5_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,50.0824,336,45,20.346607142857142
beta_a5_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,99.91,669,90,41.746607142857144
beta_a5_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0272,66,10,4.32125
beta_a5_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,251.8128,1708,220,98.20321428571428
beta_a5_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,25.126,162,25,10.8375
binom_n100_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,5.0184,30,5,3.134642857142857
binom_n100_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0832,66,10,4.289107142857143
binom_n100_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,19.9708,132,20,5.6223214285714285
binom_n100_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,30.0926,204,30,6.585892857142857
binom_n100_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,49.9702,343,50,7.081428571428572
binom_n100_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,70.0088,482,70,6.484285714285714
binom_n100_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,94.9798,662,95,3.1432142857142855
binom_n100_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,90.0082,626,90,4.416964285714286
binom_n200_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0028,64,10,4.484642857142857
binom_n200_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,19.9676,132,20,6.140178571428572
binom_n200_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,39.9484,270,40,8.400892857142857
binom_n200_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,59.9412,409,60,9.44375
binom_n200_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,99.8332,686,100,10.518035714285714
binom_n200_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,139.905,967,140,9.356428571428571
binom_n200_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,189.985,1325,190,4.661071428571429
binom_n200_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,179.8924,1253,180,6.33625
binom_n20_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,1.023,4,5,1.4441071428571428
binom_n20_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,1.995,10,5,2.2208928571428572
binom_n20_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,3.9522,24,5,2.8201785714285714
binom_n20_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,5.9474,40,5,2.6655357142857143
binom_n20_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0068,66,10,3.3026785714285714
binom_n20_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,13.974,94,15,3.378392857142857
binom_n20_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,18.9842,132,20,1.9308928571428572
binom_n20_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,18.0166,124,20,2.8055357142857145
binom_n400_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,20.011,132,20,6.295535714285714
binom_n400_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,40.1046,268,40,8.687142857142858
binom_n400_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,79.9416,573,75,11.486964285714286
binom_n400_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,119.7038,833,115,12.31375
binom_n400_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,199.945,1393,195,13.48
binom_n400_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,279.877,1985,275,12.574285714285715
binom_n400_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,380.0546,2654,380,6.313928571428572
binom_n400_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,359.8772,2509,360,9.270535714285714
binom_n50_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,2.5086,14,5,2.54625
binom_n50_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,5.0166,32,5,2.955892857142857
binom_n50_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,9.9944,64,10,4.041964285714286
binom_n50_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,15.0024,100,15,4.5632142857142854
binom_n50_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,24.9532,168,25,4.993392857142857
binom_n50_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,34.925,240,35,4.813571428571429
binom_n50_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,47.4956,330,50,3.3426785714285714
binom_n50_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,44.9844,312,45,3.0589285714285714
binom_n800_p0p05_L6_c1_2_train.json,6,1.0,2.0,100,50,39.9986,268,40,8.95875
binom_n800_p0p1_L6_c1_2_train.json,6,1.0,2.0,100,50,79.9734,563,75,11.771071428571428
binom_n800_p0p2_L6_c1_2_train.json,6,1.0,2.0,100,50,159.776,1108,155,14.81875
binom_n800_p0p3_L6_c1_2_train.json,6,1.0,2.0,100,50,240.0886,1662,235,16.943571428571428
binom_n800_p0p5_L6_c1_2_train.json,6,1.0,2.0,100,50,400.2372,2787,395,18.677142857142858
binom_n800_p0p7_L6_c1_2_train.json,6,1.0,2.0,100,50,559.9418,3909,555,17.38232142857143
binom_n800_p0p95_L6_c1_2_train.json,6,1.0,2.0,100,50,760.0512,5310,760,8.924464285714286
binom_n800_p0p9_L6_c1_2_train.json,6,1.0,2.0,100,50,720.1692,5035,715,12.146785714285715
cunif_a0_b100_L6_c1_2_train.json,6,1.0,2.0,100,50,50.0574,314,40,39.70035714285714
cunif_a0_b200_L6_c1_2_train.json,6,1.0,2.0,100,50,98.8114,645,75,78.36125
cunif_a0_b400_L6_c1_2_train.json,6,1.0,2.0,100,50,199.814,1362,150,157.80017857142857
cunif_a0_b50_L6_c1_2_train.json,6,1.0,2.0,100,50,25.1552,166,20,20.19214285714286
cunif_a0_b800_L6_c1_2_train.json,6,1.0,2.0,100,50,400.731,2571,305,318.1642857142857
cunif_a10_b100_L6_c1_2_train.json,6,1.0,2.0,100,50,54.6906,352,45,36.25035714285714
cunif_a10_b200_L6_c1_2_train.json,6,1.0,2.0,100,50,105.2446,716,80,75.01696428571428
cunif_a10_b400_L6_c1_2_train.json,6,1.0,2.0,100,50,205.9482,1343,155,157.18321428571429
cunif_a10_b50_L6_c1_2_train.json,6,1.0,2.0,100,50,30.0218,224,25,16.045892857142857
cunif_a10_b800_L6_c1_2_train.json,6,1.0,2.0,100,50,405.9742,2803,305,311.9507142857143
cunif_a20_b100_L6_c1_2_train.json,6,1.0,2.0,100,50,59.8532,394,50,32.33267857142857
cunif_a20_b200_L6_c1_2_train.json,6,1.0,2.0,100,50,110.014,746,90,70.27464285714285
cunif_a20_b400_L6_c1_2_train.json,6,1.0,2.0,100,50,211.646,1465,165,152.44964285714286
cunif_a20_b50_L6_c1_2_train.json,6,1.0,2.0,100,50,35.03,240,30,12.161785714285715
cunif_a20_b800_L6_c1_2_train.json,6,1.0,2.0,100,50,409.2962,2633,315,309.1669642857143
cunif_a50_b100_L6_c1_2_train.json,6,1.0,2.0,100,50,74.7614,499,70,19.93642857142857
cunif_a50_b200_L6_c1_2_train.json,6,1.0,2.0,100,50,124.97,896,105,58.440714285714286
cunif_a50_b400_L6_c1_2_train.json,6,1.0,2.0,100,50,224.946,1504,180,138.78214285714284
cunif_a50_b800_L6_c1_2_train.json,6,1.0,2.0,100,50,426.7714,2759,340,293.72232142857143
dunif_L0_H100_L6_c1_2_train.json,6,1.0,2.0,100,50,50.1412,328,35,40.91267857142857
dunif_L0_H200_L6_c1_2_train.json,6,1.0,2.0,100,50,99.9846,685,75,78.86785714285715
dunif_L0_H20_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0448,58,10,8.813571428571429
dunif_L0_H400_L6_c1_2_train.json,6,1.0,2.0,100,50,201.6122,1335,155,152.53142857142856
