LLM,problem,dist,demand_mean,n_train,external_opt,iter_opt,param_loc,repeat,n_pop,mode,data_summary,algo_performance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,9,train,yes,plain,1770.37,1775.65,1776.04,1776.14,1776.72,1776.88,1777.07,1777.95,1778.40,1780.68,1787.21,1788.35,1788.36,1788.45,1788.67,1788.69,1788.78,1789.31,1789.41,1789.68,1789.89,1790.09,1791.64,1797.27,1799.38,1800.45,1800.53,1801.04,1804.09,1804.26
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,9,test,yes,plain,3693.17,3699.77,3729.76,3760.35,3740.99,3737.26,3737.03,3745.26,3745.23,3747.04,3747.08,3772.95,3771.35,3759.12,3776.07,3775.33,3784.45,3787.20,3765.89,3791.59,3766.48,3747.88,3747.24,3795.43,3760.03,3771.38,3787.09,3745.69,3769.16,3766.48
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,10,train,yes,plain,1760.09,1770.37,1770.42,1775.65,1776.04,1776.14,1776.72,1776.88,1777.07,1777.41,1777.72,1777.95,1778.10,1778.40,1780.68,1785.23,1787.21,1788.35,1788.36,1788.45,1788.67,1788.69,1788.78,1789.31,1789.41,1789.68,1789.89,1790.09,1791.64,1792.61
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,10,test,yes,plain,3669.39,3693.17,3696.49,3699.77,3729.76,3760.35,3740.99,3737.26,3737.03,3743.08,3745.10,3745.26,3745.88,3745.23,3747.04,3712.00,3747.08,3772.95,3771.35,3759.12,3776.07,3775.33,3784.45,3787.20,3765.89,3791.59,3766.48,3747.88,3747.24,3758.63
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,1,train,yes,no,1705.50,1710.92,1760.87,1760.88,1784.86,1835.64,1879.07,1891.28,1891.58,1909.47,1914.75,1980.72,2019.58,2025.79,2035.93,2035.94,2088.41,2162.80,2165.26,2174.84,2236.54,2253.26,2488.14,2567.47,2645.96,2830.30,3418.57,3654.06,3684.90,3801.66
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,1,test,yes,no,1566.80,1560.60,1624.31,1624.18,1643.87,1671.12,1737.29,1765.02,1700.32,1747.03,1753.33,1832.55,1891.60,1920.93,1998.48,1999.07,1911.87,2234.20,2059.80,1969.49,2292.00,2015.30,2415.47,2466.63,2465.57,2773.84,3353.91,3655.21,3712.46,3656.24
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,2,train,yes,no,1705.50,1710.92,1715.68,1717.10,1720.25,1741.29,1760.87,1760.88,1765.44,1773.65,1784.86,1813.16,1827.88,1835.64,1848.58,1860.76,1863.09,1864.67,1867.78,1873.54,1877.08,1879.07,1882.64,1887.02,1888.27,1891.28,1891.58,1909.47,1911.55,1913.74
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,2,test,yes,no,1566.80,1560.60,1574.62,1572.48,1572.66,1586.20,1624.31,1624.18,1630.90,1629.63,1643.87,1622.40,1680.60,1671.12,1672.35,1663.80,1699.77,1728.11,1788.07,1734.20,1679.14,1737.29,1750.80,1699.64,1697.09,1765.02,1700.32,1747.03,1682.17,1868.69
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,3,train,yes,no,1668.57,1668.62,1670.42,1677.00,1677.41,1705.50,1710.28,1710.34,1710.92,1711.01,1715.68,1717.10,1720.25,1739.98,1741.29,1744.70,1750.38,1760.87,1760.88,1761.51,1765.44,1767.92,1773.65,1776.73,1776.91,1784.74,1784.86,1801.68,1805.80,1812.83
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,3,test,yes,no,1514.14,1513.02,1499.56,1509.32,1506.89,1566.80,1560.33,1560.36,1560.60,1562.24,1574.62,1572.48,1572.66,1556.40,1586.20,1608.55,1603.20,1624.31,1624.18,1620.78,1630.90,1576.80,1629.63,1622.22,1650.80,1611.00,1643.87,1601.62,1617.80,1681.50
