dataset,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L4_c1_2_train.json,4,1,2,100,50,49.9692,176,3194.8,33,2761.26
beta_a0p5_b0p5_M200_L4_c1_2_train.json,4,1,2,100,50,101.882,370,6428.07,68,5537.92
beta_a0p5_b0p5_M20_L4_c1_2_train.json,4,1,2,100,50,10.2508,37,665.62,7,554.9
beta_a0p5_b0p5_M500_L4_c1_2_train.json,4,1,2,100,50,247.6496,938,15695.2,164,13577.32
beta_a0p5_b0p5_M50_L4_c1_2_train.json,4,1,2,100,50,24.6224,86,1578.93,16,1406.87
beta_a0p5_b10_M100_L4_c1_2_train.json,4,1,2,100,50,4.5358,9,378.23,2,350.84
beta_a0p5_b10_M200_L4_c1_2_train.json,4,1,2,100,50,9.5332,21,787.14,4,726.03
beta_a0p5_b10_M20_L4_c1_2_train.json,4,1,2,100,50,0.9048,2,80.53,0,90.48
beta_a0p5_b10_M500_L4_c1_2_train.json,4,1,2,100,50,24.4006,49,2032.84,10,1871.52
beta_a0p5_b10_M50_L4_c1_2_train.json,4,1,2,100,50,2.3328,5,196.47,1,182.35
beta_a0p5_b1_M100_L4_c1_2_train.json,4,1,2,100,50,33.8352,100,2488.96,18,2251.01
beta_a0p5_b1_M200_L4_c1_2_train.json,4,1,2,100,50,67.4418,203,4889.31,40,4333.55
beta_a0p5_b1_M20_L4_c1_2_train.json,4,1,2,100,50,6.6232,20,483.45,4,427.61
beta_a0p5_b1_M500_L4_c1_2_train.json,4,1,2,100,50,169.0286,545,12193.18,99,10856.69
beta_a0p5_b1_M50_L4_c1_2_train.json,4,1,2,100,50,16.7688,53,1205.34,10,1063.47
beta_a0p5_b2_M100_L4_c1_2_train.json,4,1,2,100,50,20.091,54,1556.96,10,1433.61
beta_a0p5_b2_M200_L4_c1_2_train.json,4,1,2,100,50,40.3442,102,3131.09,21,2815.14
beta_a0p5_b2_M20_L4_c1_2_train.json,4,1,2,100,50,4.0486,10,321.26,2,290.36
beta_a0p5_b2_M500_L4_c1_2_train.json,4,1,2,100,50,98.1354,249,7752.25,50,6930.0
beta_a0p5_b2_M50_L4_c1_2_train.json,4,1,2,100,50,10.2636,27,794.84,5,726.26
beta_a0p5_b5_M100_L4_c1_2_train.json,4,1,2,100,50,8.8364,19,723.24,4,664.55
beta_a0p5_b5_M200_L4_c1_2_train.json,4,1,2,100,50,18.2574,41,1479.85,8,1368.64
beta_a0p5_b5_M20_L4_c1_2_train.json,4,1,2,100,50,1.812,4,151.07,1,146.04
beta_a0p5_b5_M500_L4_c1_2_train.json,4,1,2,100,50,45.5204,107,3631.04,20,3413.58
beta_a0p5_b5_M50_L4_c1_2_train.json,4,1,2,100,50,4.474,10,367.7,2,338.39
beta_a10_b0p5_M100_L4_c1_2_train.json,4,1,2,100,50,95.1946,469,1460.64,92,552.13
beta_a10_b0p5_M200_L4_c1_2_train.json,4,1,2,100,50,190.532,940,2911.45,185,1076.38
beta_a10_b0p5_M20_L4_c1_2_train.json,4,1,2,100,50,19.1162,94,291.43,18,133.6
beta_a10_b0p5_M500_L4_c1_2_train.json,4,1,2,100,50,475.961,2347,7335.91,462,2757.82
beta_a10_b0p5_M50_L4_c1_2_train.json,4,1,2,100,50,47.6254,235,725.77,46,274.01
beta_a10_b10_M100_L4_c1_2_train.json,4,1,2,100,50,49.8922,229,1319.62,45,834.22
beta_a10_b10_M200_L4_c1_2_train.json,4,1,2,100,50,99.778,459,2623.15,90,1679.67
beta_a10_b10_M20_L4_c1_2_train.json,4,1,2,100,50,9.9636,46,266.92,9,170.0
