dataset,L,h,p,N,num_periods,mean_d,opt_capped_S,opt_capped_cap,avg_cost_capped
beta_a0p5_b0p5_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,49.9692,246,35,2740.27
beta_a0p5_b0p5_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,101.882,483,75,5403.2
beta_a0p5_b0p5_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,10.2508,44,10,579.93
beta_a0p5_b0p5_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,247.6496,1186,175,13440.97
beta_a0p5_b0p5_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,24.6224,108,20,1372.33
beta_a0p5_b10_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,4.5358,12,5,369.87
beta_a0p5_b10_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,9.5332,28,5,728.66
beta_a0p5_b10_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,0.9048,2,5,80.53
beta_a0p5_b10_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,24.4006,108,10,1871.49
beta_a0p5_b10_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,2.3328,6,5,197.37
beta_a0p5_b1_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,33.8352,134,20,2210.11
beta_a0p5_b1_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,67.4418,289,45,4284.51
beta_a0p5_b1_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,6.6232,28,5,430.04
beta_a0p5_b1_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,169.0286,717,110,10727.27
beta_a0p5_b1_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,16.7688,86,10,1060.01
beta_a0p5_b2_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,20.091,80,10,1428.8
beta_a0p5_b2_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,40.3442,164,20,2810.89
beta_a0p5_b2_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,4.0486,12,5,309.83
beta_a0p5_b2_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,98.1354,480,50,6927.52
beta_a0p5_b2_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,10.2636,42,5,718.39
beta_a0p5_b5_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,8.8364,32,5,678.59
beta_a0p5_b5_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,18.2574,58,10,1371.05
beta_a0p5_b5_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,1.812,4,5,151.07
beta_a0p5_b5_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,45.5204,142,25,3382.91
beta_a0p5_b5_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,4.474,12,5,358.94
beta_a10_b0p5_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,95.1946,477,95,506.86
beta_a10_b0p5_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,190.532,956,190,997.15
beta_a10_b0p5_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,19.1162,96,20,114.53
beta_a10_b0p5_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,475.961,2401,470,2562.18
beta_a10_b0p5_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,47.6254,236,50,282.86
beta_a10_b10_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,49.8922,248,45,824.09
beta_a10_b10_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,99.778,498,90,1633.79
beta_a10_b10_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,9.9636,48,10,173.68
beta_a10_b10_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,249.632,1242,230,4056.99
beta_a10_b10_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,25.1338,120,25,419.83
beta_a10_b1_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,91.1946,457,90,658.35
beta_a10_b1_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,181.7454,916,175,1306.23
beta_a10_b1_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,18.1854,90,20,160.73
beta_a10_b1_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,454.5368,2276,445,3206.69
beta_a10_b1_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,45.3924,224,45,346.83
beta_a10_b2_M100_L4_c1_2_train.json,4,1.0,2.0,100,50,83.1414,415,80,817.79
beta_a10_b2_M200_L4_c1_2_train.json,4,1.0,2.0,100,50,166.24,831,160,1597.36
beta_a10_b2_M20_L4_c1_2_train.json,4,1.0,2.0,100,50,16.6326,88,15,193.86
beta_a10_b2_M500_L4_c1_2_train.json,4,1.0,2.0,100,50,416.0878,2076,400,3936.23
beta_a10_b2_M50_L4_c1_2_train.json,4,1.0,2.0,100,50,41.5494,208,40,402.39
