dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p5_b0p5_M100_L6_p10_train,6312.08,6329.47,6224.45
beta_a0p5_b0p5_M100_L6_p10_test,6204.74,6207.596,6141.597
beta_a0p5_b0p5_M200_L6_p10_train,12148.63,12185.15,11976.47
beta_a0p5_b0p5_M200_L6_p10_test,12302.624,12392.398,12256.186
beta_a0p5_b0p5_M20_L6_p10_train,1202.99,1200.21,1210.49
beta_a0p5_b0p5_M20_L6_p10_test,1266.895,1266.282,1262.532
beta_a0p5_b0p5_M500_L6_p10_train,31333.83,31594.6,31380.38
beta_a0p5_b0p5_M500_L6_p10_test,30545.186,30644.497,30327.148
beta_a0p5_b0p5_M50_L6_p10_train,3128.24,3143.18,3137.04
beta_a0p5_b0p5_M50_L6_p10_test,3073.257,3083.805,3053.3
beta_a0p5_b10_M100_L6_p10_train,997.59,998.42,999.92
beta_a0p5_b10_M100_L6_p10_test,1031.196,1022.844,1031.403
beta_a0p5_b10_M200_L6_p10_train,2057.48,2056.67,2064.37
beta_a0p5_b10_M200_L6_p10_test,2079.899,2079.218,2087.999
beta_a0p5_b10_M20_L6_p10_train,207.34,209.68,207.34
beta_a0p5_b10_M20_L6_p10_test,216.272,219.113,216.272
beta_a0p5_b10_M500_L6_p10_train,5312.19,5337.91,5348.42
beta_a0p5_b10_M500_L6_p10_test,5075.674,5131.798,5163.026
beta_a0p5_b10_M50_L6_p10_train,525.65,527.86,530.74
beta_a0p5_b10_M50_L6_p10_test,525.095,522.107,533.256
beta_a0p5_b1_M100_L6_p10_train,5336.06,5342.24,5358.62
beta_a0p5_b1_M100_L6_p10_test,5183.538,5131.284,5246.553
beta_a0p5_b1_M200_L6_p10_train,10261.58,10236.94,10058.46
beta_a0p5_b1_M200_L6_p10_test,10317.031,10344.083,10321.35
beta_a0p5_b1_M20_L6_p10_train,1005.54,1009.13,1009.96
beta_a0p5_b1_M20_L6_p10_test,1033.894,1036.599,1036.059
beta_a0p5_b1_M500_L6_p10_train,26270.34,26240.44,26276.65
beta_a0p5_b1_M500_L6_p10_test,25832.985,25687.285,25660.236
beta_a0p5_b1_M50_L6_p10_train,2542.41,2548.25,2545.29
beta_a0p5_b1_M50_L6_p10_test,2595.107,2606.557,2593.272
beta_a0p5_b2_M100_L6_p10_train,3706.1,3711.25,3686.78
beta_a0p5_b2_M100_L6_p10_test,3648.827,3665.815,3683.603
beta_a0p5_b2_M200_L6_p10_train,7131.44,7132.69,7215.98
beta_a0p5_b2_M200_L6_p10_test,7337.06,7367.165,7393.038
beta_a0p5_b2_M20_L6_p10_train,739.61,740.96,747.85
beta_a0p5_b2_M20_L6_p10_test,740.821,738.74,738.442
beta_a0p5_b2_M500_L6_p10_train,17692.93,17744.52,17952.36
beta_a0p5_b2_M500_L6_p10_test,18230.138,18226.205,18377.726
