dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b2_M50_L4_p4_train.json,beta_a0p5_b2_M50_L6_c1_2_train.json,4,1,4.0,100,50,10.2636,44,1223.68,7,1138.81
beta_a0p5_b2_M50_L4_p4_test.json,beta_a0p5_b2_M50_L6_c1_2_test.json,4,1,4.0,1000,50,10.06854,44,1233.804,7,1161.358
beta_a0p5_b5_M100_L4_p4_train.json,beta_a0p5_b5_M100_L6_c1_2_train.json,4,1,4.0,100,50,8.8364,34,1181.58,5,1095.81
beta_a0p5_b5_M100_L4_p4_test.json,beta_a0p5_b5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,9.17588,34,1201.728,5,1132.454
beta_a0p5_b5_M200_L4_p4_train.json,beta_a0p5_b5_M200_L6_c1_2_train.json,4,1,4.0,100,50,18.2574,71,2395.24,11,2242.24
beta_a0p5_b5_M200_L4_p4_test.json,beta_a0p5_b5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,18.151,71,2372.366,11,2232.375
beta_a0p5_b5_M20_L4_p4_train.json,beta_a0p5_b5_M20_L6_c1_2_train.json,4,1,4.0,100,50,1.812,7,245.16,1,229.3
beta_a0p5_b5_M20_L4_p4_test.json,beta_a0p5_b5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,1.79332,7,242.85,1,228.519
beta_a0p5_b5_M500_L4_p4_train.json,beta_a0p5_b5_M500_L6_c1_2_train.json,4,1,4.0,100,50,45.5204,171,5857.69,26,5657.38
beta_a0p5_b5_M500_L4_p4_test.json,beta_a0p5_b5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,45.2272,171,5941.565,26,5572.991
beta_a0p5_b5_M50_L4_p4_train.json,beta_a0p5_b5_M50_L6_c1_2_train.json,4,1,4.0,100,50,4.474,17,596.31,3,564.14
beta_a0p5_b5_M50_L4_p4_test.json,beta_a0p5_b5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,4.51058,17,596.333,3,563.986
beta_a10_b0p5_M100_L4_p4_train.json,beta_a10_b0p5_M100_L6_c1_2_train.json,4,1,4.0,100,50,95.1946,480,1625.45,93,807.35
beta_a10_b0p5_M100_L4_p4_test.json,beta_a10_b0p5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,95.2207,480,1615.2,93,791.577
beta_a10_b0p5_M200_L4_p4_train.json,beta_a10_b0p5_M200_L6_c1_2_train.json,4,1,4.0,100,50,190.532,960,3223.13,187,1538.66
beta_a10_b0p5_M200_L4_p4_test.json,beta_a10_b0p5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,190.49128,960,3226.366,187,1569.763
beta_a10_b0p5_M20_L4_p4_train.json,beta_a10_b0p5_M20_L6_c1_2_train.json,4,1,4.0,100,50,19.1162,96,324.21,19,190.54
beta_a10_b0p5_M20_L4_p4_test.json,beta_a10_b0p5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,19.0896,96,326.932,19,198.035
beta_a10_b0p5_M500_L4_p4_train.json,beta_a10_b0p5_M500_L6_c1_2_train.json,4,1,4.0,100,50,475.961,2400,8160.22,467,3968.75
beta_a10_b0p5_M500_L4_p4_test.json,beta_a10_b0p5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,476.07046,2400,8071.289,467,3921.78
beta_a10_b0p5_M50_L4_p4_train.json,beta_a10_b0p5_M50_L6_c1_2_train.json,4,1,4.0,100,50,47.6254,240,810.73,47,416.65
beta_a10_b0p5_M50_L4_p4_test.json,beta_a10_b0p5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,47.63256,240,809.922,47,408.229
beta_a10_b10_M100_L4_p4_train.json,beta_a10_b10_M100_L6_c1_2_train.json,4,1,4.0,100,50,49.8922,247,1723.46,47,1251.95
beta_a10_b10_M100_L4_p4_test.json,beta_a10_b10_M100_L6_c1_2_test.json,4,1,4.0,1000,50,50.03412,247,1718.018,47,1249.701
beta_a10_b10_M200_L4_p4_train.json,beta_a10_b10_M200_L6_c1_2_train.json,4,1,4.0,100,50,99.778,496,3407.6,93,2548.22
beta_a10_b10_M200_L4_p4_test.json,beta_a10_b10_M200_L6_c1_2_test.json,4,1,4.0,1000,50,100.01614,496,3441.832,93,2569.533
beta_a10_b10_M20_L4_p4_train.json,beta_a10_b10_M20_L6_c1_2_train.json,4,1,4.0,100,50,9.9636,49,346.89,9,269.56
beta_a10_b10_M20_L4_p4_test.json,beta_a10_b10_M20_L6_c1_2_test.json,4,1,4.0,1000,50,9.99484,49,344.489,9,267.967
