dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p5_b0p5_M100_L8_p2_train,2753.38,2755.45,2759.09
beta_a0p5_b0p5_M100_L8_p2_test,2756.839,2757.837,2766.766
beta_a0p5_b0p5_M200_L8_p2_train,5516.35,5507.38,5507.65
beta_a0p5_b0p5_M200_L8_p2_test,5501.219,5519.793,5511.132
beta_a0p5_b0p5_M20_L8_p2_train,554.9,553.64,554.06
beta_a0p5_b0p5_M20_L8_p2_test,556.143,555.819,553.313
beta_a0p5_b0p5_M500_L8_p2_train,13563.5,13514.85,13568.02
beta_a0p5_b0p5_M500_L8_p2_test,13613.161,13618.26,13630.994
beta_a0p5_b0p5_M50_L8_p2_train,1403.07,1398.93,1399.39
beta_a0p5_b0p5_M50_L8_p2_test,1382.15,1378.486,1380.68
beta_a0p5_b10_M100_L8_p2_train,350.21,350.15,350.39
beta_a0p5_b10_M100_L8_p2_test,360.153,360.189,360.599
beta_a0p5_b10_M200_L8_p2_train,726.03,725.84,726.01
beta_a0p5_b10_M200_L8_p2_test,733.475,732.838,733.384
beta_a0p5_b10_M20_L8_p2_train,81.66,78.47,81.66
beta_a0p5_b10_M20_L8_p2_test,83.371,80.81,83.371
beta_a0p5_b10_M500_L8_p2_train,1870.84,1871.4,1870.17
beta_a0p5_b10_M500_L8_p2_test,1802.715,1802.49,1802.897
beta_a0p5_b10_M50_L8_p2_train,182.05,181.86,182.22
beta_a0p5_b10_M50_L8_p2_test,183.246,183.452,183.457
beta_a0p5_b1_M100_L8_p2_train,2219.07,2221.59,2238.0
beta_a0p5_b1_M100_L8_p2_test,2175.029,2182.757,2169.782
beta_a0p5_b1_M200_L8_p2_train,4330.59,4328.18,4322.51
beta_a0p5_b1_M200_L8_p2_test,4302.148,4301.364,4297.904
beta_a0p5_b1_M20_L8_p2_train,425.09,425.59,425.14
beta_a0p5_b1_M20_L8_p2_test,431.064,431.704,431.961
beta_a0p5_b1_M500_L8_p2_train,10853.42,10847.35,10854.76
beta_a0p5_b1_M500_L8_p2_test,10743.408,10731.241,10752.68
beta_a0p5_b1_M50_L8_p2_train,1062.75,1060.82,1063.17
beta_a0p5_b1_M50_L8_p2_test,1080.202,1078.97,1080.248
beta_a0p5_b2_M100_L8_p2_train,1433.61,1432.96,1431.59
beta_a0p5_b2_M100_L8_p2_test,1420.162,1419.693,1419.923
beta_a0p5_b2_M200_L8_p2_train,2811.2,2808.71,2815.14
beta_a0p5_b2_M200_L8_p2_test,2827.086,2833.699,2833.673
beta_a0p5_b2_M20_L8_p2_train,289.89,289.84,290.29
beta_a0p5_b2_M20_L8_p2_test,285.613,285.363,285.575
beta_a0p5_b2_M500_L8_p2_train,6912.24,6910.36,6927.95
beta_a0p5_b2_M500_L8_p2_test,7064.99,7072.72,7079.78
beta_a0p5_b2_M50_L8_p2_train,718.17,719.18,722.05
beta_a0p5_b2_M50_L8_p2_test,719.5,720.306,717.326
beta_a0p5_b5_M100_L8_p2_train,663.06,662.87,663.64
beta_a0p5_b5_M100_L8_p2_test,683.274,684.121,683.276
beta_a0p5_b5_M200_L8_p2_train,1367.77,1367.83,1368.18
beta_a0p5_b5_M200_L8_p2_test,1356.401,1356.89,1357.26
beta_a0p5_b5_M20_L8_p2_train,141.36,141.36,141.36
beta_a0p5_b5_M20_L8_p2_test,142.484,142.484,142.484
beta_a0p5_b5_M500_L8_p2_train,3397.5,3397.79,3413.58
beta_a0p5_b5_M500_L8_p2_test,3390.249,3395.769,3392.304
beta_a0p5_b5_M50_L8_p2_train,337.75,337.24,338.13
beta_a0p5_b5_M50_L8_p2_test,342.003,341.714,341.911
beta_a10_b0p5_M100_L8_p2_train,573.59,552.86,567.07
beta_a10_b0p5_M100_L8_p2_test,572.211,547.139,559.613
beta_a10_b0p5_M200_L8_p2_train,1095.71,1083.87,1061.32
beta_a10_b0p5_M200_L8_p2_test,1110.987,1108.028,1064.573
beta_a10_b0p5_M20_L8_p2_train,126.89,116.08,129.64
beta_a10_b0p5_M20_L8_p2_test,125.96,119.499,132.241
beta_a10_b0p5_M500_L8_p2_train,2741.44,2792.06,2793.74
beta_a10_b0p5_M500_L8_p2_test,2704.888,2756.59,2747.839
beta_a10_b0p5_M50_L8_p2_train,273.15,273.52,274.01
beta_a10_b0p5_M50_L8_p2_test,273.012,272.729,275.352
beta_a10_b10_M100_L8_p2_train,827.71,828.51,831.73
beta_a10_b10_M100_L8_p2_test,819.706,820.964,821.317
beta_a10_b10_M200_L8_p2_train,1678.27,1673.65,1662.02
beta_a10_b10_M200_L8_p2_test,1682.809,1686.467,1682.774
