dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L6_p4_train.json,beta_a0p5_b0p5_M100_L6_c1_2_train.json,6,1,4.0,100,50,49.9692,303,5073.07,38,4208.78
beta_a0p5_b0p5_M100_L6_p4_test.json,beta_a0p5_b0p5_M100_L6_c1_2_test.json,6,1,4.0,1000,50,50.13458,303,5072.213,38,4209.782
beta_a0p5_b0p5_M200_L6_p4_train.json,beta_a0p5_b0p5_M200_L6_c1_2_train.json,6,1,4.0,100,50,101.882,621,10028.77,79,8420.05
beta_a0p5_b0p5_M200_L6_p4_test.json,beta_a0p5_b0p5_M200_L6_c1_2_test.json,6,1,4.0,1000,50,100.02054,621,10123.545,79,8335.75
beta_a0p5_b0p5_M20_L6_p4_train.json,beta_a0p5_b0p5_M20_L6_c1_2_train.json,6,1,4.0,100,50,10.2508,63,1045.89,8,820.51
beta_a0p5_b0p5_M20_L6_p4_test.json,beta_a0p5_b0p5_M20_L6_c1_2_test.json,6,1,4.0,1000,50,10.0193,63,1020.206,8,840.919
beta_a0p5_b0p5_M500_L6_p4_train.json,beta_a0p5_b0p5_M500_L6_c1_2_train.json,6,1,4.0,100,50,247.6496,1521,25142.05,191,20632.53
beta_a0p5_b0p5_M500_L6_p4_test.json,beta_a0p5_b0p5_M500_L6_c1_2_test.json,6,1,4.0,1000,50,249.54696,1521,25132.121,191,20522.854
beta_a0p5_b0p5_M50_L6_p4_train.json,beta_a0p5_b0p5_M50_L6_c1_2_train.json,6,1,4.0,100,50,24.6224,148,2508.04,19,2125.88
beta_a0p5_b0p5_M50_L6_p4_test.json,beta_a0p5_b0p5_M50_L6_c1_2_test.json,6,1,4.0,1000,50,24.9965,148,2528.036,19,2080.633
beta_a0p5_b10_M100_L6_p4_train.json,beta_a0p5_b10_M100_L6_c1_2_train.json,6,1,4.0,100,50,4.5358,20,642.69,3,597.52
beta_a0p5_b10_M100_L6_p4_test.json,beta_a0p5_b10_M100_L6_c1_2_test.json,6,1,4.0,1000,50,4.69986,20,666.258,3,600.769
beta_a0p5_b10_M200_L6_p4_train.json,beta_a0p5_b10_M200_L6_c1_2_train.json,6,1,4.0,100,50,9.5332,42,1349.7,6,1198.22
beta_a0p5_b10_M200_L6_p4_test.json,beta_a0p5_b10_M200_L6_c1_2_test.json,6,1,4.0,1000,50,9.58786,42,1355.94,6,1220.795
beta_a0p5_b10_M20_L6_p4_train.json,beta_a0p5_b10_M20_L6_c1_2_train.json,6,1,4.0,100,50,0.9048,4,138.09,0,180.96
beta_a0p5_b10_M20_L6_p4_test.json,beta_a0p5_b10_M20_L6_c1_2_test.json,6,1,4.0,1000,50,0.91006,4,140.15,0,182.012
beta_a0p5_b10_M500_L6_p4_train.json,beta_a0p5_b10_M500_L6_c1_2_train.json,6,1,4.0,100,50,24.4006,106,3516.47,14,3097.46
beta_a0p5_b10_M500_L6_p4_test.json,beta_a0p5_b10_M500_L6_c1_2_test.json,6,1,4.0,1000,50,23.73442,106,3336.759,14,2985.079
beta_a0p5_b10_M50_L6_p4_train.json,beta_a0p5_b10_M50_L6_c1_2_train.json,6,1,4.0,100,50,2.3328,11,331.7,1,317.47
beta_a0p5_b10_M50_L6_p4_test.json,beta_a0p5_b10_M50_L6_c1_2_test.json,6,1,4.0,1000,50,2.35454,11,339.904,1,321.096
beta_a0p5_b1_M100_L6_p4_train.json,beta_a0p5_b1_M100_L6_c1_2_train.json,6,1,4.0,100,50,33.8352,190,4033.27,23,3580.36
beta_a0p5_b1_M100_L6_p4_test.json,beta_a0p5_b1_M100_L6_c1_2_test.json,6,1,4.0,1000,50,33.4564,190,3925.758,23,3372.283
beta_a0p5_b1_M200_L6_p4_train.json,beta_a0p5_b1_M200_L6_c1_2_train.json,6,1,4.0,100,50,67.4418,379,7905.62,49,6648.48
beta_a0p5_b1_M200_L6_p4_test.json,beta_a0p5_b1_M200_L6_c1_2_test.json,6,1,4.0,1000,50,66.72408,379,7854.363,49,6671.085
beta_a0p5_b1_M20_L6_p4_train.json,beta_a0p5_b1_M20_L6_c1_2_train.json,6,1,4.0,100,50,6.6232,37,773.66,5,656.75
beta_a0p5_b1_M20_L6_p4_test.json,beta_a0p5_b1_M20_L6_c1_2_test.json,6,1,4.0,1000,50,6.6822,37,788.032,5,668.98
beta_a0p5_b1_M500_L6_p4_train.json,beta_a0p5_b1_M500_L6_c1_2_train.json,6,1,4.0,100,50,169.0286,923,19625.38,118,16961.44
