dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p5_b0p5_M100_L6_p6_train,5064.35,5030.65,4996.04
beta_a0p5_b0p5_M100_L6_p6_test,4991.869,4963.462,4948.941
beta_a0p5_b0p5_M200_L6_p6_train,9845.32,9839.39,9738.89
beta_a0p5_b0p5_M200_L6_p6_test,9903.392,9889.81,9884.486
beta_a0p5_b0p5_M20_L6_p6_train,971.23,970.47,979.27
beta_a0p5_b0p5_M20_L6_p6_test,1006.748,1010.936,996.618
beta_a0p5_b0p5_M500_L6_p6_train,24742.5,24820.06,24801.15
beta_a0p5_b0p5_M500_L6_p6_test,24487.113,24427.218,24374.833
beta_a0p5_b0p5_M50_L6_p6_train,2507.63,2497.92,2520.58
beta_a0p5_b0p5_M50_L6_p6_test,2461.322,2465.858,2474.367
beta_a0p5_b10_M100_L6_p6_train,744.85,746.81,756.28
beta_a0p5_b10_M100_L6_p6_test,761.293,764.939,771.367
beta_a0p5_b10_M200_L6_p6_train,1543.73,1541.98,1544.53
beta_a0p5_b10_M200_L6_p6_test,1570.886,1558.563,1563.113
beta_a0p5_b10_M20_L6_p6_train,158.41,160.02,160.02
beta_a0p5_b10_M20_L6_p6_test,164.695,166.12,166.12
beta_a0p5_b10_M500_L6_p6_train,3991.21,3989.97,3996.9
beta_a0p5_b10_M500_L6_p6_test,3833.757,3832.753,3873.656
beta_a0p5_b10_M50_L6_p6_train,389.47,390.37,390.35
beta_a0p5_b10_M50_L6_p6_test,391.285,391.883,395.511
beta_a0p5_b1_M100_L6_p6_train,4197.38,4205.85,4228.47
beta_a0p5_b1_M100_L6_p6_test,4053.882,4048.97,4077.682
beta_a0p5_b1_M200_L6_p6_train,8109.71,8095.34,8036.0
beta_a0p5_b1_M200_L6_p6_test,8118.308,8148.436,8118.179
beta_a0p5_b1_M20_L6_p6_train,793.14,794.67,794.29
beta_a0p5_b1_M20_L6_p6_test,816.34,817.256,816.488
beta_a0p5_b1_M500_L6_p6_train,20762.43,20768.92,20656.54
beta_a0p5_b1_M500_L6_p6_test,20212.31,20201.129,20220.078
beta_a0p5_b1_M50_L6_p6_train,2000.86,2004.39,2001.6
beta_a0p5_b1_M50_L6_p6_test,2036.726,2039.882,2047.74
beta_a0p5_b2_M100_L6_p6_train,2875.04,2869.41,2851.14
beta_a0p5_b2_M100_L6_p6_test,2812.257,2825.226,2820.134
beta_a0p5_b2_M200_L6_p6_train,5547.07,5540.12,5597.33
beta_a0p5_b2_M200_L6_p6_test,5649.085,5649.196,5675.14
beta_a0p5_b2_M20_L6_p6_train,576.84,575.66,584.08
beta_a0p5_b2_M20_L6_p6_test,572.88,571.836,574.77
beta_a0p5_b2_M500_L6_p6_train,13667.86,13714.39,13742.49
beta_a0p5_b2_M500_L6_p6_test,14163.506,14099.264,14167.374
beta_a0p5_b2_M50_L6_p6_train,1374.24,1375.11,1400.93
beta_a0p5_b2_M50_L6_p6_test,1434.982,1437.699,1437.401
beta_a0p5_b5_M100_L6_p6_train,1367.47,1368.9,1373.11
beta_a0p5_b5_M100_L6_p6_test,1426.186,1434.078,1444.658
beta_a0p5_b5_M200_L6_p6_train,2856.94,2855.66,2862.24
beta_a0p5_b5_M200_L6_p6_test,2828.791,2837.757,2843.62
beta_a0p5_b5_M20_L6_p6_train,291.08,293.13,295.96
beta_a0p5_b5_M20_L6_p6_test,290.92,291.837,297.229
beta_a0p5_b5_M500_L6_p6_train,7143.41,7136.33,7182.8
beta_a0p5_b5_M500_L6_p6_test,7056.671,7100.496,7105.771
beta_a0p5_b5_M50_L6_p6_train,705.4,705.16,709.37
beta_a0p5_b5_M50_L6_p6_test,709.716,711.113,717.586
beta_a10_b0p5_M100_L6_p6_train,936.85,938.39,824.75
beta_a10_b0p5_M100_L6_p6_test,905.088,907.439,809.092
beta_a10_b0p5_M200_L6_p6_train,1796.48,1825.32,1607.53
beta_a10_b0p5_M200_L6_p6_test,1841.142,1897.53,1621.238
beta_a10_b0p5_M20_L6_p6_train,174.52,173.99,175.0
beta_a10_b0p5_M20_L6_p6_test,174.426,174.324,173.517
beta_a10_b0p5_M500_L6_p6_train,4908.39,4551.97,4200.15
beta_a10_b0p5_M500_L6_p6_test,4914.978,4500.35,4073.27
beta_a10_b0p5_M50_L6_p6_train,448.41,459.44,407.97
beta_a10_b0p5_M50_L6_p6_test,449.515,460.937,411.279
beta_a10_b10_M100_L6_p6_train,1479.31,1476.58,1490.15
beta_a10_b10_M100_L6_p6_test,1505.524,1492.236,1462.474
beta_a10_b10_M200_L6_p6_train,3072.94,3007.45,2988.09
beta_a10_b10_M200_L6_p6_test,3086.907,3057.631,3035.837
beta_a10_b10_M20_L6_p6_train,307.22,312.19,325.22
beta_a10_b10_M20_L6_p6_test,298.991,304.868,312.53
beta_a10_b10_M500_L6_p6_train,7520.8,7498.92,7473.7
beta_a10_b10_M500_L6_p6_test,7603.06,7589.645,7596.84
beta_a10_b10_M50_L6_p6_train,735.24,737.32,738.88
beta_a10_b10_M50_L6_p6_test,755.27,756.254,748.333
beta_a10_b1_M100_L6_p6_train,1227.45,1192.81,1154.11
beta_a10_b1_M100_L6_p6_test,1259.606,1215.838,1185.639
beta_a10_b1_M200_L6_p6_train,2390.35,2357.72,2353.77
beta_a10_b1_M200_L6_p6_test,2450.776,2393.467,2331.564
beta_a10_b1_M20_L6_p6_train,276.28,236.92,239.86
beta_a10_b1_M20_L6_p6_test,266.358,235.824,238.286
beta_a10_b1_M500_L6_p6_train,6127.01,5887.7,5669.95
beta_a10_b1_M500_L6_p6_test,6331.989,6015.451,5654.366
beta_a10_b1_M50_L6_p6_train,619.4,624.01,572.87
beta_a10_b1_M50_L6_p6_test,600.522,614.509,565.668
beta_a10_b2_M100_L6_p6_train,1551.26,1551.78,1472.54
beta_a10_b2_M100_L6_p6_test,1505.733,1507.604,1427.203
beta_a10_b2_M200_L6_p6_train,2958.88,2944.28,2908.71
beta_a10_b2_M200_L6_p6_test,2993.201,2974.46,2955.436
beta_a10_b2_M20_L6_p6_train,294.26,294.48,279.91
beta_a10_b2_M20_L6_p6_test,304.912,305.904,288.684
beta_a10_b2_M500_L6_p6_train,10635.06,7296.27,6835.25
beta_a10_b2_M500_L6_p6_test,10796.387,7302.24,6895.105
beta_a10_b2_M50_L6_p6_train,749.86,736.35,760.37
beta_a10_b2_M50_L6_p6_test,746.117,732.53,753.17
beta_a10_b5_M100_L6_p6_train,1607.64,1563.98,1552.08
beta_a10_b5_M100_L6_p6_test,1666.947,1659.489,1622.829
beta_a10_b5_M200_L6_p6_train,3329.52,3352.34,3243.48
beta_a10_b5_M200_L6_p6_test,3336.519,3336.547,3223.712
beta_a10_b5_M20_L6_p6_train,344.64,333.08,329.14
beta_a10_b5_M20_L6_p6_test,328.199,320.789,321.072
beta_a10_b5_M500_L6_p6_train,8418.92,8347.53,8174.89
beta_a10_b5_M500_L6_p6_test,8336.099,8337.145,8154.292
beta_a10_b5_M50_L6_p6_train,826.42,827.81,827.53
beta_a10_b5_M50_L6_p6_test,836.25,836.902,814.398
beta_a1_b0p5_M100_L6_p6_train,4085.77,4026.34,3942.4
beta_a1_b0p5_M100_L6_p6_test,4247.062,4189.541,4133.88
beta_a1_b0p5_M200_L6_p6_train,8355.03,8313.99,8184.11
beta_a1_b0p5_M200_L6_p6_test,8489.293,8473.662,8339.61
beta_a1_b0p5_M20_L6_p6_train,820.19,816.91,831.34
beta_a1_b0p5_M20_L6_p6_test,859.287,850.924,849.924
beta_a1_b0p5_M500_L6_p6_train,20839.14,20753.15,20239.24
beta_a1_b0p5_M500_L6_p6_test,20949.79,20846.231,20612.654
beta_a1_b0p5_M50_L6_p6_train,2068.07,2051.61,2042.38
beta_a1_b0p5_M50_L6_p6_test,2084.747,2081.39,2083.382
beta_a1_b10_M100_L6_p6_train,1054.1,1058.69,1056.84
beta_a1_b10_M100_L6_p6_test,1076.193,1074.624,1077.262
beta_a1_b10_M200_L6_p6_train,2122.54,2122.94,2157.44
beta_a1_b10_M200_L6_p6_test,2153.068,2152.652,2171.238
beta_a1_b10_M20_L6_p6_train,210.89,211.94,216.36
beta_a1_b10_M20_L6_p6_test,222.22,223.276,225.356
beta_a1_b10_M500_L6_p6_train,5346.62,5345.06,5339.32
beta_a1_b10_M500_L6_p6_test,5362.756,5342.835,5387.491
beta_a1_b10_M50_L6_p6_train,532.14,530.94,534.18
beta_a1_b10_M50_L6_p6_test,534.953,535.932,533.87
beta_a1_b1_M100_L6_p6_train,3959.0,3939.18,3918.22
beta_a1_b1_M100_L6_p6_test,4087.973,4015.917,3979.795
beta_a1_b1_M200_L6_p6_train,7870.25,7806.28,7761.72
beta_a1_b1_M200_L6_p6_test,8010.546,7994.712,7946.782
beta_a1_b1_M20_L6_p6_train,795.13,792.95,792.38
beta_a1_b1_M20_L6_p6_test,812.196,809.253,810.845
beta_a1_b1_M500_L6_p6_train,19572.87,19572.1,19491.28
beta_a1_b1_M500_L6_p6_test,20269.605,20226.944,20168.146
beta_a1_b1_M50_L6_p6_train,2036.14,2043.24,2031.18
beta_a1_b1_M50_L6_p6_test,1993.925,2007.372,1991.992
beta_a1_b2_M100_L6_p6_train,3204.87,3208.59,3197.44
beta_a1_b2_M100_L6_p6_test,3179.78,3180.001,3179.07
beta_a1_b2_M200_L6_p6_train,6495.62,6493.91,6537.3
beta_a1_b2_M200_L6_p6_test,6389.705,6353.513,6352.91
beta_a1_b2_M20_L6_p6_train,644.88,643.17,644.22
beta_a1_b2_M20_L6_p6_test,636.483,635.337,635.096
beta_a1_b2_M500_L6_p6_train,16077.69,16099.18,16113.15
beta_a1_b2_M500_L6_p6_test,15974.039,15929.102,15994.804
beta_a1_b2_M50_L6_p6_train,1564.55,1570.48,1580.84
beta_a1_b2_M50_L6_p6_test,1593.624,1598.423,1596.943
beta_a1_b5_M100_L6_p6_train,1921.64,1923.18,1921.93
beta_a1_b5_M100_L6_p6_test,1853.234,1857.788,1871.073
beta_a1_b5_M200_L6_p6_train,3611.67,3609.08,3624.63
beta_a1_b5_M200_L6_p6_test,3692.903,3700.345,3718.365
beta_a1_b5_M20_L6_p6_train,372.73,372.38,374.03
beta_a1_b5_M20_L6_p6_test,378.002,375.44,376.758
beta_a1_b5_M500_L6_p6_train,9037.44,9018.53,9083.8
beta_a1_b5_M500_L6_p6_test,9215.429,9203.685,9266.533
beta_a1_b5_M50_L6_p6_train,910.01,910.73,912.96
beta_a1_b5_M50_L6_p6_test,916.568,914.825,920.313
beta_a2_b0p5_M100_L6_p6_train,2971.24,2947.42,2858.16
beta_a2_b0p5_M100_L6_p6_test,3005.472,2988.37,2887.243
