dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L8_p2_train.json,beta_a0p5_b0p5_M100_L6_c1_2_train.json,8,1,2.0,100,50,49.9692,241,3734.65,33,2761.26
beta_a0p5_b0p5_M200_L8_p2_train.json,beta_a0p5_b0p5_M200_L6_c1_2_train.json,8,1,2.0,100,50,101.882,616,7743.59,68,5537.92
beta_a0p5_b0p5_M20_L8_p2_train.json,beta_a0p5_b0p5_M20_L6_c1_2_train.json,8,1,2.0,100,50,10.2508,48,780.73,7,554.9
beta_a0p5_b0p5_M500_L8_p2_train.json,beta_a0p5_b0p5_M500_L6_c1_2_train.json,8,1,2.0,100,50,247.6496,1928,22327.66,164,13577.32
beta_a0p5_b0p5_M50_L8_p2_train.json,beta_a0p5_b0p5_M50_L6_c1_2_train.json,8,1,2.0,100,50,24.6224,114,1856.46,16,1406.87
beta_a0p5_b10_M100_L8_p2_train.json,beta_a0p5_b10_M100_L6_c1_2_train.json,8,1,2.0,100,50,4.5358,12,400.34,2,350.84
beta_a0p5_b10_M200_L8_p2_train.json,beta_a0p5_b10_M200_L6_c1_2_train.json,8,1,2.0,100,50,9.5332,24,841.22,4,726.03
beta_a0p5_b10_M20_L8_p2_train.json,beta_a0p5_b10_M20_L6_c1_2_train.json,8,1,2.0,100,50,0.9048,2,83.96,0,90.48
beta_a0p5_b10_M500_L8_p2_train.json,beta_a0p5_b10_M500_L6_c1_2_train.json,8,1,2.0,100,50,24.4006,65,2163.67,10,1871.52
beta_a0p5_b10_M50_L8_p2_train.json,beta_a0p5_b10_M50_L6_c1_2_train.json,8,1,2.0,100,50,2.3328,6,209.16,1,182.35
beta_a0p5_b1_M100_L8_p2_train.json,beta_a0p5_b1_M100_L6_c1_2_train.json,8,1,2.0,100,50,33.8352,138,2745.84,18,2251.01
beta_a0p5_b1_M200_L8_p2_train.json,beta_a0p5_b1_M200_L6_c1_2_train.json,8,1,2.0,100,50,67.4418,306,5579.71,40,4333.55
beta_a0p5_b1_M20_L8_p2_train.json,beta_a0p5_b1_M20_L6_c1_2_train.json,8,1,2.0,100,50,6.6232,26,541.1,4,427.61
beta_a0p5_b1_M500_L8_p2_train.json,beta_a0p5_b1_M500_L6_c1_2_train.json,8,1,2.0,100,50,169.0286,1221,16682.98,99,10856.69
beta_a0p5_b1_M50_L8_p2_train.json,beta_a0p5_b1_M50_L6_c1_2_train.json,8,1,2.0,100,50,16.7688,66,1349.67,10,1063.47
beta_a0p5_b2_M100_L8_p2_train.json,beta_a0p5_b2_M100_L6_c1_2_train.json,8,1,2.0,100,50,20.091,63,1728.47,10,1433.61
beta_a0p5_b2_M200_L8_p2_train.json,beta_a0p5_b2_M200_L6_c1_2_train.json,8,1,2.0,100,50,40.3442,119,3446.38,21,2815.14
beta_a0p5_b2_M20_L8_p2_train.json,beta_a0p5_b2_M20_L6_c1_2_train.json,8,1,2.0,100,50,4.0486,13,346.92,2,290.36
beta_a0p5_b2_M500_L8_p2_train.json,beta_a0p5_b2_M500_L6_c1_2_train.json,8,1,2.0,100,50,98.1354,583,9345.85,50,6930.0
beta_a0p5_b2_M50_L8_p2_train.json,beta_a0p5_b2_M50_L6_c1_2_train.json,8,1,2.0,100,50,10.2636,35,871.2,5,726.26
beta_a0p5_b5_M100_L8_p2_train.json,beta_a0p5_b5_M100_L6_c1_2_train.json,8,1,2.0,100,50,8.8364,25,769.14,4,664.55
beta_a0p5_b5_M200_L8_p2_train.json,beta_a0p5_b5_M200_L6_c1_2_train.json,8,1,2.0,100,50,18.2574,53,1579.1,8,1368.64
beta_a0p5_b5_M20_L8_p2_train.json,beta_a0p5_b5_M20_L6_c1_2_train.json,8,1,2.0,100,50,1.812,5,161.12,1,146.04
beta_a0p5_b5_M500_L8_p2_train.json,beta_a0p5_b5_M500_L6_c1_2_train.json,8,1,2.0,100,50,45.5204,129,3936.35,20,3413.58
beta_a0p5_b5_M50_L8_p2_train.json,beta_a0p5_b5_M50_L6_c1_2_train.json,8,1,2.0,100,50,4.474,11,394.69,2,338.39
beta_a10_b0p5_M100_L8_p2_train.json,beta_a10_b0p5_M100_L6_c1_2_train.json,8,1,2.0,100,50,95.1946,815,3824.99,92,552.13
beta_a10_b0p5_M200_L8_p2_train.json,beta_a10_b0p5_M200_L6_c1_2_train.json,8,1,2.0,100,50,190.532,1631,7627.81,185,1076.38
beta_a10_b0p5_M20_L8_p2_train.json,beta_a10_b0p5_M20_L6_c1_2_train.json,8,1,2.0,100,50,19.1162,164,768.0,18,133.6
beta_a10_b0p5_M500_L8_p2_train.json,beta_a10_b0p5_M500_L6_c1_2_train.json,8,1,2.0,100,50,475.961,4057,19224.68,462,2757.82
beta_a10_b0p5_M50_L8_p2_train.json,beta_a10_b0p5_M50_L6_c1_2_train.json,8,1,2.0,100,50,47.6254,407,1908.17,46,274.01
beta_a10_b10_M100_L8_p2_train.json,beta_a10_b10_M100_L6_c1_2_train.json,8,1,2.0,100,50,49.8922,382,2404.0,45,834.22
beta_a10_b10_M200_L8_p2_train.json,beta_a10_b10_M200_L6_c1_2_train.json,8,1,2.0,100,50,99.778,764,4799.13,90,1679.67
beta_a10_b10_M20_L8_p2_train.json,beta_a10_b10_M20_L6_c1_2_train.json,8,1,2.0,100,50,9.9636,76,484.03,9,170.0
beta_a10_b10_M500_L8_p2_train.json,beta_a10_b10_M500_L6_c1_2_train.json,8,1,2.0,100,50,249.632,1946,12025.29,225,4126.97
beta_a10_b10_M50_L8_p2_train.json,beta_a10_b10_M50_L6_c1_2_train.json,8,1,2.0,100,50,25.1338,194,1203.16,23,408.68
beta_a10_b1_M100_L8_p2_train.json,beta_a10_b1_M100_L6_c1_2_train.json,8,1,2.0,100,50,91.1946,764,3794.26,88,684.04
