dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a10_b2_M50_L6_p4_test,601.977,605.493,595.7
beta_a10_b5_M100_L6_p4_train,1307.76,1288.66,1324.71
beta_a10_b5_M100_L6_p4_test,1351.704,1348.88,1365.498
beta_a10_b5_M200_L6_p4_train,2713.99,2710.04,2721.93
beta_a10_b5_M200_L6_p4_test,2720.25,2706.925,2693.308
beta_a10_b5_M20_L6_p4_train,276.31,276.18,272.13
beta_a10_b5_M20_L6_p4_test,268.981,268.181,263.375
beta_a10_b5_M500_L6_p4_train,6823.4,6733.78,6529.25
beta_a10_b5_M500_L6_p4_test,6734.4,6693.012,6582.858
beta_a10_b5_M50_L6_p4_train,682.13,680.38,721.48
beta_a10_b5_M50_L6_p4_test,678.724,674.353,704.362
beta_a1_b0p5_M100_L6_p4_train,3423.45,3365.59,3347.9
beta_a1_b0p5_M100_L6_p4_test,3558.653,3468.339,3453.094
beta_a1_b0p5_M200_L6_p4_train,7046.33,6858.73,6880.85
beta_a1_b0p5_M200_L6_p4_test,7181.3,7000.963,6955.691
beta_a1_b0p5_M20_L6_p4_train,682.92,682.87,682.62
beta_a1_b0p5_M20_L6_p4_test,711.726,713.661,701.966
beta_a1_b0p5_M500_L6_p4_train,17281.15,17176.23,16857.29
beta_a1_b0p5_M500_L6_p4_test,17320.254,17274.728,17190.003
beta_a1_b0p5_M50_L6_p4_train,1694.89,1696.7,1678.1
beta_a1_b0p5_M50_L6_p4_test,1726.91,1739.611,1715.591
beta_a1_b10_M100_L6_p4_train,838.71,835.25,835.38
beta_a1_b10_M100_L6_p4_test,851.27,848.064,850.419
beta_a1_b10_M200_L6_p4_train,1673.27,1673.72,1688.18
beta_a1_b10_M200_L6_p4_test,1706.326,1703.889,1720.328
beta_a1_b10_M20_L6_p4_train,169.32,170.83,177.71
beta_a1_b10_M20_L6_p4_test,176.874,176.556,183.223
beta_a1_b10_M500_L6_p4_train,4224.12,4191.95,4170.87
beta_a1_b10_M500_L6_p4_test,4274.727,4222.572,4222.877
beta_a1_b10_M50_L6_p4_train,422.51,422.3,428.01
beta_a1_b10_M50_L6_p4_test,423.955,424.074,429.177
beta_a1_b1_M100_L6_p4_train,3218.16,3218.51,3208.48
beta_a1_b1_M100_L6_p4_test,3303.648,3277.667,3270.584
beta_a1_b1_M200_L6_p4_train,6368.35,6375.8,6339.85
beta_a1_b1_M200_L6_p4_test,6529.936,6538.782,6524.431
beta_a1_b1_M20_L6_p4_train,645.55,644.48,647.35
beta_a1_b1_M20_L6_p4_test,660.797,658.418,656.773
beta_a1_b1_M500_L6_p4_train,16009.16,15998.31,16011.45
beta_a1_b1_M500_L6_p4_test,16400.008,16467.634,16407.11
beta_a1_b1_M50_L6_p4_train,1662.87,1665.27,1666.91
beta_a1_b1_M50_L6_p4_test,1627.175,1629.23,1626.343
beta_a1_b2_M100_L6_p4_train,2570.83,2569.44,2574.23
beta_a1_b2_M100_L6_p4_test,2565.194,2557.075,2575.687
beta_a1_b2_M200_L6_p4_train,5201.54,5195.88,5252.53
beta_a1_b2_M200_L6_p4_test,5135.211,5133.356,5166.667
beta_a1_b2_M20_L6_p4_train,520.58,521.07,524.98
beta_a1_b2_M20_L6_p4_test,513.766,515.945,517.801
beta_a1_b2_M500_L6_p4_train,12942.34,12939.1,12916.07
beta_a1_b2_M500_L6_p4_test,12962.146,12943.417,12942.47
beta_a1_b2_M50_L6_p4_train,1259.51,1259.11,1272.12
beta_a1_b2_M50_L6_p4_test,1285.653,1286.529,1287.248
beta_a1_b5_M100_L6_p4_train,1518.31,1519.61,1515.69
beta_a1_b5_M100_L6_p4_test,1477.298,1479.371,1482.516
beta_a1_b5_M200_L6_p4_train,2872.82,2869.16,2875.49
beta_a1_b5_M200_L6_p4_test,2954.85,2946.259,2955.039
beta_a1_b5_M20_L6_p4_train,297.76,297.48,300.56
beta_a1_b5_M20_L6_p4_test,299.396,299.806,303.273
beta_a1_b5_M500_L6_p4_train,7224.33,7213.42,7230.19
beta_a1_b5_M500_L6_p4_test,7313.052,7337.476,7376.208
beta_a1_b5_M50_L6_p4_train,732.68,732.06,738.82
beta_a1_b5_M50_L6_p4_test,727.141,730.179,735.381
beta_a2_b0p5_M100_L6_p4_train,2457.76,2442.55,2405.85
beta_a2_b0p5_M100_L6_p4_test,2508.323,2477.411,2437.62
beta_a2_b0p5_M200_L6_p4_train,5081.27,5062.6,4981.36
beta_a2_b0p5_M200_L6_p4_test,5000.236,5006.481,5030.473
beta_a2_b0p5_M20_L6_p4_train,513.74,504.68,506.06
beta_a2_b0p5_M20_L6_p4_test,507.009,500.813,500.031
beta_a2_b0p5_M500_L6_p4_train,13135.36,13044.22,12682.29
beta_a2_b0p5_M500_L6_p4_test,12673.793,12549.257,12212.688
beta_a2_b0p5_M50_L6_p4_train,1315.3,1315.12,1345.59
beta_a2_b0p5_M50_L6_p4_test,1285.272,1283.542,1333.042
beta_a2_b10_M100_L6_p4_train,1061.6,1060.95,1064.0
beta_a2_b10_M100_L6_p4_test,1109.376,1112.217,1112.746
